GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06
Id,Id2,Geography,Estimate; Quintile Upper Limits: - Lowest Quintile,Margin of Error; Quintile Upper Limits: - Lowest Quintile,Estimate; Quintile Upper Limits: - Second Quintile,Margin of Error; Quintile Upper Limits: - Second Quintile,Estimate; Quintile Upper Limits: - Third Quintile,Margin of Error; Quintile Upper Limits: - Third Quintile,Estimate; Quintile Upper Limits: - Fourth Quintile,Margin of Error; Quintile Upper Limits: - Fourth Quintile,Estimate; Lower Limit of Top 5 Percent,Margin of Error; Lower Limit of Top 5 Percent
0100000US,,United States,21909,41,42004,54,67650,111,109108,171,203671,354
0400000US37,37,North Carolina,19916,292,36751,333,58159,573,93418,890,173969,2039
0500000US37063,37063,"Durham County, North Carolina",20540,1532,39944,1752,62585,2692,103865,6198,189993,23800
0500000US37067,37067,"Forsyth County, North Carolina",19067,1124,36646,1938,57051,2305,91502,3454,166984,12673
0500000US37081,37081,"Guilford County, North Carolina",19800,1251,35963,1145,55950,1710,92256,3037,172245,8950
