size,year,num_children,poverty_thresh
1,2011,0,28710
2,2011,0,36642.5
3,2011,0,44790
4,2011,0,57552.5
5,2011,0,68127.5
6,2011,0,77117.5
7,2011,0,87712.5
8,2011,0,97660
9,2011,0,116430
3,2011,0,43987.5
4,2011,0,58002.5
5,2011,0,69947.5
6,2011,0,80452.5
7,2011,0,92572.5
8,2011,0,103535
9,2011,0,124545
3,2011,1,45265
4,2011,1,58952.5
5,2011,1,70965
6,2011,1,80772.5
7,2011,1,93150
8,2011,1,104447.5
9,2011,1,125147.5
3,2011,2,45307.5
4,2011,2,57027.5
5,2011,2,68792.5
6,2011,2,79107.5
7,2011,2,91157.5
8,2011,2,102567.5
9,2011,2,123482.5
4,2011,3,57227.5
5,2011,3,67110
6,2011,3,77512.5
7,2011,3,89767.5
8,2011,3,100920
9,2011,3,122087.5
5,2011,4,66085
6,2011,4,75140
7,2011,4,87180
8,2011,4,98582.5
9,2011,4,119792.5
6,2011,5,73735
7,2011,5,84162.5
8,2011,5,95617.5
9,2011,5,116635
7,2011,6,80850
8,2011,6,92527.5
9,2011,6,113780
8,2011,7,91742.5
9,2011,7,113072.5
9,2011,8,108717.5
1,2012,0,29300
2,2012,0,37342.5
3,2012,0,45710
4,2012,0,58730
5,2012,0,69567.5
6,2012,0,78677.5
7,2012,0,89357.5
8,2012,0,99220
9,2012,0,118242.5
3,2012,0,44897.5
4,2012,0,59202.5
5,2012,0,71395
6,2012,0,82117.5
7,2012,0,94487.5
8,2012,0,105677.5
9,2012,0,127122.5
3,2012,1,46200
4,2012,1,60172.5
5,2012,1,72435
6,2012,1,82445
7,2012,1,95077.5
8,2012,1,106610
9,2012,1,127737.5
3,2012,2,46245
4,2012,2,58207.5
5,2012,2,70217.5
6,2012,2,80745
7,2012,2,93042.5
8,2012,2,104690
9,2012,2,126040
4,2012,3,58410
5,2012,3,68500
6,2012,3,79117.5
7,2012,3,91627.5
8,2012,3,103010
9,2012,3,124612.5
5,2012,4,67452.5
6,2012,4,76695
7,2012,4,88985
8,2012,4,100622.5
9,2012,4,122270
6,2012,5,75260
7,2012,5,85905
8,2012,5,97595
9,2012,5,119050
7,2012,6,82522.5
8,2012,6,94442.5
9,2012,6,116135
8,2012,7,93642.5
9,2012,7,115412.5
9,2012,8,110967.5
1,2013,0,29720
2,2013,0,37855
3,2013,0,46380
4,2013,0,59585
5,2013,0,70662.5
6,2013,0,79812.5
7,2013,0,90960
8,2013,0,101210
9,2013,0,120162.5
3,2013,0,45555
4,2013,0,60070
5,2013,0,72442.5
6,2013,0,83322.5
7,2013,0,95872.5
8,2013,0,107225
9,2013,0,128985
3,2013,1,46877.5
4,2013,1,61052.5
5,2013,1,73495
6,2013,1,83652.5
7,2013,1,96470
8,2013,1,108172.5
9,2013,1,129610
3,2013,2,46922.5
4,2013,2,59060
5,2013,2,71245
6,2013,2,81927.5
7,2013,2,94407.5
8,2013,2,106225
9,2013,2,127885
4,2013,3,59267.5
5,2013,3,69502.5
6,2013,3,80275
7,2013,3,92967.5
8,2013,3,104517.5
9,2013,3,126437.5
5,2013,4,68440
6,2013,4,77820
7,2013,4,90287.5
8,2013,4,102097.5
9,2013,4,124062.5
6,2013,5,76362.5
7,2013,5,87162.5
8,2013,5,99025
9,2013,5,120792.5
7,2013,6,83732.5
8,2013,6,95827.5
9,2013,6,117835
8,2013,7,95015
9,2013,7,117105
9,2013,8,112592.5
1,2014,0,30177.5
2,2014,0,38447.5
3,2014,0,47125
4,2014,0,60575
5,2014,0,71737.5
6,2014,0,81182.5
7,2014,0,92317.5
8,2014,0,102420
9,2014,0,122552.5
3,2014,0,46295
4,2014,0,61045
5,2014,0,73617.5
6,2014,0,84672.5
7,2014,0,97427.5
8,2014,0,108965
9,2014,0,131075
3,2014,1,47637.5
4,2014,1,62042.5
5,2014,1,74687.5
6,2014,1,85010
7,2014,1,98035
8,2014,1,109925
9,2014,1,131712.5
3,2014,2,47682.5
4,2014,2,60020
5,2014,2,72400
6,2014,2,83257.5
7,2014,2,95937.5
8,2014,2,107947.5
9,2014,2,129960
4,2014,3,60227.5
5,2014,3,70630
6,2014,3,81577.5
7,2014,3,94477.5
8,2014,3,106212.5
9,2014,3,128490
5,2014,4,69550
6,2014,4,79082.5
7,2014,4,91752.5
8,2014,4,103752.5
9,2014,4,126075
6,2014,5,77602.5
7,2014,5,88577.5
8,2014,5,100630
9,2014,5,122752.5
7,2014,6,85090
8,2014,6,97382.5
9,2014,6,119747.5
8,2014,7,96555
9,2014,7,119002.5
9,2014,8,114420
1,2015,0,30205
2,2015,0,38477.5
3,2015,0,47177.5
4,2015,0,60642.5
5,2015,0,71852.5
6,2015,0,81355
7,2015,0,92495
8,2015,0,102572.5
9,2015,0,122942.5
3,2015,0,46350
4,2015,0,61117.5
5,2015,0,73705
6,2015,0,84772.5
7,2015,0,97542.5
8,2015,0,109092.5
9,2015,0,131232.5
3,2015,1,47695
4,2015,1,62117.5
5,2015,1,74777.5
6,2015,1,85110
7,2015,1,98150
8,2015,1,110057.5
9,2015,1,131867.5
3,2015,2,47740
4,2015,2,60090
5,2015,2,72487.5
6,2015,2,83355
7,2015,2,96052.5
8,2015,2,108075
9,2015,2,130115
4,2015,3,60300
5,2015,3,70715
6,2015,3,81675
7,2015,3,94587.5
8,2015,3,106340
9,2015,3,128642.5
5,2015,4,69632.5
6,2015,4,79175
7,2015,4,91862.5
8,2015,4,103877.5
9,2015,4,126225
6,2015,5,77695
7,2015,5,88682.5
8,2015,5,100750
9,2015,5,122897.5
7,2015,6,85192.5
8,2015,6,97497.5
9,2015,6,119890
8,2015,7,96670
9,2015,7,119145
9,2015,8,114555
1,2016,0,30570
2,2016,0,38922.5
3,2016,0,47762.5
4,2016,0,61407.5
5,2016,0,72777.5
6,2016,0,82320
7,2016,0,93645
8,2016,0,104452.5
9,2016,0,124302.5
3,2016,0,46935
4,2016,0,61887.5
5,2016,0,74635
6,2016,0,85842.5
7,2016,0,98772.5
8,2016,0,110470
9,2016,0,132887.5
3,2016,1,48295
4,2016,1,62900
5,2016,1,75720
6,2016,1,86182.5
7,2016,1,99390
8,2016,1,111445
9,2016,1,133532.5
3,2016,2,48342.5
4,2016,2,60847.5
5,2016,2,73400
6,2016,2,84407.5
7,2016,2,97262.5
8,2016,2,109440
9,2016,2,131755
4,2016,3,61060
5,2016,3,71607.5
6,2016,3,82705
7,2016,3,95782.5
8,2016,3,107680
9,2016,3,130265
5,2016,4,70512.5
6,2016,4,80175
7,2016,4,93020
8,2016,4,105187.5
9,2016,4,127817.5
6,2016,5,78675
7,2016,5,89800
8,2016,5,102022.5
9,2016,5,124447.5
7,2016,6,86267.5
8,2016,6,98727.5
9,2016,6,121402.5
8,2016,7,97890
9,2016,7,120647.5
9,2016,8,116e3
1,2017,0,31220
2,2017,0,39692.5
3,2017,0,48787.5
4,2017,0,62735
5,2017,0,74285
6,2017,0,84045
7,2017,0,95432.5
8,2017,0,106710
9,2017,0,126702.5
3,2017,0,47932.5
4,2017,0,63207.5
5,2017,0,76225
6,2017,0,87672.5
7,2017,0,100877.5
8,2017,0,112822.5
9,2017,0,135717.5
3,2017,1,49325
4,2017,1,64240
5,2017,1,77332.5
6,2017,1,88020
7,2017,1,101507.5
8,2017,1,113820
9,2017,1,136375
3,2017,2,49372.5
4,2017,2,62145
5,2017,2,74965
6,2017,2,86205
7,2017,2,99335
8,2017,2,111770
9,2017,2,134562.5
4,2017,3,62360
5,2017,3,73132.5
6,2017,3,84467.5
7,2017,3,97822.5
8,2017,3,109975
9,2017,3,133040
5,2017,4,72012.5
6,2017,4,81882.5
7,2017,4,95002.5
8,2017,4,107427.5
9,2017,4,130540
6,2017,5,80350
7,2017,5,91712.5
8,2017,5,104195
9,2017,5,127100
7,2017,6,88105
8,2017,6,100830
9,2017,6,123987.5
8,2017,7,99975
9,2017,7,123217.5
9,2017,8,118472.5
