GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Less than 9th grade,Margin of Error; Male: - Less than 9th grade,"Estimate; Male: - 9th to 12th grade, no diploma","Margin of Error; Male: - 9th to 12th grade, no diploma",Estimate; Male: - High school graduate (includes equivalency),Margin of Error; Male: - High school graduate (includes equivalency),"Estimate; Male: - Some college, no degree","Margin of Error; Male: - Some college, no degree",Estimate; Male: - Associate's degree,Margin of Error; Male: - Associate's degree,Estimate; Male: - Bachelor's degree,Margin of Error; Male: - Bachelor's degree,Estimate; Male: - Graduate degree,Margin of Error; Male: - Graduate degree,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Less than 9th grade,Margin of Error; Female: - Less than 9th grade,"Estimate; Female: - 9th to 12th grade, no diploma","Margin of Error; Female: - 9th to 12th grade, no diploma",Estimate; Female: - High school graduate (includes equivalency),Margin of Error; Female: - High school graduate (includes equivalency),"Estimate; Female: - Some college, no degree","Margin of Error; Female: - Some college, no degree",Estimate; Female: - Associate's degree,Margin of Error; Female: - Associate's degree,Estimate; Female: - Bachelor's degree,Margin of Error; Female: - Bachelor's degree,Estimate; Female: - Graduate degree,Margin of Error; Female: - Graduate degree
0100000US,,United States,21877084,24577,9947576,19959,617232,12292,1551570,19675,3643070,26282,1964538,23471,638318,16019,1035172,17970,497676,10114,11929508,14544,685609,11698,1644485,19428,3830917,27959,2671493,24805,940566,16791,1408401,19021,748037,13849
0400000US37,37,North Carolina,1145348,5527,510949,4122,35744,3028,85789,3996,198381,6830,92630,5342,30007,2444,48579,3840,19819,2347,634399,3639,39406,2409,89882,4330,204837,6831,140612,5842,53422,3895,77861,4805,28379,2427
0500000US37063,37063,"Durham County, North Carolina",55267,773,23867,579,665,365,4365,1097,9039,1409,4096,1137,959,489,2823,748,1920,680,31400,404,1125,478,2556,727,7555,1395,7718,1386,2651,952,6881,1237,2914,869
0500000US37067,37067,"Forsyth County, North Carolina",50325,490,21604,275,1097,613,2914,955,8348,1312,3244,923,1228,650,4264,1105,509,322,28721,410,1277,497,2500,884,8077,1528,7670,1229,1744,679,6013,1162,1440,549
0500000US37081,37081,"Guilford County, North Carolina",80334,1089,35865,664,1272,550,4570,887,11440,1483,10382,1769,1230,552,4744,1240,2227,740,44469,600,1690,624,4940,897,13965,1343,10105,1392,3544,962,6830,1432,3395,911
