geo_description,label,year,description,estimate,moe,se,cv
Forsyth ,HD01_VD03,2009,Estimate; Male: - Less than 9th grade,1770,643.4,328.27,18.55
Guilford ,HD01_VD03,2009,Estimate; Male: - Less than 9th grade,2901,1023.49,522.19,18
United States,HD01_VD04,2009,"Estimate; Male: - 9th to 12th grade, no diploma",4613040,39294.13,20048.03,0.43
North Carolina,HD01_VD04,2009,"Estimate; Male: - 9th to 12th grade, no diploma",182331,8901.62,4541.64,2.49
Durham ,HD01_VD04,2009,"Estimate; Male: - 9th to 12th grade, no diploma",1957,725.62,370.21,18.92
Forsyth ,HD01_VD04,2009,"Estimate; Male: - 9th to 12th grade, no diploma",5863,1558.47,795.14,13.56
Guilford ,HD01_VD04,2009,"Estimate; Male: - 9th to 12th grade, no diploma",4785,1327.32,677.2,14.15
United States,HD01_VD05,2009,Estimate; Male: - Regular high school diploma,16310246,66336.17,33844.98,0.21
North Carolina,HD01_VD05,2009,Estimate; Male: - Regular high school diploma,454664,12042.38,6144.07,1.35
Durham ,HD01_VD05,2009,Estimate; Male: - Regular high school diploma,4756,1271.32,648.63,13.64
Forsyth ,HD01_VD05,2009,Estimate; Male: - Regular high school diploma,14551,1789.62,913.07,6.27
Guilford ,HD01_VD05,2009,Estimate; Male: - Regular high school diploma,17292,2382.98,1215.81,7.03
United States,HD01_VD06,2009,Estimate; Male: - GED or alternative credential,3137970,28916.26,14753.19,0.47
North Carolina,HD01_VD06,2009,Estimate; Male: - GED or alternative credential,110291,6444.77,3288.15,2.98
Durham ,HD01_VD06,2009,Estimate; Male: - GED or alternative credential,1001,496.85,253.49,25.32
Forsyth ,HD01_VD06,2009,Estimate; Male: - GED or alternative credential,3134,912.68,465.65,14.86
Guilford ,HD01_VD06,2009,Estimate; Male: - GED or alternative credential,3634,1177.19,600.61,16.53
United States,HD01_VD07,2009,"Estimate; Male: - Some college, no degree",14636879,61246.13,31248.03,0.21
North Carolina,HD01_VD07,2009,"Estimate; Male: - Some college, no degree",447565,10949.79,5586.63,1.25
Durham ,HD01_VD07,2009,"Estimate; Male: - Some college, no degree",5378,1498.89,764.74,14.22
Forsyth ,HD01_VD07,2009,"Estimate; Male: - Some college, no degree",14915,1946.89,993.31,6.66
Guilford ,HD01_VD07,2009,"Estimate; Male: - Some college, no degree",21152,2296,1171.43,5.54
United States,HD01_VD08,2009,Estimate; Male: - Associate's degree,4872665,35681.53,18204.86,0.37
North Carolina,HD01_VD08,2009,Estimate; Male: - Associate's degree,162054,6935.66,3538.6,2.18
Durham ,HD01_VD08,2009,Estimate; Male: - Associate's degree,2271,831.66,424.32,18.68
Forsyth ,HD01_VD08,2009,Estimate; Male: - Associate's degree,5631,1110.47,566.57,10.06
Guilford ,HD01_VD08,2009,Estimate; Male: - Associate's degree,5079,1293.96,660.18,13
United States,HD01_VD09,2009,Estimate; Male: - Bachelor's degree,13494344,68949.11,35178.12,0.26
North Carolina,HD01_VD09,2009,Estimate; Male: - Bachelor's degree,416363,11132.09,5679.64,1.36
Durham ,HD01_VD09,2009,Estimate; Male: - Bachelor's degree,13083,1743.15,889.36,6.8
Forsyth ,HD01_VD09,2009,Estimate; Male: - Bachelor's degree,17852,2039.83,1040.73,5.83
Guilford ,HD01_VD09,2009,Estimate; Male: - Bachelor's degree,25131,2510.47,1280.85,5.1
United States,HD01_VD10,2009,Estimate; Male: - Graduate degree,8276286,44355.57,22630.39,0.27
North Carolina,HD01_VD10,2009,Estimate; Male: - Graduate degree,214182,7646.98,3901.52,1.82
Durham ,HD01_VD10,2009,Estimate; Male: - Graduate degree,12567,1940.94,990.28,7.88
Forsyth ,HD01_VD10,2009,Estimate; Male: - Graduate degree,9443,1394.04,711.24,7.53
Guilford ,HD01_VD10,2009,Estimate; Male: - Graduate degree,11781,1975.49,1007.9,8.56
United States,HD01_VD11,2009,Estimate; Female:,72509506,16475.91,8406.08,0.01
North Carolina,HD01_VD11,2009,Estimate; Female:,2286275,3007.32,1534.35,0.07
Durham ,HD01_VD11,2009,Estimate; Female:,47590,341.96,174.47,0.37
Forsyth ,HD01_VD11,2009,Estimate; Female:,83444,188.26,96.05,0.12
Guilford ,HD01_VD11,2009,Estimate; Female:,103466,308.6,157.45,0.15
United States,HD01_VD12,2009,Estimate; Female: - Less than 9th grade,2172980,26619.06,13581.15,0.63
North Carolina,HD01_VD12,2009,Estimate; Female: - Less than 9th grade,78353,4756.43,2426.75,3.1
Durham ,HD01_VD12,2009,Estimate; Female: - Less than 9th grade,612,420.6,214.59,35.06
Forsyth ,HD01_VD12,2009,Estimate; Female: - Less than 9th grade,2212,1062.81,542.25,24.51
Guilford ,HD01_VD12,2009,Estimate; Female: - Less than 9th grade,2478,913.87,466.26,18.82
United States,HD01_VD13,2009,"Estimate; Female: - 9th to 12th grade, no diploma",4570279,41280.34,21061.4,0.46
North Carolina,HD01_VD13,2009,"Estimate; Female: - 9th to 12th grade, no diploma",164711,7785.19,3972.04,2.41
Durham ,HD01_VD13,2009,"Estimate; Female: - 9th to 12th grade, no diploma",2081,929.36,474.16,22.79
Forsyth ,HD01_VD13,2009,"Estimate; Female: - 9th to 12th grade, no diploma",4296,1366.64,697.27,16.23
Guilford ,HD01_VD13,2009,"Estimate; Female: - 9th to 12th grade, no diploma",5692,1145.02,584.19,10.26
United States,HD01_VD14,2009,Estimate; Female: - Regular high school diploma,19066793,78336.85,39967.78,0.21
North Carolina,HD01_VD14,2009,Estimate; Female: - Regular high school diploma,523807,12148.43,6198.18,1.18
Durham ,HD01_VD14,2009,Estimate; Female: - Regular high school diploma,7658,1557.28,794.53,10.38
Forsyth ,HD01_VD14,2009,Estimate; Female: - Regular high school diploma,21357,2195.91,1120.36,5.25
Guilford ,HD01_VD14,2009,Estimate; Female: - Regular high school diploma,23838,2562.89,1307.6,5.49
United States,HD01_VD15,2009,Estimate; Female: - GED or alternative credential,2453931,34442.38,17572.64,0.72
North Carolina,HD01_VD15,2009,Estimate; Female: - GED or alternative credential,94144,5686.98,2901.52,3.08
Durham ,HD01_VD15,2009,Estimate; Female: - GED or alternative credential,1249,720.85,367.78,29.45
Forsyth ,HD01_VD15,2009,Estimate; Female: - GED or alternative credential,2835,1079.49,550.76,19.43
Guilford ,HD01_VD15,2009,Estimate; Female: - GED or alternative credential,2805,1224.85,624.92,22.28
United States,HD01_VD16,2009,"Estimate; Female: - Some college, no degree",16133925,77555.23,39568.99,0.25
North Carolina,HD01_VD16,2009,"Estimate; Female: - Some college, no degree",518160,10536.34,5375.68,1.04
Durham ,HD01_VD16,2009,"Estimate; Female: - Some college, no degree",5966,1186.72,605.47,10.15
Forsyth ,HD01_VD16,2009,"Estimate; Female: - Some college, no degree",20108,2266.21,1156.23,5.75
Guilford ,HD01_VD16,2009,"Estimate; Female: - Some college, no degree",23206,2547.4,1299.69,5.6
United States,HD01_VD17,2009,Estimate; Female: - Associate's degree,6346580,47347.4,24156.84,0.38
North Carolina,HD01_VD17,2009,Estimate; Female: - Associate's degree,234726,9616.51,4906.38,2.09
Durham ,HD01_VD17,2009,Estimate; Female: - Associate's degree,2983,1061.62,541.64,18.16
Forsyth ,HD01_VD17,2009,Estimate; Female: - Associate's degree,6642,1527.49,779.33,11.73
Guilford ,HD01_VD17,2009,Estimate; Female: - Associate's degree,7070,1503.66,767.17,10.85
United States,HD01_VD18,2009,Estimate; Female: - Bachelor's degree,13829029,70876.94,36161.7,0.26
North Carolina,HD01_VD18,2009,Estimate; Female: - Bachelor's degree,458327,12107.91,6177.51,1.35
Durham ,HD01_VD18,2009,Estimate; Female: - Bachelor's degree,13144,1616.85,824.92,6.28
Forsyth ,HD01_VD18,2009,Estimate; Female: - Bachelor's degree,17535,2080.34,1061.4,6.05
Guilford ,HD01_VD18,2009,Estimate; Female: - Bachelor's degree,27598,2321.02,1184.19,4.29
United States,HD01_VD19,2009,Estimate; Female: - Graduate degree,7935989,49829.28,25423.1,0.32
North Carolina,HD01_VD19,2009,Estimate; Female: - Graduate degree,214047,7952,4057.14,1.9
Durham ,HD01_VD19,2009,Estimate; Female: - Graduate degree,13897,1786.04,911.24,6.56
Forsyth ,HD01_VD19,2009,Estimate; Female: - Graduate degree,8459,1359.49,693.62,8.2
Guilford ,HD01_VD19,2009,Estimate; Female: - Graduate degree,10779,1683.57,858.96,7.97
United States,HD01_VD01,2010,Estimate; Total:,139695358,23093.45,11782.37,0.01
North Carolina,HD01_VD01,2010,Estimate; Total:,4413897,5645.28,2880.24,0.07
Durham ,HD01_VD01,2010,Estimate; Total:,84456,302.64,154.41,0.18
Forsyth ,HD01_VD01,2010,Estimate; Total:,149461,812.6,414.59,0.28
Guilford ,HD01_VD01,2010,Estimate; Total:,191858,171.57,87.54,0.05
United States,HD01_VD02,2010,Estimate; Male:,67529073,14936.51,7620.67,0.01
North Carolina,HD01_VD02,2010,Estimate; Male:,2106647,4431.15,2260.79,0.11
Durham ,HD01_VD02,2010,Estimate; Male:,39438,90.55,46.2,0.12
Forsyth ,HD01_VD02,2010,Estimate; Male:,69539,364.6,186.02,0.27
Guilford ,HD01_VD02,2010,Estimate; Male:,90456,171.57,87.54,0.1
United States,HD01_VD03,2010,Estimate; Male: - Less than 9th grade,2035145,26819.23,13683.28,0.67
North Carolina,HD01_VD03,2010,Estimate; Male: - Less than 9th grade,85571,5414.13,2762.31,3.23
Durham ,HD01_VD03,2010,Estimate; Male: - Less than 9th grade,505,381.28,194.53,38.52
Forsyth ,HD01_VD03,2010,Estimate; Male: - Less than 9th grade,1367,704.17,359.27,26.28
Guilford ,HD01_VD03,2010,Estimate; Male: - Less than 9th grade,1746,683.91,348.93,19.98
United States,HD01_VD04,2010,"Estimate; Male: - 9th to 12th grade, no diploma",4520243,46304.85,23624.92,0.52
North Carolina,HD01_VD04,2010,"Estimate; Male: - 9th to 12th grade, no diploma",184910,7467.06,3809.72,2.06
Durham ,HD01_VD04,2010,"Estimate; Male: - 9th to 12th grade, no diploma",1410,853.11,435.26,30.87
Forsyth ,HD01_VD04,2010,"Estimate; Male: - 9th to 12th grade, no diploma",4059,1103.32,562.92,13.87
Guilford ,HD01_VD04,2010,"Estimate; Male: - 9th to 12th grade, no diploma",5683,1334.47,680.85,11.98
United States,HD01_VD05,2010,Estimate; Male: - Regular high school diploma,16508194,66177.7,33764.13,0.2
North Carolina,HD01_VD05,2010,Estimate; Male: - Regular high school diploma,469859,12392.68,6322.8,1.35
Durham ,HD01_VD05,2010,Estimate; Male: - Regular high school diploma,5501,1446.47,737.99,13.42
Forsyth ,HD01_VD05,2010,Estimate; Male: - Regular high school diploma,15508,2061.28,1051.67,6.78
Guilford ,HD01_VD05,2010,Estimate; Male: - Regular high school diploma,19283,2684.43,1369.61,7.1
United States,HD01_VD06,2010,Estimate; Male: - GED or alternative credential,3121065,32149.96,16403.04,0.53
North Carolina,HD01_VD06,2010,Estimate; Male: - GED or alternative credential,111376,6690.21,3413.37,3.06
Durham ,HD01_VD06,2010,Estimate; Male: - GED or alternative credential,1455,780.43,398.18,27.37
Forsyth ,HD01_VD06,2010,Estimate; Male: - GED or alternative credential,2738,981.79,500.91,18.29
Guilford ,HD01_VD06,2010,Estimate; Male: - GED or alternative credential,3341,971.06,495.44,14.83
United States,HD01_VD07,2010,"Estimate; Male: - Some college, no degree",14591029,60740.94,30990.28,0.21
North Carolina,HD01_VD07,2010,"Estimate; Male: - Some college, no degree",446458,11431.15,5832.22,1.31
Durham ,HD01_VD07,2010,"Estimate; Male: - Some college, no degree",5230,1297.53,662.01,12.66
Forsyth ,HD01_VD07,2010,"Estimate; Male: - Some college, no degree",14042,2000.51,1020.67,7.27
Guilford ,HD01_VD07,2010,"Estimate; Male: - Some college, no degree",17334,2055.32,1048.63,6.05
United States,HD01_VD08,2010,Estimate; Male: - Associate's degree,4914378,38193.19,19486.32,0.4
North Carolina,HD01_VD08,2010,Estimate; Male: - Associate's degree,166476,6862.98,3501.52,2.1
Durham ,HD01_VD08,2010,Estimate; Male: - Associate's degree,1906,679.15,346.51,18.18
Forsyth ,HD01_VD08,2010,Estimate; Male: - Associate's degree,5961,1363.06,695.44,11.67
Guilford ,HD01_VD08,2010,Estimate; Male: - Associate's degree,7265,1564.43,798.18,10.99
United States,HD01_VD09,2010,Estimate; Male: - Bachelor's degree,13552163,62638.98,31958.66,0.24
North Carolina,HD01_VD09,2010,Estimate; Male: - Bachelor's degree,424013,12484.43,6369.61,1.5
Durham ,HD01_VD09,2010,Estimate; Male: - Bachelor's degree,12381,1710.98,872.95,7.05
Forsyth ,HD01_VD09,2010,Estimate; Male: - Bachelor's degree,17701,1869.45,953.8,5.39
Guilford ,HD01_VD09,2010,Estimate; Male: - Bachelor's degree,23368,2468.77,1259.58,5.39
United States,HD01_VD10,2010,Estimate; Male: - Graduate degree,8286856,47136.51,24049.24,0.29
North Carolina,HD01_VD10,2010,Estimate; Male: - Graduate degree,217984,6486.47,3309.42,1.52
Durham ,HD01_VD10,2010,Estimate; Male: - Graduate degree,11050,1691.91,863.22,7.81
Forsyth ,HD01_VD10,2010,Estimate; Male: - Graduate degree,8163,1332.09,679.64,8.33
Guilford ,HD01_VD10,2010,Estimate; Male: - Graduate degree,12436,1889.7,964.13,7.75
United States,HD01_VD11,2010,Estimate; Female:,72166285,13924.94,7104.56,0.01
North Carolina,HD01_VD11,2010,Estimate; Female:,2307250,2677.28,1365.96,0.06
Durham ,HD01_VD11,2010,Estimate; Female:,45018,250.21,127.66,0.28
Forsyth ,HD01_VD11,2010,Estimate; Female:,79922,450.38,229.79,0.29
Guilford ,HD01_VD11,2010,Estimate; Female:,101402,344.34,175.68,0.17
United States,HD01_VD12,2010,Estimate; Female: - Less than 9th grade,2019883,25765.96,13145.9,0.65
North Carolina,HD01_VD12,2010,Estimate; Female: - Less than 9th grade,70802,5441.53,2776.29,3.92
Durham ,HD01_VD12,2010,Estimate; Female: - Less than 9th grade,651,457.53,233.43,35.86
Forsyth ,HD01_VD12,2010,Estimate; Female: - Less than 9th grade,1328,645.79,329.48,24.81
Guilford ,HD01_VD12,2010,Estimate; Female: - Less than 9th grade,2129,836.43,426.75,20.04
United States,HD01_VD13,2010,"Estimate; Female: - 9th to 12th grade, no diploma",4373996,41133.79,20986.63,0.48
North Carolina,HD01_VD13,2010,"Estimate; Female: - 9th to 12th grade, no diploma",158779,6164.77,3145.29,1.98
Durham ,HD01_VD13,2010,"Estimate; Female: - 9th to 12th grade, no diploma",984,561.19,286.32,29.1
Forsyth ,HD01_VD13,2010,"Estimate; Female: - 9th to 12th grade, no diploma",3764,1043.74,532.52,14.15
Guilford ,HD01_VD13,2010,"Estimate; Female: - 9th to 12th grade, no diploma",5021,1122.38,572.64,11.4
United States,HD01_VD14,2010,Estimate; Female: - Regular high school diploma,18853676,81904.17,41787.84,0.22
North Carolina,HD01_VD14,2010,Estimate; Female: - Regular high school diploma,535119,11458.55,5846.2,1.09
Durham ,HD01_VD14,2010,Estimate; Female: - Regular high school diploma,7491,1618.04,825.53,11.02
Forsyth ,HD01_VD14,2010,Estimate; Female: - Regular high school diploma,19163,2219.74,1132.52,5.91
Guilford ,HD01_VD14,2010,Estimate; Female: - Regular high school diploma,24233,2423.49,1236.47,5.1
United States,HD01_VD15,2010,Estimate; Female: - GED or alternative credential,2444430,27902.3,14235.87,0.58
North Carolina,HD01_VD15,2010,Estimate; Female: - GED or alternative credential,98187,6460.26,3296.05,3.36
Durham ,HD01_VD15,2010,Estimate; Female: - GED or alternative credential,618,417.02,212.77,34.43
Forsyth ,HD01_VD15,2010,Estimate; Female: - GED or alternative credential,2180,743.49,379.33,17.4
Guilford ,HD01_VD15,2010,Estimate; Female: - GED or alternative credential,2994,942.47,480.85,16.06
United States,HD01_VD16,2010,"Estimate; Female: - Some college, no degree",16012344,67265.53,34319.15,0.21
North Carolina,HD01_VD16,2010,"Estimate; Female: - Some college, no degree",522321,12937.19,6600.61,1.26
Durham ,HD01_VD16,2010,"Estimate; Female: - Some college, no degree",5963,1370.21,699.09,11.72
Forsyth ,HD01_VD16,2010,"Estimate; Female: - Some college, no degree",18296,2272.17,1159.27,6.34
Guilford ,HD01_VD16,2010,"Estimate; Female: - Some college, no degree",20763,2896.51,1477.81,7.12
United States,HD01_VD17,2010,Estimate; Female: - Associate's degree,6410529,44714.21,22813.37,0.36
North Carolina,HD01_VD17,2010,Estimate; Female: - Associate's degree,246011,8771.74,4475.38,1.82
Durham ,HD01_VD17,2010,Estimate; Female: - Associate's degree,3947,1290.38,658.36,16.68
Forsyth ,HD01_VD17,2010,Estimate; Female: - Associate's degree,7222,1647.83,840.73,11.64
Guilford ,HD01_VD17,2010,Estimate; Female: - Associate's degree,8962,2011.23,1026.14,11.45
United States,HD01_VD18,2010,Estimate; Female: - Bachelor's degree,13966337,70974.64,36211.55,0.26
North Carolina,HD01_VD18,2010,Estimate; Female: - Bachelor's degree,458643,10638.81,5427.96,1.18
Durham ,HD01_VD18,2010,Estimate; Female: - Bachelor's degree,13906,1696.68,865.65,6.23
Forsyth ,HD01_VD18,2010,Estimate; Female: - Bachelor's degree,17753,2144.68,1094.22,6.16
Guilford ,HD01_VD18,2010,Estimate; Female: - Bachelor's degree,24755,2219.74,1132.52,4.57
United States,HD01_VD19,2010,Estimate; Female: - Graduate degree,8085090,49239.49,25122.19,0.31
North Carolina,HD01_VD19,2010,Estimate; Female: - Graduate degree,217388,8435.74,4303.95,1.98
Durham ,HD01_VD19,2010,Estimate; Female: - Graduate degree,11458,1568,800,6.98
Forsyth ,HD01_VD19,2010,Estimate; Female: - Graduate degree,10216,1559.66,795.74,7.79
Guilford ,HD01_VD19,2010,Estimate; Female: - Graduate degree,12545,1880.17,959.27,7.65
United States,HD01_VD01,2011,Estimate; Total:,140303930,19902.64,10154.41,0.01
North Carolina,HD01_VD01,2011,Estimate; Total:,4451196,4149.96,2117.33,0.05
Durham ,HD01_VD01,2011,Estimate; Total:,86583,420.6,214.59,0.25
Forsyth ,HD01_VD01,2011,Estimate; Total:,151148,168,85.71,0.06
Guilford ,HD01_VD01,2011,Estimate; Total:,192016,1411.91,720.36,0.38
United States,HD01_VD02,2011,Estimate; Male:,67856762,12552.34,6404.26,0.01
North Carolina,HD01_VD02,2011,Estimate; Male:,2127980,2690.38,1372.64,0.06
Durham ,HD01_VD02,2011,Estimate; Male:,40375,73.87,37.69,0.09
Forsyth ,HD01_VD02,2011,Estimate; Male:,70370,15.49,7.9,0.01
Guilford ,HD01_VD02,2011,Estimate; Male:,90580,737.53,376.29,0.42
United States,HD01_VD03,2011,Estimate; Male: - Less than 9th grade,1963058,26957.45,13753.8,0.7
North Carolina,HD01_VD03,2011,Estimate; Male: - Less than 9th grade,81419,6289.87,3209.12,3.94
Durham ,HD01_VD03,2011,Estimate; Male: - Less than 9th grade,330,245.45,125.23,37.95
Forsyth ,HD01_VD03,2011,Estimate; Male: - Less than 9th grade,1077,515.91,263.22,24.44
Guilford ,HD01_VD03,2011,Estimate; Male: - Less than 9th grade,1926,732.77,373.86,19.41
United States,HD01_VD04,2011,"Estimate; Male: - 9th to 12th grade, no diploma",4415731,41832,21342.86,0.48
North Carolina,HD01_VD04,2011,"Estimate; Male: - 9th to 12th grade, no diploma",183404,10175.32,5191.49,2.83
Durham ,HD01_VD04,2011,"Estimate; Male: - 9th to 12th grade, no diploma",1119,784,400,35.75
Forsyth ,HD01_VD04,2011,"Estimate; Male: - 9th to 12th grade, no diploma",2896,922.21,470.52,16.25
Guilford ,HD01_VD04,2011,"Estimate; Male: - 9th to 12th grade, no diploma",6158,1560.85,796.35,12.93
United States,HD01_VD05,2011,Estimate; Male: - Regular high school diploma,16504066,71180.77,36316.72,0.22
North Carolina,HD01_VD05,2011,Estimate; Male: - Regular high school diploma,469433,12963.4,6613.98,1.41
Durham ,HD01_VD05,2011,Estimate; Male: - Regular high school diploma,5910,1484.6,757.45,12.82
Forsyth ,HD01_VD05,2011,Estimate; Male: - Regular high school diploma,15331,2379.4,1213.98,7.92
Guilford ,HD01_VD05,2011,Estimate; Male: - Regular high school diploma,19222,2585.53,1319.15,6.86
United States,HD01_VD06,2011,Estimate; Male: - GED or alternative credential,3122780,33117.45,16896.66,0.54
North Carolina,HD01_VD06,2011,Estimate; Male: - GED or alternative credential,107054,6826.04,3482.67,3.25
Durham ,HD01_VD06,2011,Estimate; Male: - GED or alternative credential,1056,639.83,326.44,30.91
Forsyth ,HD01_VD06,2011,Estimate; Male: - GED or alternative credential,3114,999.66,510.03,16.38
Guilford ,HD01_VD06,2011,Estimate; Male: - GED or alternative credential,1763,667.23,340.42,19.31
United States,HD01_VD07,2011,"Estimate; Male: - Some college, no degree",14640115,69238.64,35325.84,0.24
North Carolina,HD01_VD07,2011,"Estimate; Male: - Some college, no degree",458577,13608,6942.86,1.51
Durham ,HD01_VD07,2011,"Estimate; Male: - Some college, no degree",6422,1685.96,860.18,13.39
Forsyth ,HD01_VD07,2011,"Estimate; Male: - Some college, no degree",14149,2064.85,1053.49,7.45
Guilford ,HD01_VD07,2011,"Estimate; Male: - Some college, no degree",17504,2292.43,1169.61,6.68
United States,HD01_VD08,2011,Estimate; Male: - Associate's degree,5035743,48811.74,24903.95,0.49
North Carolina,HD01_VD08,2011,Estimate; Male: - Associate's degree,170528,8752.68,4465.65,2.62
Durham ,HD01_VD08,2011,Estimate; Male: - Associate's degree,3188,1496.51,763.53,23.95
Forsyth ,HD01_VD08,2011,Estimate; Male: - Associate's degree,5467,1490.55,760.48,13.91
Guilford ,HD01_VD08,2011,Estimate; Male: - Associate's degree,5122,1562.04,796.96,15.56
United States,HD01_VD09,2011,Estimate; Male: - Bachelor's degree,13735288,65534.3,33435.87,0.24
North Carolina,HD01_VD09,2011,Estimate; Male: - Bachelor's degree,425263,14250.21,7270.52,1.71
Durham ,HD01_VD09,2011,Estimate; Male: - Bachelor's degree,11471,2079.15,1060.79,9.25
Forsyth ,HD01_VD09,2011,Estimate; Male: - Bachelor's degree,18588,2296,1171.43,6.3
Guilford ,HD01_VD09,2011,Estimate; Male: - Bachelor's degree,25907,2908.43,1483.89,5.73
United States,HD01_VD10,2011,Estimate; Male: - Graduate degree,8439981,52375.49,26722.19,0.32
North Carolina,HD01_VD10,2011,Estimate; Male: - Graduate degree,232302,9200.68,4694.22,2.02
Durham ,HD01_VD10,2011,Estimate; Male: - Graduate degree,10879,1853.96,945.9,8.69
Forsyth ,HD01_VD10,2011,Estimate; Male: - Graduate degree,9748,1649.02,841.34,8.63
Guilford ,HD01_VD10,2011,Estimate; Male: - Graduate degree,12978,2024.34,1032.83,7.96
United States,HD01_VD11,2011,Estimate; Female:,72447168,12148.43,6198.18,0.01
North Carolina,HD01_VD11,2011,Estimate; Female:,2323216,2568.85,1310.64,0.06
Durham ,HD01_VD11,2011,Estimate; Female:,46208,411.06,209.72,0.45
Forsyth ,HD01_VD11,2011,Estimate; Female:,80778,166.81,85.11,0.11
Guilford ,HD01_VD11,2011,Estimate; Female:,101436,687.49,350.76,0.35
United States,HD01_VD12,2011,Estimate; Female: - Less than 9th grade,1923250,22646.64,11554.41,0.6
North Carolina,HD01_VD12,2011,Estimate; Female: - Less than 9th grade,72282,4339.4,2213.98,3.06
Durham ,HD01_VD12,2011,Estimate; Female: - Less than 9th grade,176,168,85.71,48.7
Forsyth ,HD01_VD12,2011,Estimate; Female: - Less than 9th grade,1706,730.38,372.64,21.84
Guilford ,HD01_VD12,2011,Estimate; Female: - Less than 9th grade,2181,814.98,415.81,19.07
United States,HD01_VD13,2011,"Estimate; Female: - 9th to 12th grade, no diploma",4222854,44253.11,22578.12,0.53
North Carolina,HD01_VD13,2011,"Estimate; Female: - 9th to 12th grade, no diploma",163026,8772.94,4475.99,2.75
Durham ,HD01_VD13,2011,"Estimate; Female: - 9th to 12th grade, no diploma",684,459.91,234.65,34.31
Forsyth ,HD01_VD13,2011,"Estimate; Female: - 9th to 12th grade, no diploma",4515,1208.17,616.41,13.65
Guilford ,HD01_VD13,2011,"Estimate; Female: - 9th to 12th grade, no diploma",5485,1469.11,749.55,13.67
United States,HD01_VD14,2011,Estimate; Female: - Regular high school diploma,18762100,70173.96,35803.04,0.19
North Carolina,HD01_VD14,2011,Estimate; Female: - Regular high school diploma,520717,13063.49,6665.05,1.28
Durham ,HD01_VD14,2011,Estimate; Female: - Regular high school diploma,7026,1344,685.71,9.76
Forsyth ,HD01_VD14,2011,Estimate; Female: - Regular high school diploma,17801,2162.55,1103.34,6.2
Guilford ,HD01_VD14,2011,Estimate; Female: - Regular high school diploma,21085,2245.96,1145.9,5.43
United States,HD01_VD15,2011,Estimate; Female: - GED or alternative credential,2436717,33078.13,16876.6,0.69
North Carolina,HD01_VD15,2011,Estimate; Female: - GED or alternative credential,87367,5216.34,2661.4,3.05
Durham ,HD01_VD15,2011,Estimate; Female: - GED or alternative credential,763,515.91,263.22,34.5
Forsyth ,HD01_VD15,2011,Estimate; Female: - GED or alternative credential,3179,1079.49,550.76,17.32
Guilford ,HD01_VD15,2011,Estimate; Female: - GED or alternative credential,3006,972.26,496.05,16.5
United States,HD01_VD16,2011,"Estimate; Female: - Some college, no degree",15972380,65373.45,33353.8,0.21
North Carolina,HD01_VD16,2011,"Estimate; Female: - Some college, no degree",516807,12459.4,6356.84,1.23
Durham ,HD01_VD16,2011,"Estimate; Female: - Some college, no degree",7624,1689.53,862.01,11.31
Forsyth ,HD01_VD16,2011,"Estimate; Female: - Some college, no degree",17679,2318.64,1182.98,6.69
Guilford ,HD01_VD16,2011,"Estimate; Female: - Some college, no degree",19963,2606.98,1330.09,6.66
United States,HD01_VD17,2011,Estimate; Female: - Associate's degree,6613263,52283.74,26675.38,0.4
North Carolina,HD01_VD17,2011,Estimate; Female: - Associate's degree,254491,9640.34,4918.54,1.93
Durham ,HD01_VD17,2011,Estimate; Female: - Associate's degree,2122,704.17,359.27,16.93
Forsyth ,HD01_VD17,2011,Estimate; Female: - Associate's degree,7201,1221.28,623.1,8.65
Guilford ,HD01_VD17,2011,Estimate; Female: - Associate's degree,8314,1821.79,929.48,11.18
United States,HD01_VD18,2011,Estimate; Female: - Bachelor's degree,14170758,78585.87,40094.83,0.28
North Carolina,HD01_VD18,2011,Estimate; Female: - Bachelor's degree,469285,13384,6828.57,1.46
Durham ,HD01_VD18,2011,Estimate; Female: - Bachelor's degree,14823,2085.11,1063.83,7.18
Forsyth ,HD01_VD18,2011,Estimate; Female: - Bachelor's degree,19447,2458.04,1254.1,6.45
Guilford ,HD01_VD18,2011,Estimate; Female: - Bachelor's degree,27046,2889.36,1474.16,5.45
United States,HD01_VD19,2011,Estimate; Female: - Graduate degree,8345846,53922.04,27511.24,0.33
North Carolina,HD01_VD19,2011,Estimate; Female: - Graduate degree,239241,9409.19,4800.61,2.01
Durham ,HD01_VD19,2011,Estimate; Female: - Graduate degree,12990,2014.81,1027.96,7.91
Forsyth ,HD01_VD19,2011,Estimate; Female: - Graduate degree,9250,1581.11,806.69,8.72
Guilford ,HD01_VD19,2011,Estimate; Female: - Graduate degree,14356,2478.3,1264.44,8.81
United States,HD01_VD01,2012,Estimate; Total:,140902167,17127.66,8738.6,0.01
North Carolina,HD01_VD01,2012,Estimate; Total:,4484315,3296.85,1682.07,0.04
Durham ,HD01_VD01,2012,Estimate; Total:,89041,122.72,62.61,0.07
Forsyth ,HD01_VD01,2012,Estimate; Total:,152133,86.98,44.38,0.03
Guilford ,HD01_VD01,2012,Estimate; Total:,193079,1229.62,627.36,0.32
United States,HD01_VD02,2012,Estimate; Male:,68202874,11555.06,5895.44,0.01
North Carolina,HD01_VD02,2012,Estimate; Male:,2144605,2311.49,1179.33,0.05
Durham ,HD01_VD02,2012,Estimate; Male:,41311,122.72,62.61,0.15
Forsyth ,HD01_VD02,2012,Estimate; Male:,70868,86.98,44.38,0.06
