geo_description,label,year,description,estimate,moe,se,cv
North Carolina,HD01_VD12,2006,"Estimate; Male: - Some college, less than 1 year",157695,7104.85,3624.92,2.3
Durham ,HD01_VD12,2006,"Estimate; Male: - Some college, less than 1 year",3038,1042.55,531.91,17.51
Forsyth ,HD01_VD12,2006,"Estimate; Male: - Some college, less than 1 year",4915,1199.83,612.16,12.45
Guilford ,HD01_VD12,2006,"Estimate; Male: - Some college, less than 1 year",7878,1452.43,741.04,9.41
United States,HD01_VD13,2006,"Estimate; Male: - Some college, 1 or more years, no degree",12416726,63488.51,32392.1,0.26
North Carolina,HD01_VD13,2006,"Estimate; Male: - Some college, 1 or more years, no degree",346528,9963.23,5083.28,1.47
Durham ,HD01_VD13,2006,"Estimate; Male: - Some college, 1 or more years, no degree",7655,1738.38,886.93,11.59
Forsyth ,HD01_VD13,2006,"Estimate; Male: - Some college, 1 or more years, no degree",12556,2398.47,1223.71,9.75
Guilford ,HD01_VD13,2006,"Estimate; Male: - Some college, 1 or more years, no degree",23359,2665.36,1359.88,5.82
United States,HD01_VD14,2006,Estimate; Male: - Associate's degree,6336374,45992.68,23465.65,0.37
North Carolina,HD01_VD14,2006,Estimate; Male: - Associate's degree,197221,8712.17,4444.98,2.25
Durham ,HD01_VD14,2006,Estimate; Male: - Associate's degree,3554,1008,514.29,14.47
Forsyth ,HD01_VD14,2006,Estimate; Male: - Associate's degree,6900,1649.02,841.34,12.19
Guilford ,HD01_VD14,2006,Estimate; Male: - Associate's degree,7858,1289.19,657.75,8.37
United States,HD01_VD15,2006,Estimate; Male: - Bachelor's degree,16301299,79697.53,40662.01,0.25
North Carolina,HD01_VD15,2006,Estimate; Male: - Bachelor's degree,452757,10968.85,5596.35,1.24
Durham ,HD01_VD15,2006,Estimate; Male: - Bachelor's degree,14636,1883.74,961.09,6.57
Forsyth ,HD01_VD15,2006,Estimate; Male: - Bachelor's degree,22061,2304.34,1175.68,5.33
Guilford ,HD01_VD15,2006,Estimate; Male: - Bachelor's degree,30435,2671.32,1362.92,4.48
United States,HD01_VD16,2006,Estimate; Male: - Master's degree,6290273,42023.83,21440.73,0.34
North Carolina,HD01_VD16,2006,Estimate; Male: - Master's degree,158491,7078.64,3611.55,2.28
Durham ,HD01_VD16,2006,Estimate; Male: - Master's degree,6961,1327.32,677.2,9.73
Forsyth ,HD01_VD16,2006,Estimate; Male: - Master's degree,5594,1229.62,627.36,11.21
Guilford ,HD01_VD16,2006,Estimate; Male: - Master's degree,9940,1651.4,842.55,8.48
United States,HD01_VD17,2006,Estimate; Male: - Professional school degree,2284564,26969.36,13759.88,0.6
North Carolina,HD01_VD17,2006,Estimate; Male: - Professional school degree,50414,3883.06,1981.15,3.93
Durham ,HD01_VD17,2006,Estimate; Male: - Professional school degree,2613,832.85,424.92,16.26
Forsyth ,HD01_VD17,2006,Estimate; Male: - Professional school degree,3506,961.53,490.58,13.99
Guilford ,HD01_VD17,2006,Estimate; Male: - Professional school degree,2886,865.02,441.34,15.29
United States,HD01_VD18,2006,Estimate; Male: - Doctorate degree,1423646,20978.55,10703.34,0.75
North Carolina,HD01_VD18,2006,Estimate; Male: - Doctorate degree,39052,3128.85,1596.35,4.09
Durham ,HD01_VD18,2006,Estimate; Male: - Doctorate degree,4138,1056.85,539.21,13.03
Forsyth ,HD01_VD18,2006,Estimate; Male: - Doctorate degree,2195,686.3,350.15,15.95
Guilford ,HD01_VD18,2006,Estimate; Male: - Doctorate degree,2660,782.81,399.39,15.01
United States,HD01_VD19,2006,Estimate; Female:,101572883,42125.11,21492.4,0.02
