geo_description,label,year,description,estimate,moe,se,cv
United States,HD01_VD14,2006,Estimate; Male: - 40 to 44 years,11273754,49096.51,25049.24,0.22
North Carolina,HD01_VD14,2006,Estimate; Male: - 40 to 44 years,332982,9073.19,4629.18,1.39
Durham ,HD01_VD14,2006,Estimate; Male: - 40 to 44 years,8900,1529.87,780.55,8.77
Forsyth ,HD01_VD14,2006,Estimate; Male: - 40 to 44 years,12349,1808.68,922.8,7.47
Guilford ,HD01_VD14,2006,Estimate; Male: - 40 to 44 years,16819,1563.23,797.57,4.74
United States,HD01_VD15,2006,Estimate; Male: - 45 to 49 years,11283628,17529.19,8943.46,0.08
North Carolina,HD01_VD15,2006,Estimate; Male: - 45 to 49 years,323355,3170.55,1617.63,0.5
Durham ,HD01_VD15,2006,Estimate; Male: - 45 to 49 years,7869,532.6,271.73,3.45
Forsyth ,HD01_VD15,2006,Estimate; Male: - 45 to 49 years,11744,562.38,286.93,2.44
Guilford ,HD01_VD15,2006,Estimate; Male: - 45 to 49 years,16785,693.45,353.8,2.11
United States,HD01_VD16,2006,Estimate; Male: - 50 to 54 years,10037576,16906.04,8625.53,0.09
North Carolina,HD01_VD16,2006,Estimate; Male: - 50 to 54 years,296434,3852.09,1965.35,0.66
Durham ,HD01_VD16,2006,Estimate; Male: - 50 to 54 years,7529,494.47,252.28,3.35
Forsyth ,HD01_VD16,2006,Estimate; Male: - 50 to 54 years,10858,440.85,224.92,2.07
Guilford ,HD01_VD16,2006,Estimate; Male: - 50 to 54 years,15572,717.28,365.96,2.35
United States,HD01_VD17,2006,Estimate; Male: - 55 to 59 years,8762788,34525.79,17615.2,0.2
North Carolina,HD01_VD17,2006,Estimate; Male: - 55 to 59 years,265770,5640.51,2877.81,1.08
Durham ,HD01_VD17,2006,Estimate; Male: - 55 to 59 years,6382,1137.87,580.55,9.1
Forsyth ,HD01_VD17,2006,Estimate; Male: - 55 to 59 years,10999,1073.53,547.72,4.98
Guilford ,HD01_VD17,2006,Estimate; Male: - 55 to 59 years,14854,1389.28,708.82,4.77
United States,HD01_VD18,2006,Estimate; Male: - 60 and 61 years,2697559,27853.45,14210.94,0.53
North Carolina,HD01_VD18,2006,Estimate; Male: - 60 and 61 years,80880,4215.49,2150.76,2.66
Durham ,HD01_VD18,2006,Estimate; Male: - 60 and 61 years,1708,692.26,353.19,20.68
Forsyth ,HD01_VD18,2006,Estimate; Male: - 60 and 61 years,2530,817.36,417.02,16.48
Guilford ,HD01_VD18,2006,Estimate; Male: - 60 and 61 years,4367,1015.15,517.93,11.86
United States,HD01_VD19,2006,Estimate; Male: - 62 to 64 years,3773329,28901.96,14745.9,0.39
North Carolina,HD01_VD19,2006,Estimate; Male: - 62 to 64 years,116336,5360.51,2734.95,2.35
Durham ,HD01_VD19,2006,Estimate; Male: - 62 to 64 years,2534,810.21,413.37,16.31
Forsyth ,HD01_VD19,2006,Estimate; Male: - 62 to 64 years,3777,819.74,418.23,11.07
Guilford ,HD01_VD19,2006,Estimate; Male: - 62 to 64 years,4602,1094.98,558.66,12.14
United States,HD01_VD20,2006,Estimate; Male: - 65 and 66 years,2096170,20076.6,10243.16,0.49
North Carolina,HD01_VD20,2006,Estimate; Male: - 65 and 66 years,63024,3750.81,1913.68,3.04
Durham ,HD01_VD20,2006,Estimate; Male: - 65 and 66 years,1316,509.96,260.18,19.77
Forsyth ,HD01_VD20,2006,Estimate; Male: - 65 and 66 years,2091,654.13,333.74,15.96
Guilford ,HD01_VD20,2006,Estimate; Male: - 65 and 66 years,3218,869.79,443.77,13.79
United States,HD01_VD21,2006,Estimate; Male: - 67 to 69 years,2745928,20498.38,10458.36,0.38
North Carolina,HD01_VD21,2006,Estimate; Male: - 67 to 69 years,82322,4222.64,2154.41,2.62
Durham ,HD01_VD21,2006,Estimate; Male: - 67 to 69 years,1648,590.98,301.52,18.3
Forsyth ,HD01_VD21,2006,Estimate; Male: - 67 to 69 years,2884,701.79,358.06,12.42
Guilford ,HD01_VD21,2006,Estimate; Male: - 67 to 69 years,3439,940.09,479.64,13.95
United States,HD01_VD22,2006,Estimate; Male: - 70 to 74 years,3835107,23056.51,11763.53,0.31
North Carolina,HD01_VD22,2006,Estimate; Male: - 70 to 74 years,115462,4302.47,2195.14,1.9
Durham ,HD01_VD22,2006,Estimate; Male: - 70 to 74 years,2133,565.96,288.76,13.54
Forsyth ,HD01_VD22,2006,Estimate; Male: - 70 to 74 years,4467,743.49,379.33,8.49
Guilford ,HD01_VD22,2006,Estimate; Male: - 70 to 74 years,6258,909.11,463.83,7.41
United States,HD01_VD23,2006,Estimate; Male: - 75 to 79 years,3168881,24068.09,12279.64,0.39
North Carolina,HD01_VD23,2006,Estimate; Male: - 75 to 79 years,87760,3690.04,1882.67,2.15
Durham ,HD01_VD23,2006,Estimate; Male: - 75 to 79 years,1464,477.79,243.77,16.65
Forsyth ,HD01_VD23,2006,Estimate; Male: - 75 to 79 years,3973,711.32,362.92,9.13
Guilford ,HD01_VD23,2006,Estimate; Male: - 75 to 79 years,5357,869.79,443.77,8.28
United States,HD01_VD24,2006,Estimate; Male: - 80 to 84 years,2210627,20605.62,10513.07,0.48
North Carolina,HD01_VD24,2006,Estimate; Male: - 80 to 84 years,57720,3234.89,1650.45,2.86
Durham ,HD01_VD24,2006,Estimate; Male: - 80 to 84 years,1296,412.26,210.34,16.23
Forsyth ,HD01_VD24,2006,Estimate; Male: - 80 to 84 years,2070,545.7,278.42,13.45
Guilford ,HD01_VD24,2006,Estimate; Male: - 80 to 84 years,2429,683.91,348.93,14.37
United States,HD01_VD25,2006,Estimate; Male: - 85 years and over,1549962,21050.04,10739.82,0.69
North Carolina,HD01_VD25,2006,Estimate; Male: - 85 years and over,33108,2836.94,1447.42,4.37
Durham ,HD01_VD25,2006,Estimate; Male: - 85 years and over,1063,436.09,222.49,20.93
Forsyth ,HD01_VD25,2006,Estimate; Male: - 85 years and over,973,477.79,243.77,25.05
Guilford ,HD01_VD25,2006,Estimate; Male: - 85 years and over,1452,598.13,305.17,21.02
United States,HD01_VD26,2006,Estimate; Female:,151963545,24864,12685.71,0.01
