NAME,"Durham County, North Carolina","Forsyth County, North Carolina","Guilford County, North Carolina",North Carolina,United States
Pct_Assoc_p2534AA15,0.5681973,0.4771976,0.4060638,0.4138384,0.428837
Pct_Assoc_p2534AA15_SE,0.029657363,0.030477754,0.025632908,0.005739732,0.001000115
Pct_Assoc_p3544AA15,0.5444696,0.444386,0.4436423,0.4344284,0.4332211
Pct_Assoc_p3544AA15_SE,0.033310775,0.026810807,0.023234442,0.005405718,0.00100156
Pct_Assoc_p4564AA15,0.5237779,0.4248962,0.452933,0.394755,0.3873719
Pct_Assoc_p4564AA15_SE,0.023806596,0.016655314,0.0151407,0.0034416,0.000616455
Pct_Assoc_p6599AA15,0.4363264,0.3404623,0.3653493,0.3079367,0.3142915
Pct_Assoc_p6599AA15_SE,0.029523022,0.018595965,0.018257021,0.00362944,0.000677999
Pop2599AA14,198727,241997,338558,6661937,213725624
Pop2599AA14_SE,521.5805,275.9878,431.6109,5153.7994,39422.4924
Pop2599MA14,92719,111418,156392,3156700,103101814
Pop2599MA14_SE,402.4316,327.0517,283.2827,3693.617,23760.4863
Pop2599FA14,106008,130579,182166,3505237,110623810
Pop2599FA14_SE,396.9605,203.0395,341.0334,2889.9696,21382.9787
Assoc_p2599MA14,44942,42314,64944,1122309,38262026
Assoc_p2599MA14_SE,1857.126,1673.83,2337.729,9711.503,59985.298
Assoc_p2599FA14,59218,55200,76585,1404647,43422531
Assoc_p2599FA14_SE,2244.001,1994.128,2479.366,10117.108,63980.034
Assoc_p2599AA14,104160,97514,141529,2526956,81684557
Assoc_p2599AA14_SE,2912.809,2603.508,3407.673,14023.878,87702.228
Pct_Assoc_p2599AA14,0.5241361,0.4029554,0.4180347,0.3793125,0.3821936
Pct_Assoc_p2599AA14_SE,0.014721754,0.010768241,0.010079354,0.00212543,0.000416361
Pct_Assoc_p2599MA14,0.4847119,0.3797771,0.4152642,0.3555324,0.3711091
Pct_Assoc_p2599MA14_SE,0.0201398,0.015064279,0.014966794,0.003104472,0.000588059
Pct_Assoc_p2599FA14,0.5586182,0.4227326,0.4204132,0.4007281,0.3925243
Pct_Assoc_p2599FA14_SE,0.021271329,0.015285569,0.013633214,0.002905132,0.000583312
Pop2599AW14,95082,154098,195157,4566400,142031565
Pop2599AW14_SE,120.3647,269.3009,505.7751,1795.7447,9862.0061
Assoc_p2599AW14,63770,73339,99262,1931763,60162283
Assoc_p2599AW14_SE,2027.221,2154.236,2736.327,11934.232,67965.167
Pct_Assoc_p2599AW14,0.6706843,0.4759244,0.5086264,0.4230385,0.4235839
Pct_Assoc_p2599AW14_SE,0.021337664,0.014004368,0.014082985,0.002618778,0.000479425
Pop2599AB14,71015,58728,104736,1359841,25133184
Pop2599AB14_SE,356.8389,437.0821,515.5015,3531.9149,20848.0243
Assoc_p2599AB14,28191,17283,30676,380639,6970631
Assoc_p2599AB14_SE,1769.204,1238.674,1739.882,5855.222,27579.319
Pct_Assoc_p2599AB14,0.3969725,0.2942889,0.2928888,0.2799143,0.2773477
Pct_Assoc_p2599AB14_SE,0.024992831,0.021205127,0.016674502,0.00436676,0.001121184
Pop2599AH14,20400,21377,19312,438807,30696216
Pop2599AH14_SE,0,0,0,2655.319,14994.529
Assoc_p2599AH14,3464,3021,3035,76075,6264593
Assoc_p2599AH14_SE,537.7456,577.218,534.4074,2716.997,26058.7037
Pct_Assoc_p2599AH14,0.1698039,0.1413201,0.1571562,0.1733678,0.2040836
Pct_Assoc_p2599AH14_SE,0.026360076,0.027001823,0.027672295,0.006280027,0.000854756
Pop2534AA14,53375,46472,68881,1279666,43323099
Pop2534AA14_SE,390.7472,317.3474,462.5856,4485.565,19964.7991
Pop3544AA14,42872,46664,67584,1320250,40751359
Pop3544AA14_SE,465.5797,338.2939,375.4581,4642.424,14626.0441
Pop4564AA14,70124,96668,131785,2600872,83436273
Pop4564AA14_SE,628.2151,459.5218,439.29,4276.8463,21161.4461
Pop6599AA14,32356,52193,70308,1461149,46214893
Pop6599AA14_SE,364.2981,309.1214,303.2289,1795.379,11026.6281
Assoc_p2534AA14,31568,18766,31783,522487,18323058
Assoc_p2534AA14_SE,1544.17,1312.237,1747.21,6566.31,41616.55
Assoc_p3544AA14,21870,20866,30148,569686,17422576
Assoc_p3544AA14_SE,1429.836,1219.718,1629.828,6684.704,38549.967
Assoc_p4564AA14,35319,40575,57207,1002839,31975430
Assoc_p4564AA14_SE,1616.715,1531.837,1966.224,8536.134,49227.494
Assoc_p6599AA14,15403,17307,22391,431944,13963493
Assoc_p6599AA14_SE,955.4968,1025.7213,1234.0999,5486.995,30391.5509
Pct_Assoc_p2534AA14,0.5914379,0.403813,0.461419,0.4082995,0.4229397
Pct_Assoc_p2534AA14_SE,0.029252793,0.028371478,0.025554215,0.005327123,0.000980182
Pct_Assoc_p3544AA14,0.5101232,0.4471541,0.4460819,0.4314986,0.4275336
Pct_Assoc_p3544AA14_SE,0.033808245,0.026338554,0.024242583,0.005285666,0.000958344
Pct_Assoc_p4564AA14,0.5036649,0.4197356,0.4340934,0.385578,0.3832318
Pct_Assoc_p4564AA14_SE,0.023492476,0.015971492,0.014989939,0.00334271,0.000597954
