GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Less than 9th grade,Margin of Error; Male: - Less than 9th grade,"Estimate; Male: - 9th to 12th grade, no diploma","Margin of Error; Male: - 9th to 12th grade, no diploma",Estimate; Male: - Regular high school diploma,Margin of Error; Male: - Regular high school diploma,Estimate; Male: - GED or alternative credential,Margin of Error; Male: - GED or alternative credential,"Estimate; Male: - Some college, no degree","Margin of Error; Male: - Some college, no degree",Estimate; Male: - Associate's degree,Margin of Error; Male: - Associate's degree,Estimate; Male: - Bachelor's degree,Margin of Error; Male: - Bachelor's degree,Estimate; Male: - Graduate or professional degree,Margin of Error; Male: - Graduate or professional degree,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Less than 9th grade,Margin of Error; Female: - Less than 9th grade,"Estimate; Female: - 9th to 12th grade, no diploma","Margin of Error; Female: - 9th to 12th grade, no diploma",Estimate; Female: - Regular high school diploma,Margin of Error; Female: - Regular high school diploma,Estimate; Female: - GED or alternative credential,Margin of Error; Female: - GED or alternative credential,"Estimate; Female: - Some college, no degree","Margin of Error; Female: - Some college, no degree",Estimate; Female: - Associate's degree,Margin of Error; Female: - Associate's degree,Estimate; Female: - Bachelor's degree,Margin of Error; Female: - Bachelor's degree,Estimate; Female: - Graduate or professional degree,Margin of Error; Female: - Graduate or professional degree
0100000US,,United States,29673441,28211,14902074,19091,3211255,33592,2263804,28554,3557632,34075,654118,13092,2539730,26844,769345,14497,1292419,22357,613771,15163,14771367,14775,3018966,28848,1984708,25985,3300715,29542,543750,10992,2720797,27180,957899,15675,1538767,22822,705765,14924
0400000US37,37,North Carolina,425173,4535,227503,4418,72325,4372,36470,3610,47895,3700,6908,1447,30043,2811,8342,1570,18201,2433,7319,1600,197670,3018,53090,3860,30048,3194,38251,4271,6084,1336,32213,3064,9260,1512,19804,2536,8920,1617
0500000US37063,37063,"Durham County, North Carolina",20434,*****,11749,533,4762,1176,1458,952,1744,828,562,380,1123,689,442,393,1354,691,304,311,8685,532,3394,998,840,574,381,381,501,397,1412,630,565,611,742,435,850,550
0500000US37067,37067,"Forsyth County, North Carolina",20544,767,10535,766,2767,799,2784,939,2742,960,92,123,726,465,255,256,669,585,500,429,10009,*****,2987,823,2665,676,1834,840,521,446,1113,633,70,84,424,275,395,266
0500000US37081,37081,"Guilford County, North Carolina",18794,*****,9865,*****,1590,812,1416,677,3751,1037,295,247,1153,507,147,171,1144,505,369,253,8929,*****,1647,828,1534,691,1998,892,134,137,1368,554,671,397,1009,448,568,383
