GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - No schooling completed,Margin of Error; Male: - No schooling completed,Estimate; Male: - Nursery to 4th grade,Margin of Error; Male: - Nursery to 4th grade,Estimate; Male: - 5th and 6th grade,Margin of Error; Male: - 5th and 6th grade,Estimate; Male: - 7th and 8th grade,Margin of Error; Male: - 7th and 8th grade,Estimate; Male: - 9th grade,Margin of Error; Male: - 9th grade,Estimate; Male: - 10th grade,Margin of Error; Male: - 10th grade,Estimate; Male: - 11th grade,Margin of Error; Male: - 11th grade,"Estimate; Male: - 12th grade, no diploma","Margin of Error; Male: - 12th grade, no diploma","Estimate; Male: - High school graduate, GED, or alternative","Margin of Error; Male: - High school graduate, GED, or alternative","Estimate; Male: - Some college, less than 1 year","Margin of Error; Male: - Some college, less than 1 year","Estimate; Male: - Some college, 1 or more years, no degree","Margin of Error; Male: - Some college, 1 or more years, no degree",Estimate; Male: - Associate's degree,Margin of Error; Male: - Associate's degree,Estimate; Male: - Bachelor's degree,Margin of Error; Male: - Bachelor's degree,Estimate; Male: - Master's degree,Margin of Error; Male: - Master's degree,Estimate; Male: - Professional school degree,Margin of Error; Male: - Professional school degree,Estimate; Male: - Doctorate degree,Margin of Error; Male: - Doctorate degree,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - No schooling completed,Margin of Error; Female: - No schooling completed,Estimate; Female: - Nursery to 4th grade,Margin of Error; Female: - Nursery to 4th grade,Estimate; Female: - 5th and 6th grade,Margin of Error; Female: - 5th and 6th grade,Estimate; Female: - 7th and 8th grade,Margin of Error; Female: - 7th and 8th grade,Estimate; Female: - 9th grade,Margin of Error; Female: - 9th grade,Estimate; Female: - 10th grade,Margin of Error; Female: - 10th grade,Estimate; Female: - 11th grade,Margin of Error; Female: - 11th grade,"Estimate; Female: - 12th grade, no diploma","Margin of Error; Female: - 12th grade, no diploma","Estimate; Female: - High school graduate, GED, or alternative","Margin of Error; Female: - High school graduate, GED, or alternative","Estimate; Female: - Some college, less than 1 year","Margin of Error; Female: - Some college, less than 1 year","Estimate; Female: - Some college, 1 or more years, no degree","Margin of Error; Female: - Some college, 1 or more years, no degree",Estimate; Female: - Associate's degree,Margin of Error; Female: - Associate's degree,Estimate; Female: - Bachelor's degree,Margin of Error; Female: - Bachelor's degree,Estimate; Female: - Master's degree,Margin of Error; Female: - Master's degree,Estimate; Female: - Professional school degree,Margin of Error; Female: - Professional school degree,Estimate; Female: - Doctorate degree,Margin of Error; Female: - Doctorate degree
0100000US,,United States,201952383,73039,97482149,42435,1249100,20309,921148,17188,1918444,24886,2237159,31161,1915011,23198,2387270,26602,2577517,27012,1865818,23866,27895457,75768,5833314,41991,14445929,59841,6565653,34386,17174475,74157,6624189,40268,2384553,24049,1487112,19474,104470234,37930,1343731,15692,894118,17132,1767109,22006,2310152,24320,1791286,22660,2323190,25062,2580048,28246,1704147,20163,29656214,77459,7008052,45359,15800189,73014,8626673,50321,18319892,71616,7954929,45802,1529298,19493,861206,14772
0400000US37,37,North Carolina,6150247,8866,2916650,6648,40594,4005,24569,2981,55071,3894,81027,4699,79242,4871,101798,5481,81342,5059,46015,3197,817768,13128,180569,7264,431244,10349,209637,6854,505457,10610,161122,5993,57814,3424,43381,2916,3233597,5337,33629,3624,19920,2533,40375,2979,69410,4095,71799,3821,90399,4397,88025,4811,40509,2830,860593,12236,225479,7778,513558,10265,315102,9398,586049,11142,219500,7093,35536,3101,23714,2323
0500000US37063,37063,"Durham County, North Carolina",175087,3046,81031,2522,1417,822,1017,469,2484,924,1130,713,2137,779,1875,672,2273,707,958,465,14110,1922,3687,1004,10795,1862,3882,1046,19135,2395,7287,1574,3724,918,5120,1104,94056,701,591,449,1054,568,2000,753,589,407,1657,605,2137,865,2087,857,1237,635,16684,1730,3872,918,12309,1420,6179,1394,23323,2011,13173,1637,2893,807,4271,1084
0500000US37067,37067,"Forsyth County, North Carolina",236228,571,110320,526,740,311,968,638,2388,863,2530,1108,1450,668,3864,1054,3267,1123,1388,536,28708,2358,5757,1154,17685,2053,7059,1173,23568,2090,5776,950,3437,753,1735,674,125908,371,1446,605,395,318,2527,866,1584,734,2179,949,2686,856,2264,781,1699,656,35506,2596,7743,1137,24180,2267,8819,1524,23431,2024,9233,1373,1608,436,608,327
0500000US37081,37081,"Guilford County, North Carolina",314315,861,146476,843,2128,737,995,582,2036,797,2813,951,2782,845,4218,1023,3148,993,2453,983,37704,3331,7638,1395,25153,2488,8016,1599,32116,2410,9434,1473,3985,902,1857,665,167839,704,890,398,1130,593,2259,803,2135,712,2783,975,3717,854,3706,848,2440,704,44164,3378,9963,1504,29729,2436,11304,1842,38289,2650,11391,1325,2387,715,1552,521
