subtype,geo_area,estimate,se,type,year,estimate_adj,se_adj,moe_adj,cv_adj
24,"Durham County, NC",9.019607843137255,0.8888942474137659,AGEP,2015,9.33,0.86,1.69,9.22
24,"Forsyth County, NC",10.784313725490197,0.7883475816373694,AGEP,2015,11.16,0.76,1.49,6.81
24,"Guilford County, NC",10,0.5409769254517932,AGEP,2015,10.34,0.52,1.02,5.03
44,"Durham County, NC",16.470588235294116,0.7467879893890613,AGEP,2015,17.04,0.72,1.41,4.23
44,"Forsyth County, NC",15.196078431372548,0.9857844734381249,AGEP,2015,15.72,0.95,1.86,6.04
44,"Guilford County, NC",14.948453608247423,0.39527940518156823,AGEP,2015,15.46,0.38,0.74,2.46
64,"Durham County, NC",22.058823529411764,1.1974186573266237,AGEP,2015,22.82,1.16,2.27,5.08
64,"Forsyth County, NC",19.607843137254903,0.519963533479088,AGEP,2015,20.28,0.5,0.98,2.47
64,"Guilford County, NC",19.607843137254903,0.3011554137128591,AGEP,2015,20.28,0.29,0.57,1.43
1,"Durham County, NC",17.15686274509804,0.7022709129735958,SEX,2015,17.75,0.68,1.33,3.83
1,"Forsyth County, NC",17.973856209150327,0.8452136896112876,SEX,2015,18.59,0.82,1.61,4.41
1,"Guilford County, NC",17.15686274509804,0.5264453346081418,SEX,2015,17.75,0.51,1,2.87
2,"Durham County, NC",18.03921568627451,0.9790285564749647,SEX,2015,18.66,0.95,1.86,5.09
2,"Forsyth County, NC",16.176470588235293,0.49041687563116426,SEX,2015,16.73,0.47,0.92,2.81
2,"Guilford County, NC",15.294117647058824,0.5360102903145154,SEX,2015,15.82,0.52,1.02,3.29
1,"Durham County, NC",22.657952069716774,1.285381362855919,RAC1P,2015,23.44,1.24,2.43,5.29
1,"Forsyth County, NC",19.607843137254903,0.805716305630427,RAC1P,2015,20.28,0.78,1.53,3.85
1,"Guilford County, NC",19.607843137254903,0.2400964311341165,RAC1P,2015,20.28,0.23,0.45,1.13
2,"Durham County, NC",15.686274509803921,1.2194706074954091,RAC1P,2015,16.23,1.18,2.31,7.27
2,"Forsyth County, NC",13.72549019607843,0.9684131424853073,RAC1P,2015,14.2,0.94,1.84,6.62
2,"Guilford County, NC",14.705882352941176,0.18400248008074055,RAC1P,2015,15.21,0.18,0.35,1.18
3,"Durham County, NC",8.96358543417367,1.650768365856242,RAC1P,2015,9.27,1.6,3.14,17.26
3,"Forsyth County, NC",10.294117647058824,0.6431292889217581,RAC1P,2015,10.65,0.62,1.22,5.82
3,"Guilford County, NC",11.27450980392157,0.687821636935712,RAC1P,2015,11.66,0.66,1.29,5.66
4,"Durham County, NC",20,3.933661099929988,RAC1P,2015,20.69,3.8,7.45,18.37
4,"Forsyth County, NC",13.165266106442576,5.469847391056568,RAC1P,2015,13.62,5.29,10.37,38.84
4,"Guilford County, NC",15.686274509803921,1.3797201057733186,RAC1P,2015,16.23,1.33,2.61,8.19
100,"Durham County, NC",17.24137931034483,0.7172338656441164,total,2015,17.83,0.69,1.35,3.87
100,"Forsyth County, NC",16.715686274509803,0.5655490233048861,total,2015,17.29,0.55,1.08,3.18
100,"Guilford County, NC",16.176470588235293,0.3795840730889654,total,2015,16.73,0.37,0.73,2.21
24,North Carolina,9.803921568627452,0.2787897471802978,AGEP,2016,10.01,0.27,0.53,2.7
44,North Carolina,16.33986928104575,0.43956114409119745,AGEP,2016,16.69,0.43,0.84,2.58
64,North Carolina,20.392156862745097,0.5059761825299347,AGEP,2016,20.83,0.5,0.98,2.4
1,North Carolina,18.137254901960784,0.5894607606047975,SEX,2016,18.53,0.58,1.14,3.13
2,North Carolina,16.176470588235293,0.3409123843570618,SEX,2016,16.52,0.33,0.65,2
1,North Carolina,21.176470588235293,0.583737025561695,RAC1P,2016,21.63,0.57,1.12,2.64
2,North Carolina,14.705882352941176,0.1941001409392956,RAC1P,2016,15.02,0.19,0.37,1.26
3,North Carolina,11.764705882352942,0.5742375652995637,RAC1P,2016,12.02,0.56,1.1,4.66
4,North Carolina,16.99346405228758,3.0806232782302243,RAC1P,2016,17.36,3.02,5.92,17.4
100,North Carolina,17.15686274509804,0.0423722525450332,total,2016,17.52,0.04,0.08,0.23
24,"Durham County, NC",12.254901960784315,1.595949930168321,AGEP,2016,12.52,1.56,3.06,12.46
24,"Forsyth County, NC",8.555008210180624,0.9945456042122016,AGEP,2016,8.74,0.97,1.9,11.1
24,"Guilford County, NC",9.803921568627452,0.6914709053160625,AGEP,2016,10.01,0.68,1.33,6.79
44,"Durham County, NC",17.647058823529413,1.0117354951503335,AGEP,2016,18.02,0.99,1.94,5.49
44,"Forsyth County, NC",15.686274509803921,0.6101909277660319,AGEP,2016,16.02,0.6,1.18,3.75
44,"Guilford County, NC",15.686274509803921,0.4862167865587463,AGEP,2016,16.02,0.48,0.94,3
64,"Durham County, NC",21.568627450980394,1.3751648651631323,AGEP,2016,22.03,1.35,2.65,6.13
64,"Forsyth County, NC",19.607843137254903,1.1352417268560702,AGEP,2016,20.03,1.11,2.18,5.54
64,"Guilford County, NC",20.2020202020202,0.549007473293988,AGEP,2016,20.63,0.54,1.06,2.62
1,"Durham County, NC",19.215686274509803,0.7407005505180204,SEX,2016,19.63,0.73,1.43,3.72
1,"Forsyth County, NC",17.15686274509804,0.7829480577945201,SEX,2016,17.52,0.77,1.51,4.39
1,"Guilford County, NC",18.137254901960784,0.7357829845519231,SEX,2016,18.53,0.72,1.41,3.89
2,"Durham County, NC",17.429193899782135,0.5897521957074712,SEX,2016,17.8,0.58,1.14,3.26
2,"Forsyth County, NC",15.931372549019608,0.5513441567634145,SEX,2016,16.27,0.54,1.06,3.32
2,"Guilford County, NC",15.151515151515152,0.4964779645388371,SEX,2016,15.48,0.49,0.96,3.17
1,"Durham County, NC",23.529411764705884,0.5953846352859306,RAC1P,2016,24.03,0.58,1.14,2.41
1,"Forsyth County, NC",19.607843137254903,0.41509094431618293,RAC1P,2016,20.03,0.41,0.8,2.05
1,"Guilford County, NC",20.61855670103093,0.8791916850763205,RAC1P,2016,21.06,0.86,1.69,4.08
2,"Durham County, NC",16.176470588235293,1.054222966584623,RAC1P,2016,16.52,1.03,2.02,6.23
2,"Forsyth County, NC",12.873563218390805,1.0421407850895656,RAC1P,2016,13.15,1.02,2,7.76
2,"Guilford County, NC",14.46078431372549,0.4848422072759596,RAC1P,2016,14.77,0.47,0.92,3.18
3,"Durham County, NC",11.895424836601308,1.0551856213463309,RAC1P,2016,12.15,1.03,2.02,8.48
3,"Forsyth County, NC",10.893246187363834,1.4645781728583496,RAC1P,2016,11.13,1.43,2.8,12.85
3,"Guilford County, NC",11.437908496732026,0.8326030793524347,RAC1P,2016,11.68,0.82,1.61,7.02
4,"Durham County, NC",25.272331154684096,8.667877512078002,RAC1P,2016,25.81,8.49,16.64,32.89
4,"Forsyth County, NC",24.50980392156863,3.8275054464215414,RAC1P,2016,25.03,3.75,7.35,14.98
4,"Guilford County, NC",13.026819923371647,1.2591543220569634,RAC1P,2016,13.31,1.23,2.41,9.24
100,"Durham County, NC",18.137254901960784,0.8320146422347854,total,2016,18.53,0.81,1.59,4.37
100,"Forsyth County, NC",16.55773420479303,0.4271020051736411,total,2016,16.91,0.42,0.82,2.48
100,"Guilford County, NC",16.666666666666668,0.6585703768725029,total,2016,17.02,0.64,1.25,3.76
24,North Carolina,11.764705882352942,0.6444654728763465,AGEP,2017,11.76,0.64,1.25,5.44
44,North Carolina,17.24137931034483,0.34832953882540024,AGEP,2017,17.24,0.35,0.69,2.03
64,North Carolina,22.058823529411764,0.39547373838513744,AGEP,2017,22.06,0.4,0.78,1.81
1,North Carolina,19.607843137254903,0.4685201306678718,SEX,2017,19.61,0.47,0.92,2.4
2,North Carolina,17.565359477124183,0.42923021725336025,SEX,2017,17.57,0.43,0.84,2.45
1,North Carolina,22.058823529411764,0.3139639487602237,RAC1P,2017,22.06,0.31,0.61,1.41
2,North Carolina,14.705882352941176,0.40081855399350497,RAC1P,2017,14.71,0.4,0.78,2.72
3,North Carolina,13.235294117647058,0.9304971337374807,RAC1P,2017,13.24,0.93,1.82,7.02
4,North Carolina,17.429193899782135,1.9725246166939603,RAC1P,2017,17.43,1.97,3.86,11.3
100,North Carolina,18.39080459770115,0.44063004904276826,total,2017,18.39,0.44,0.86,2.39
24,"Durham County, NC",12.121212121212121,1.2506502054795534,AGEP,2017,12.12,1.25,2.45,10.31
24,"Forsyth County, NC",12.254901960784315,0.49452215377989694,AGEP,2017,12.25,0.49,0.96,4
24,"Guilford County, NC",10.196078431372548,1.3445846713509746,AGEP,2017,10.2,1.34,2.63,13.14
44,"Durham County, NC",19.11764705882353,0.9748606473075675,AGEP,2017,19.12,0.97,1.9,5.07
44,"Forsyth County, NC",17.15686274509804,0.4461032466473129,AGEP,2017,17.16,0.45,0.88,2.62
44,"Guilford County, NC",17.15686274509804,0.6366180507818991,AGEP,2017,17.16,0.64,1.25,3.73
64,"Durham County, NC",23.529411764705884,0.6195144887343124,AGEP,2017,23.53,0.62,1.22,2.63
64,"Forsyth County, NC",21.69934640522876,0.9160797745793681,AGEP,2017,21.7,0.92,1.8,4.24
64,"Guilford County, NC",21.390374331550802,0.7251014389188227,AGEP,2017,21.39,0.73,1.43,3.41
1,"Durham County, NC",19.607843137254903,1.6165104825508083,SEX,2017,19.61,1.62,3.18,8.26
1,"Forsyth County, NC",18.627450980392158,0.9891970296276943,SEX,2017,18.63,0.99,1.94,5.31
1,"Guilford County, NC",19.607843137254903,0.7728403565225457,SEX,2017,19.61,0.77,1.51,3.93
2,"Durham County, NC",19.607843137254903,0.34594261239436164,SEX,2017,19.61,0.35,0.69,1.78
2,"Forsyth County, NC",17.234262125902994,0.5800597580808673,SEX,2017,17.23,0.58,1.14,3.37
2,"Guilford County, NC",17.15686274509804,0.43902176119328945,SEX,2017,17.16,0.44,0.86,2.56
1,"Durham County, NC",24.50980392156863,0.642333785430482,RAC1P,2017,24.51,0.64,1.25,2.61
1,"Forsyth County, NC",21.176470588235293,0.7972534949928559,RAC1P,2017,21.18,0.8,1.57,3.78
1,"Guilford County, NC",21.116138763197586,0.9915202023092384,RAC1P,2017,21.12,0.99,1.94,4.69
2,"Durham County, NC",14.950980392156863,0.9432890421110803,RAC1P,2017,14.95,0.94,1.84,6.29
2,"Forsyth County, NC",13.850574712643677,0.988272400568397,RAC1P,2017,13.85,0.99,1.94,7.15
2,"Guilford County, NC",15.250544662309368,1.0779481422449755,RAC1P,2017,15.25,1.08,2.12,7.08
3,"Durham County, NC",13.793103448275861,1.1358995226598254,RAC1P,2017,13.79,1.14,2.23,8.27
3,"Forsyth County, NC",12.941176470588236,0.7863003399297973,RAC1P,2017,12.94,0.79,1.55,6.11
3,"Guilford County, NC",13.793103448275861,1.948201276957804,RAC1P,2017,13.79,1.95,3.82,14.14
4,"Durham County, NC",22.5,3.7367919672961043,RAC1P,2017,22.5,3.74,7.33,16.62
4,"Forsyth County, NC",14.285714285714286,4.298361011674657,RAC1P,2017,14.29,4.3,8.43,30.09
4,"Guilford County, NC",14.264705882352942,1.472671450392728,RAC1P,2017,14.26,1.47,2.88,10.31
100,"Durham County, NC",19.607843137254903,0.2912351399284586,total,2017,19.61,0.29,0.57,1.48
100,"Forsyth County, NC",17.647058823529413,0.6935255594247568,total,2017,17.65,0.69,1.35,3.91
100,"Guilford County, NC",17.647058823529413,0.6542508375219362,total,2017,17.65,0.65,1.27,3.68
