GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Owner occupied,Margin of Error; Total: - Owner occupied,Estimate; Total: - Renter occupied,Margin of Error; Total: - Renter occupied
0100000US,,United States,80846773,83948,57389517,138419,23457256,81756
0400000US37,37,North Carolina,2633908,10434,1897560,12191,736348,11917
0500000US37001,37001,"Alamance County, North Carolina",43822,1302,30237,1489,13585,1511
0500000US37019,37019,"Brunswick County, North Carolina",43017,2024,35077,1800,7940,1453
0500000US37021,37021,"Buncombe County, North Carolina",89227,2159,61087,2726,28140,2458
0500000US37023,37023,"Burke County, North Carolina",30272,1416,23095,1699,7177,1293
0500000US37025,37025,"Cabarrus County, North Carolina",51616,1607,37864,1924,13752,1957
0500000US37027,37027,"Caldwell County, North Carolina",29240,1307,20776,1492,8464,1254
0500000US37031,37031,"Carteret County, North Carolina",26547,1220,19815,1159,6732,1117
0500000US37035,37035,"Catawba County, North Carolina",48081,1557,35571,1604,12510,1751
0500000US37037,37037,"Chatham County, North Carolina",21630,968,16340,1119,5290,939
0500000US37045,37045,"Cleveland County, North Carolina",26335,1305,19856,1243,6479,1240
0500000US37049,37049,"Craven County, North Carolina",28425,1014,20034,1310,8391,1066
0500000US37051,37051,"Cumberland County, North Carolina",57083,1628,33102,1601,23981,1693
0500000US37057,37057,"Davidson County, North Carolina",54260,1381,39835,1954,14425,1879
0500000US37063,37063,"Durham County, North Carolina",60059,1799,39356,2023,20703,1902
0500000US37067,37067,"Forsyth County, North Carolina",91754,1663,67298,1845,24456,2060
0500000US37071,37071,"Gaston County, North Carolina",61053,1528,44367,1788,16686,1572
0500000US37081,37081,"Guilford County, North Carolina",110623,2187,79675,2319,30948,2329
0500000US37085,37085,"Harnett County, North Carolina",29006,1011,21803,1148,7203,909
0500000US37089,37089,"Henderson County, North Carolina",41484,1518,30542,1507,10942,1596
0500000US37097,37097,"Iredell County, North Carolina",51948,1430,39776,1836,12172,1543
0500000US37101,37101,"Johnston County, North Carolina",48796,1570,37169,1864,11627,1891
0500000US37109,37109,"Lincoln County, North Carolina",26647,1249,21190,1454,5457,1278
0500000US37119,37119,"Mecklenburg County, North Carolina",212502,2902,147994,2783,64508,2978
0500000US37125,37125,"Moore County, North Carolina",30486,1331,23086,1348,7400,1410
0500000US37127,37127,"Nash County, North Carolina",19919,905,16107,1265,3812,962
0500000US37129,37129,"New Hanover County, North Carolina",74613,1816,46840,2027,27773,2237
0500000US37133,37133,"Onslow County, North Carolina",44713,2026,24620,2245,20093,2141
0500000US37135,37135,"Orange County, North Carolina",40108,1163,24897,1305,15211,1584
0500000US37147,37147,"Pitt County, North Carolina",39368,1663,25232,1611,14136,1934
0500000US37151,37151,"Randolph County, North Carolina",47558,1302,33634,1861,13924,1807
0500000US37155,37155,"Robeson County, North Carolina",14304,685,10128,725,4176,666
0500000US37157,37157,"Rockingham County, North Carolina",27847,1444,20852,1389,6995,1357
0500000US37159,37159,"Rowan County, North Carolina",39841,1696,29518,2140,10323,1549
0500000US37161,37161,"Rutherford County, North Carolina",21959,1302,16503,1167,5456,1135
0500000US37171,37171,"Surry County, North Carolina",26545,798,19451,1048,7094,932
0500000US37179,37179,"Union County, North Carolina",58206,1186,48093,1630,10113,1482
0500000US37183,37183,"Wake County, North Carolina",251619,3420,178586,3027,73033,3655
0500000US37191,37191,"Wayne County, North Carolina",27540,983,20468,1127,7072,1069
0500000US37193,37193,"Wilkes County, North Carolina",25243,1245,19892,1270,5351,1109
0500000US37195,37195,"Wilson County, North Carolina",16421,1032,11754,1049,4667,1019
