GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Owner occupied,Margin of Error; Total: - Owner occupied,Estimate; Total: - Renter occupied,Margin of Error; Total: - Renter occupied
0100000US,,United States,14693205,47709,6612503,45346,8080702,40010
0400000US37,37,North Carolina,228709,5358,96850,4599,131859,5199
0500000US37001,37001,"Alamance County, North Carolina",4390,706,2922,539,1468,620
0500000US37019,37019,"Brunswick County, North Carolina",1740,358,348,272,1392,477
0500000US37021,37021,"Buncombe County, North Carolina",3734,742,1477,579,2257,823
0500000US37023,37023,"Burke County, North Carolina",975,224,317,180,658,242
0500000US37025,37025,"Cabarrus County, North Carolina",5029,741,2483,721,2546,749
0500000US37027,37027,"Caldwell County, North Carolina",845,268,448,194,397,244
0500000US37031,37031,"Carteret County, North Carolina",641,238,339,227,302,365
0500000US37035,37035,"Catawba County, North Carolina",3715,625,852,391,2863,595
0500000US37037,37037,"Chatham County, North Carolina",2585,588,1568,606,1017,603
0500000US37045,37045,"Cleveland County, North Carolina",961,301,383,436,578,288
0500000US37049,37049,"Craven County, North Carolina",2038,429,629,265,1409,455
0500000US37051,37051,"Cumberland County, North Carolina",11067,1117,4467,713,6600,1217
0500000US37057,37057,"Davidson County, North Carolina",2591,391,1222,387,1369,459
0500000US37063,37063,"Durham County, North Carolina",11019,1089,3371,848,7648,1397
0500000US37067,37067,"Forsyth County, North Carolina",11123,1171,4374,888,6749,1239
0500000US37071,37071,"Gaston County, North Carolina",3616,414,1968,643,1648,629
0500000US37081,37081,"Guilford County, North Carolina",9399,907,3903,810,5496,971
0500000US37085,37085,"Harnett County, North Carolina",3870,701,1413,610,2457,627
0500000US37089,37089,"Henderson County, North Carolina",3331,629,1005,504,2326,748
0500000US37097,37097,"Iredell County, North Carolina",2583,546,894,372,1689,508
0500000US37101,37101,"Johnston County, North Carolina",5661,908,2759,916,2902,1027
0500000US37109,37109,"Lincoln County, North Carolina",1705,467,510,388,1195,508
0500000US37119,37119,"Mecklenburg County, North Carolina",34562,1545,12865,1400,21697,1629
0500000US37125,37125,"Moore County, North Carolina",1652,492,994,407,658,403
0500000US37127,37127,"Nash County, North Carolina",1668,334,955,391,713,296
0500000US37129,37129,"New Hanover County, North Carolina",3317,744,945,568,2372,625
0500000US37133,37133,"Onslow County, North Carolina",5873,1116,3147,1035,2726,987
0500000US37135,37135,"Orange County, North Carolina",2717,519,1186,439,1531,443
0500000US37147,37147,"Pitt County, North Carolina",3125,568,885,468,2240,667
0500000US37151,37151,"Randolph County, North Carolina",4115,485,2006,564,2109,675
0500000US37155,37155,"Robeson County, North Carolina",2731,442,869,351,1862,538
0500000US37157,37157,"Rockingham County, North Carolina",1250,350,796,406,454,434
0500000US37159,37159,"Rowan County, North Carolina",2465,346,965,364,1500,469
0500000US37161,37161,"Rutherford County, North Carolina",674,223,155,233,519,239
0500000US37171,37171,"Surry County, North Carolina",1474,333,1022,328,452,199
0500000US37179,37179,"Union County, North Carolina",5425,729,3015,833,2410,611
0500000US37183,37183,"Wake County, North Carolina",25933,2245,10790,1760,15143,1962
0500000US37191,37191,"Wayne County, North Carolina",3191,752,1308,563,1883,899
0500000US37193,37193,"Wilkes County, North Carolina",1060,230,401,253,659,273
0500000US37195,37195,"Wilson County, North Carolina",2275,369,629,344,1646,547
