GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Owner occupied:,Margin of Error; Owner occupied:,Estimate; Owner occupied: - Householder 15 to 24 years,Margin of Error; Owner occupied: - Householder 15 to 24 years,Estimate; Owner occupied: - Householder 25 to 34 years,Margin of Error; Owner occupied: - Householder 25 to 34 years,Estimate; Owner occupied: - Householder 35 to 44 years,Margin of Error; Owner occupied: - Householder 35 to 44 years,Estimate; Owner occupied: - Householder 45 to 54 years,Margin of Error; Owner occupied: - Householder 45 to 54 years,Estimate; Owner occupied: - Householder 55 to 59 years,Margin of Error; Owner occupied: - Householder 55 to 59 years,Estimate; Owner occupied: - Householder 60 to 64 years,Margin of Error; Owner occupied: - Householder 60 to 64 years,Estimate; Owner occupied: - Householder 65 to 74 years,Margin of Error; Owner occupied: - Householder 65 to 74 years,Estimate; Owner occupied: - Householder 75 to 84 years,Margin of Error; Owner occupied: - Householder 75 to 84 years,Estimate; Owner occupied: - Householder 85 years and over,Margin of Error; Owner occupied: - Householder 85 years and over,Estimate; Renter occupied:,Margin of Error; Renter occupied:,Estimate; Renter occupied: - Householder 15 to 24 years,Margin of Error; Renter occupied: - Householder 15 to 24 years,Estimate; Renter occupied: - Householder 25 to 34 years,Margin of Error; Renter occupied: - Householder 25 to 34 years,Estimate; Renter occupied: - Householder 35 to 44 years,Margin of Error; Renter occupied: - Householder 35 to 44 years,Estimate; Renter occupied: - Householder 45 to 54 years,Margin of Error; Renter occupied: - Householder 45 to 54 years,Estimate; Renter occupied: - Householder 55 to 59 years,Margin of Error; Renter occupied: - Householder 55 to 59 years,Estimate; Renter occupied: - Householder 60 to 64 years,Margin of Error; Renter occupied: - Householder 60 to 64 years,Estimate; Renter occupied: - Householder 65 to 74 years,Margin of Error; Renter occupied: - Householder 65 to 74 years,Estimate; Renter occupied: - Householder 75 to 84 years,Margin of Error; Renter occupied: - Householder 75 to 84 years,Estimate; Renter occupied: - Householder 85 years and over,Margin of Error; Renter occupied: - Householder 85 years and over
0500000US37063,37063,"Durham County, North Carolina",100118,2121,55469,2616,884,557,7588,1237,13343,1345,12699,1341,5512,1085,4900,898,5418,717,4243,672,882,314,44649,2471,5452,992,14415,1765,10134,1485,6723,1200,2464,668,1519,687,1811,644,1248,439,883,421
0500000US37067,37067,"Forsyth County, North Carolina",133056,2646,86497,2726,783,350,8463,1114,17812,1734,19893,1255,10676,1053,7457,898,11447,634,7751,797,2215,585,46559,2630,6162,1053,12492,1576,10584,1520,7427,1369,3208,965,1626,519,1871,557,2316,679,873,287
0500000US37071,37071,"Gaston County, North Carolina",73886,1780,52787,2243,641,342,6947,896,10803,1081,11843,966,5298,1003,5275,933,6620,713,4204,644,1156,487,21099,1985,1779,640,5631,1187,4147,1144,3767,943,2483,889,1117,631,1175,477,508,278,492,363
0500000US37081,37081,"Guilford County, North Carolina",184180,2372,115911,3149,1482,573,12607,1498,23306,1591,29629,1725,12910,1343,10247,1322,13787,1051,10408,824,1535,443,68269,3390,11178,1442,16994,1679,14517,1806,10659,1349,5577,1280,1582,491,3177,919,2929,798,1656,518
0500000US37085,37085,"Harnett County, North Carolina",36269,1109,24602,1306,245,139,3867,730,5754,766,5682,694,2682,596,1628,465,2783,432,1639,296,322,157,11667,1299,921,402,3092,739,3857,900,1739,490,667,448,376,195,463,235,424,254,128,108
0500000US37089,37089,"Henderson County, North Carolina",42053,1489,30955,1780,314,507,2854,899,4252,760,5926,740,2591,531,3257,679,5373,619,4457,734,1931,570,11098,1722,1113,842,2703,1087,2469,913,2139,814,1052,668,124,144,253,175,503,331,742,434
0500000US37097,37097,"Iredell County, North Carolina",55684,1888,41457,1837,577,384,4946,1018,9570,1151,8928,791,3529,765,3760,693,5809,736,3672,770,666,335,14227,1686,1652,724,4288,1076,2846,739,2113,719,832,480,813,397,486,320,617,393,580,482
0500000US37101,37101,"Johnston County, North Carolina",54255,1356,39704,1914,456,277,5781,1148,10222,1211,8354,900,4603,966,3017,795,4378,687,2389,622,504,278,14551,1781,1269,604,4080,1035,3092,956,2881,965,779,528,960,559,569,307,550,325,371,263
0500000US37109,37109,"Lincoln County, North Carolina",27271,976,20845,1295,576,347,2287,655,4736,691,4190,754,2386,497,2404,573,2378,535,1466,317,422,323,6426,1030,407,326,2496,870,1652,736,1054,453,309,423,0,281,277,246,231,203,0,281
0500000US37119,37119,"Mecklenburg County, North Carolina",335891,2809,215860,4031,2483,705,30630,2148,53968,2299,54506,2167,23588,1905,16086,1676,19473,1111,12224,1200,2902,764,120031,4351,16025,1851,36134,2503,27996,2507,18948,2245,6802,1401,4161,1158,4881,1003,3631,787,1453,553
0500000US37125,37125,"Moore County, North Carolina",31154,1888,23823,1570,189,222,1800,644,3629,650,4879,1050,2163,589,2435,622,4251,463,3704,492,773,337,7331,1327,529,398,2125,856,1749,569,1019,576,251,212,72,124,223,208,673,299,690,439
0500000US37127,37127,"Nash County, North Carolina",35455,1266,22854,1554,269,206,1712,557,4503,881,5486,782,2689,514,2141,466,3382,506,2121,539,551,268,12601,1598,1523,543,1930,787,3999,882,2107,666,881,402,607,394,724,371,771,348,59,98
0500000US37129,37129,"New Hanover County, North Carolina",81855,2033,50844,2358,1135,503,6656,1183,9160,1333,10983,1329,4914,758,5199,856,6788,590,5062,721,947,382,31011,2717,6051,1182,6950,1178,6203,1287,5284,1297,1677,705,1306,592,1550,494,1332,470,658,305
0500000US37133,37133,"Onslow County, North Carolina",53631,1080,31148,1731,1049,416,3786,841,6764,857,6638,763,3017,731,2558,626,4606,604,2176,362,554,324,22483,1836,5352,902,8240,1253,3787,953,2390,779,1252,618,375,252,715,301,302,205,70,83
