GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Owner occupied:,Margin of Error; Owner occupied:,Estimate; Owner occupied: - Householder 15 to 24 years,Margin of Error; Owner occupied: - Householder 15 to 24 years,Estimate; Owner occupied: - Householder 25 to 34 years,Margin of Error; Owner occupied: - Householder 25 to 34 years,Estimate; Owner occupied: - Householder 35 to 44 years,Margin of Error; Owner occupied: - Householder 35 to 44 years,Estimate; Owner occupied: - Householder 45 to 54 years,Margin of Error; Owner occupied: - Householder 45 to 54 years,Estimate; Owner occupied: - Householder 55 to 59 years,Margin of Error; Owner occupied: - Householder 55 to 59 years,Estimate; Owner occupied: - Householder 60 to 64 years,Margin of Error; Owner occupied: - Householder 60 to 64 years,Estimate; Owner occupied: - Householder 65 to 74 years,Margin of Error; Owner occupied: - Householder 65 to 74 years,Estimate; Owner occupied: - Householder 75 to 84 years,Margin of Error; Owner occupied: - Householder 75 to 84 years,Estimate; Owner occupied: - Householder 85 years and over,Margin of Error; Owner occupied: - Householder 85 years and over,Estimate; Renter occupied:,Margin of Error; Renter occupied:,Estimate; Renter occupied: - Householder 15 to 24 years,Margin of Error; Renter occupied: - Householder 15 to 24 years,Estimate; Renter occupied: - Householder 25 to 34 years,Margin of Error; Renter occupied: - Householder 25 to 34 years,Estimate; Renter occupied: - Householder 35 to 44 years,Margin of Error; Renter occupied: - Householder 35 to 44 years,Estimate; Renter occupied: - Householder 45 to 54 years,Margin of Error; Renter occupied: - Householder 45 to 54 years,Estimate; Renter occupied: - Householder 55 to 59 years,Margin of Error; Renter occupied: - Householder 55 to 59 years,Estimate; Renter occupied: - Householder 60 to 64 years,Margin of Error; Renter occupied: - Householder 60 to 64 years,Estimate; Renter occupied: - Householder 65 to 74 years,Margin of Error; Renter occupied: - Householder 65 to 74 years,Estimate; Renter occupied: - Householder 75 to 84 years,Margin of Error; Renter occupied: - Householder 75 to 84 years,Estimate; Renter occupied: - Householder 85 years and over,Margin of Error; Renter occupied: - Householder 85 years and over
0100000US,,United States,113616229,161397,74843004,217682,795903,20971,7723907,59688,13723160,57386,17793373,69032,8262321,38259,7456092,38045,10236180,34177,6625122,35906,2226946,20201,38773225,95779,4412369,31120,10423492,47973,7912180,47640,6680255,41639,2416396,23118,1872287,19411,2354642,21223,1716300,16936,985304,12137
0400000US37,37,North Carolina,3646095,15663,2449917,18145,28885,3062,273254,7716,470670,7536,551019,8423,258117,6359,254523,6184,342708,5343,210134,5333,60607,3504,1196178,15743,177827,6781,325425,7943,241439,8624,194641,6819,68702,4450,56596,3305,64928,4007,45171,3127,21449,2178
0500000US37001,37001,"Alamance County, North Carolina",58084,1766,40259,1830,461,417,4613,899,8723,1195,8697,965,4192,633,3238,611,5627,582,3544,607,1164,378,17825,2027,2573,785,4079,1060,3875,1203,3140,926,618,363,881,385,1158,571,826,392,675,319
0500000US37019,37019,"Brunswick County, North Carolina",47425,2637,37559,1987,442,404,3755,811,4549,1098,6424,809,4609,914,5694,919,7623,557,3834,793,629,306,9866,1794,1979,992,2062,762,2333,921,1601,644,523,273,557,339,313,273,498,281,0,287
0500000US37021,37021,"Buncombe County, North Carolina",98361,3089,66575,2808,741,442,6686,1072,10270,1277,14226,1534,7476,1226,8114,1094,10112,813,6707,1012,2243,532,31786,2545,3379,996,9151,1180,6705,1386,4720,1070,1610,549,1906,716,1318,502,2038,710,959,458
0500000US37023,37023,"Burke County, North Carolina",33354,1387,23902,1504,72,115,2140,659,3953,729,5412,745,2315,646,2915,588,4322,653,2080,499,693,375,9452,1119,509,400,1926,638,2148,667,1501,513,757,409,730,469,808,405,705,450,368,318
0500000US37025,37025,"Cabarrus County, North Carolina",64790,1614,48614,1876,547,424,6640,996,11126,1205,11105,1281,4113,902,4582,806,5768,692,3503,701,1230,509,16176,1680,1887,749,3547,836,3967,1035,3543,943,783,428,810,446,941,440,360,245,338,276
0500000US37027,37027,"Caldwell County, North Carolina",30094,1337,21403,1596,177,166,2030,541,3129,674,5032,802,2183,682,2368,626,3487,518,2465,572,532,327,8691,1392,1144,680,1449,606,1691,540,1808,735,258,291,870,507,799,470,566,268,106,123
0500000US37035,37035,"Catawba County, North Carolina",58040,1952,43303,1703,179,172,4436,837,7789,1118,10175,1027,3984,972,5338,895,6141,700,3811,773,1450,467,14737,1615,2163,822,3460,692,2784,803,2222,716,1389,585,712,299,1109,546,730,376,168,162
0500000US37045,37045,"Cleveland County, North Carolina",38804,1172,25966,1486,93,153,1967,596,4470,772,5691,833,3065,763,2810,718,4025,473,2932,577,913,367,12838,1508,1973,915,2827,796,2979,872,1986,692,970,495,799,404,416,193,793,454,95,114
0500000US37049,37049,"Craven County, North Carolina",40287,1672,24666,1491,641,441,1680,597,3394,625,5134,664,2471,606,3139,604,4750,589,2857,496,600,355,15621,1591,4208,1078,3625,715,1855,642,2468,750,613,458,959,528,1061,402,529,311,303,244
0500000US37051,37051,"Cumberland County, North Carolina",117001,3379,64714,2617,1494,736,7421,1148,12709,1415,15817,1417,5930,1089,5956,1050,9106,755,4561,689,1720,537,52287,3879,9751,2115,17417,1883,9030,1500,6548,1401,3478,929,2873,826,1655,673,1006,504,529,433
0500000US37057,37057,"Davidson County, North Carolina",62701,2062,45400,2078,268,229,3353,890,9898,1287,11555,1053,5209,972,4421,741,6559,761,3404,594,733,367,17301,2175,1994,832,4204,1183,2836,908,2849,923,1095,604,1526,565,1467,586,999,518,331,245
0500000US37063,37063,"Durham County, North Carolina",108174,3801,62005,2696,483,361,12770,1371,11781,1528,13454,1200,5423,1031,6275,986,5974,742,3986,751,1859,547,46169,3408,7150,1925,14974,2144,8071,1582,6544,1161,3405,870,1080,573,2658,737,1277,526,1010,426
0500000US37067,37067,"Forsyth County, North Carolina",139770,2916,92215,2733,869,519,10483,1339,15812,1517,22438,1460,10308,1152,8690,1247,12545,882,7927,1018,3143,556,47555,3476,4689,1191,12402,1608,10702,1658,8490,1469,3716,836,2432,681,1812,545,1909,556,1403,466
