GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Owner occupied:,Margin of Error; Owner occupied:,Estimate; Owner occupied: - Householder 15 to 24 years,Margin of Error; Owner occupied: - Householder 15 to 24 years,Estimate; Owner occupied: - Householder 25 to 34 years,Margin of Error; Owner occupied: - Householder 25 to 34 years,Estimate; Owner occupied: - Householder 35 to 44 years,Margin of Error; Owner occupied: - Householder 35 to 44 years,Estimate; Owner occupied: - Householder 45 to 54 years,Margin of Error; Owner occupied: - Householder 45 to 54 years,Estimate; Owner occupied: - Householder 55 to 59 years,Margin of Error; Owner occupied: - Householder 55 to 59 years,Estimate; Owner occupied: - Householder 60 to 64 years,Margin of Error; Owner occupied: - Householder 60 to 64 years,Estimate; Owner occupied: - Householder 65 to 74 years,Margin of Error; Owner occupied: - Householder 65 to 74 years,Estimate; Owner occupied: - Householder 75 to 84 years,Margin of Error; Owner occupied: - Householder 75 to 84 years,Estimate; Owner occupied: - Householder 85 years and over,Margin of Error; Owner occupied: - Householder 85 years and over,Estimate; Renter occupied:,Margin of Error; Renter occupied:,Estimate; Renter occupied: - Householder 15 to 24 years,Margin of Error; Renter occupied: - Householder 15 to 24 years,Estimate; Renter occupied: - Householder 25 to 34 years,Margin of Error; Renter occupied: - Householder 25 to 34 years,Estimate; Renter occupied: - Householder 35 to 44 years,Margin of Error; Renter occupied: - Householder 35 to 44 years,Estimate; Renter occupied: - Householder 45 to 54 years,Margin of Error; Renter occupied: - Householder 45 to 54 years,Estimate; Renter occupied: - Householder 55 to 59 years,Margin of Error; Renter occupied: - Householder 55 to 59 years,Estimate; Renter occupied: - Householder 60 to 64 years,Margin of Error; Renter occupied: - Householder 60 to 64 years,Estimate; Renter occupied: - Householder 65 to 74 years,Margin of Error; Renter occupied: - Householder 65 to 74 years,Estimate; Renter occupied: - Householder 75 to 84 years,Margin of Error; Renter occupied: - Householder 75 to 84 years,Estimate; Renter occupied: - Householder 85 years and over,Margin of Error; Renter occupied: - Householder 85 years and over
0100000US,,United States,116291033,141632,73843861,212871,576448,15567,6637157,49734,11982814,50224,16422145,62416,8791927,34459,8110272,38876,12142272,37564,6664813,33140,2516013,23230,42447172,119774,4014804,28318,11102289,48130,8761921,52805,7266835,41514,3046622,28498,2376996,23333,2987401,26179,1769228,18587,1121076,16530
0400000US37,37,North Carolina,3757480,13443,2414717,16856,19324,2281,209765,7553,415259,7862,524734,8167,276164,6453,261903,6123,411735,5466,218074,4743,77759,2831,1342763,14344,144557,5729,349015,8548,287299,7946,228791,7392,94655,4730,73113,4045,92402,4219,47707,3124,25224,2242
0500000US37001,37001,"Alamance County, North Carolina",59200,1593,38808,2001,937,598,2649,700,6502,896,8397,1111,3940,739,4228,898,6621,599,3839,634,1695,522,20392,2043,1702,629,5235,950,3423,732,4090,910,2439,806,746,354,1285,483,610,336,862,376
0500000US37019,37019,"Brunswick County, North Carolina",48444,2235,35759,1881,124,160,2016,659,3410,814,5559,949,3715,717,5087,686,11182,800,3996,587,670,398,12685,1785,537,461,3878,776,2348,720,2316,664,1224,574,648,314,995,389,491,335,248,230
0500000US37021,37021,"Buncombe County, North Carolina",100980,2378,63391,2928,310,272,6237,1163,9522,1365,12095,1439,6608,1239,8101,1093,11958,1301,6177,806,2383,592,37589,2602,2563,718,9510,1356,7607,1350,6746,1554,2491,829,3084,914,3018,887,1833,625,737,337
0500000US37023,37023,"Burke County, North Carolina",34484,1377,23945,1644,267,289,1214,419,3464,754,4890,779,2871,649,2675,554,4978,547,2454,455,1132,439,10539,1640,633,471,1954,815,2426,927,2665,826,346,256,917,513,669,356,524,272,405,286
0500000US37025,37025,"Cabarrus County, North Carolina",65725,1727,46480,2034,276,227,4639,977,11266,1438,10142,999,4380,976,4769,930,7160,616,2804,774,1044,446,19245,2000,870,451,4076,965,4026,885,4509,1107,1761,806,1183,598,1481,547,1040,652,299,196
0500000US37027,37027,"Caldwell County, North Carolina",29255,1556,21202,2010,29,50,1940,736,3316,752,4560,852,1789,615,2810,536,3708,877,2353,526,697,302,8053,1577,619,416,2027,816,1296,615,1790,696,664,483,593,317,835,467,229,308,0,201
0500000US37031,37031,"Carteret County, North Carolina",29961,1405,22385,1289,395,398,1665,685,2301,466,4006,502,2877,530,2704,487,5003,466,2681,481,753,277,7576,1100,929,472,1751,474,1509,461,1265,419,551,306,528,242,494,220,260,145,289,200
0500000US37035,37035,"Catawba County, North Carolina",58835,2003,39559,1950,163,164,2277,627,5867,965,9144,1080,5411,995,3798,816,7667,710,3821,645,1411,405,19276,2261,1443,624,4989,1184,5044,1202,3296,1231,827,465,1357,618,1301,467,610,387,409,257
0500000US37037,37037,"Chatham County, North Carolina",26593,1137,19939,1377,52,82,955,503,2972,673,3304,659,2649,682,2531,576,3941,534,2956,686,579,338,6654,1398,265,299,710,395,1796,831,1163,537,458,308,384,234,716,343,488,330,674,527
0500000US37045,37045,"Cleveland County, North Carolina",38409,1389,26290,1353,285,234,1911,537,3617,728,5876,813,2773,772,3403,683,5033,704,2630,596,762,283,12119,1527,928,446,2539,661,3579,905,1879,611,845,490,377,245,998,504,660,321,314,207
0500000US37049,37049,"Craven County, North Carolina",39570,1354,25022,1487,504,372,2028,586,3699,810,4307,708,2806,575,2743,564,5209,773,2995,607,731,302,14548,1568,3112,1005,4409,1048,1735,850,1564,588,722,414,678,334,1190,631,515,457,623,420
0500000US37051,37051,"Cumberland County, North Carolina",125889,1848,64405,1996,811,409,6732,1104,10557,1061,15181,1161,6951,880,6180,978,9936,809,6318,617,1739,485,61484,2241,8957,1064,20900,1438,12198,1184,9412,1072,3458,694,2884,723,2278,594,836,344,561,330
0500000US37057,37057,"Davidson County, North Carolina",63398,1824,46328,1998,456,358,3352,931,6883,1146,10086,1053,6199,1071,4846,817,8738,779,3671,553,2097,650,17070,2044,1142,499,3829,923,3854,1113,2978,906,1532,720,1469,590,1277,581,646,354,343,212
0500000US37063,37063,"Durham County, North Carolina",114946,2105,61316,2325,141,173,6640,999,12542,1247,12382,1341,7752,1154,7088,1063,7856,959,4090,706,2825,809,53630,2548,4796,1064,19187,1629,9738,1604,8490,1288,3510,952,2376,730,3512,844,1075,520,946,454
0500000US37067,37067,"Forsyth County, North Carolina",142991,2416,88904,3132,854,447,8094,1219,15004,1447,18755,1598,10987,1254,9382,1208,13526,1061,8995,944,3307,594,54087,2930,6467,1138,14063,1479,10346,1469,9518,1694,4322,953,3010,930,3833,768,1383,465,1145,509
0500000US37071,37071,"Gaston County, North Carolina",80175,1635,51546,1942,180,176,4389,750,8143,1118,11493,1255,6245,735,5826,705,8457,650,4716,783,2097,497,28629,2013,3130,717,5252,977,7582,1127,4957,1049,1902,522,1611,523,2828,759,1137,506,230,184
0500000US37081,37081,"Guilford County, North Carolina",199607,2868,115603,2974,544,443,10008,1418,19930,1838,26545,1806,12482,1472,12346,1458,19025,1272,11235,890,3488,696,84004,3356,8112,1270,23488,1979,17454,1974,14203,1912,6237,1020,4814,1031,5163,1084,2981,740,1552,577
0500000US37085,37085,"Harnett County, North Carolina",42464,977,28579,1367,491,206,3982,698,5444,737,5837,678,3733,552,2343,441,4210,521,2070,284,469,175,13885,1226,1096,379,4241,785,3488,819,2270,693,707,210,300,177,1396,414,255,154,132,107
0500000US37089,37089,"Henderson County, North Carolina",47447,1688,33121,1711,346,295,3008,710,3799,868,6074,796,3344,705,3742,791,6953,584,3983,552,1872,496,14326,1716,939,518,3433,1042,2183,803,3019,1011,1028,398,735,332,1217,513,867,399,905,338
0500000US37097,37097,"Iredell County, North Carolina",58106,1934,42108,1972,538,333,2632,612,8552,985,10383,860,4331,784,3976,706,6797,639,3739,593,1160,408,15998,1667,496,267,3990,836,4435,915,2651,756,1634,648,551,283,1449,508,629,321,163,249
0500000US37101,37101,"Johnston County, North Carolina",61412,1845,44334,2333,440,358,4769,1386,9241,1402,10194,1130,4772,981,4659,937,6565,676,2961,643,733,531,17078,2107,846,549,3649,1156,5446,1302,3318,1097,855,459,773,455,1170,435,850,437,171,157
0500000US37109,37109,"Lincoln County, North Carolina",30124,1086,23324,1535,145,204,2106,635,3106,627,5681,901,2373,613,3007,638,3805,492,1769,504,1332,514,6800,1273,564,302,1051,583,1475,606,1789,707,536,291,448,324,588,286,349,373,0,201
0500000US37119,37119,"Mecklenburg County, North Carolina",377213,3399,214099,4043,1014,447,25332,2158,47224,2638,53034,2215,23421,1741,19440,1730,26690,1502,13092,1213,4852,971,163114,4725,14522,1720,50332,2543,40072,2774,24685,2060,11241,1660,8091,1261,7837,1292,4391,748,1943,536
0500000US37125,37125,"Moore County, North Carolina",36502,1507,27127,1412,213,230,2026,554,3729,645,5141,799,2062,639,3141,791,4883,417,3747,704,2185,645,9375,1434,279,201,2548,842,1667,725,1353,561,936,684,544,334,1240,448,237,188,571,439
0500000US37127,37127,"Nash County, North Carolina",37913,1272,23982,1690,272,280,1407,413,4159,883,5581,842,2977,811,2279,621,4048,694,2414,600,845,326,13931,1647,881,485,2687,850,2420,1013,2688,755,1066,412,1497,608,1699,567,729,367,264,171
0500000US37129,37129,"New Hanover County, North Carolina",87148,2299,48360,2471,313,352,4422,1126,8042,1008,8500,1107,6584,1066,4956,899,9487,1067,4825,853,1231,509,38788,2806,6949,1460,10331,1436,5234,1168,6713,1311,2765,875,1974,641,2599,964,1629,692,594,212
0500000US37133,37133,"Onslow County, North Carolina",60764,2160,30510,2364,1755,881,5816,1289,4803,1093,5510,855,3495,934,2312,561,4177,1046,2020,599,622,330,30254,2982,8156,1561,9454,1730,5063,1666,3191,1220,1094,481,1127,791,1306,708,442,335,421,358
0500000US37135,37135,"Orange County, North Carolina",51867,1745,31808,1403,224,220,1845,677,4802,801,8346,993,5256,984,3546,813,4507,481,2804,545,478,240,20059,2011,4536,1085,6058,1132,4359,1154,2359,785,872,442,367,263,557,346,368,324,583,316
0500000US37147,37147,"Pitt County, North Carolina",67573,1633,35693,2161,544,371,3989,998,7091,1015,7582,1044,4212,885,3521,771,4840,745,2521,549,1393,527,31880,2236,8750,1177,6970,1361,5321,1033,4514,1053,1800,763,1244,511,2065,734,983,624,233,245
0500000US37151,37151,"Randolph County, North Carolina",52337,1736,37876,1758,588,430,2867,840,6970,1001,8968,1122,3926,840,3406,743,6885,703,3158,445,1108,373,14461,1590,915,540,3117,849,2873,1039,3230,879,1670,642,750,421,1407,589,329,187,170,175
0500000US37155,37155,"Robeson County, North Carolina",45641,835,28660,1029,236,146,2291,559,4878,642,6327,602,3048,600,3548,626,5252,484,2289,452,791,355,16981,1175,1653,466,3982,680,3590,668,3130,595,971,345,1179,491,1196,300,637,361,643,353
0500000US37157,37157,"Rockingham County, North Carolina",37261,1362,24741,1541,219,176,1471,701,3776,685,4806,795,2586,664,3738,692,4792,658,2581,580,772,328,12520,1474,1264,580,2317,711,2358,616,2696,671,1141,589,487,320,1205,665,682,412,370,435
0500000US37159,37159,"Rowan County, North Carolina",50249,1799,33197,1782,334,277,1977,665,5296,809,7387,952,4137,821,4445,718,5492,737,3022,742,1107,467,17052,1855,1021,561,4080,905,3064,853,3570,893,1491,607,1154,509,1108,461,952,556,612,339
0500000US37161,37161,"Rutherford County, North Carolina",26213,1467,17959,1378,124,179,1256,455,2276,691,3147,868,2421,585,2086,607,3721,517,2532,554,396,273,8254,1505,477,422,1321,706,1286,614,2202,920,617,448,985,483,700,440,364,261,302,332
0500000US37171,37171,"Surry County, North Carolina",30156,850,22243,1069,418,266,1415,527,3467,517,5027,644,2110,476,2638,495,3747,398,2286,429,1135,386,7913,993,639,310,1690,550,1414,513,1437,513,667,310,403,214,812,333,620,307,231,147
0500000US37179,37179,"Union County, North Carolina",69841,1506,54699,1924,205,189,4149,618,12051,1434,14882,1316,6571,894,5032,803,7005,552,3408,615,1396,519,15142,1746,1477,599,4331,1055,4137,1106,2848,884,468,262,483,288,834,418,455,288,109,104
0500000US37183,37183,"Wake County, North Carolina",364717,4318,230349,5213,582,379,27084,2611,54069,2955,59014,2478,25620,2316,20039,1693,28119,1357,11483,1215,4339,875,134368,5243,15735,1986,38010,3066,32192,2910,21038,2584,8731,1387,5418,1250,6992,1131,3654,1044,2598,748
0500000US37191,37191,"Wayne County, North Carolina",46834,1317,26367,1476,142,162,2228,661,3153,641,5425,842,3738,853,3210,966,4833,619,2881,454,757,303,20467,1962,2541,767,5794,1168,4535,1014,3256,904,1211,534,1221,703,1041,466,577,340,291,193
0500000US37193,37193,"Wilkes County, North Carolina",27557,1356,20188,1519,170,188,1361,503,2528,776,4046,806,2554,669,1783,562,4394,603,2601,624,751,398,7369,1253,896,609,1552,591,1256,489,1476,724,629,516,667,479,460,272,251,247,182,198
0500000US37195,37195,"Wilson County, North Carolina",31657,962,20733,1474,114,134,1486,564,3131,764,4403,742,1976,594,2639,662,3909,703,2071,483,1004,375,10924,1450,909,542,2595,703,2343,820,2195,687,963,484,648,360,870,440,259,173,142,174
