year,district,group,total,percent,geo_area
2013-2014,Forsyth,W,1817,0.88,district
2013-2014,Forsyth,EDS,1729,0.799,district
2012-2013,Forsyth,ALL,3985,0.821,district
2012-2013,Forsyth,M,2102,0.772,district
2012-2013,Forsyth,F,1883,0.876,district
2012-2013,Forsyth,B,1338,0.802,district
2012-2013,Forsyth,H,621,0.699,district
2012-2013,Forsyth,W,1791,0.874,district
2012-2013,Forsyth,EDS,1618,0.781,district
2012-2013,NC,ALL,109795,0.825,state
2012-2013,NC,M,56329,0.786,state
2012-2013,NC,F,53466,0.866,state
2012-2013,NC,B,30764,0.775,state
2012-2013,NC,H,11158,0.752,state
2012-2013,NC,W,60031,0.862,state
2012-2013,NC,EDS,47663,0.761,state
2012-2013,Durham,ALL,2447,0.796,district
2012-2013,Durham,M,1226,0.75,district
2012-2013,Durham,F,1221,0.844,district
2012-2013,Durham,B,1331,0.781,district
2012-2013,Durham,H,368,0.668,district
2012-2013,Durham,W,614,0.896,district
2012-2013,Durham,EDS,1115,0.726,district
2017-2018,West Forsyth,ALL,603,0.919,school
2017-2018,Ronald W. Reagan,ALL,477,0.95,school
2017-2018,North Forsyth,ALL,335,0.776,school
2017-2018,Mount Tabor,ALL,388,0.933,school
2017-2018,R. J. Reynolds,ALL,518,0.873,school
2017-2018,Parkland,ALL,437,0.744,school
2017-2018,Carver,ALL,202,0.624,school
2017-2018,Walkertown,ALL,217,0.843,school
2017-2018,East Forsyth,ALL,484,0.853,school
2017-2018,Robert B. Gelnn,ALL,423,0.804,school
