year,election.name,subtype,type,total_citizens,voted,estimate,description
2014,2014/05/06 PRIMARY,"White, non-Hispanic",race,257272,25078,0.142414193,Eligible
2014,2014/11/04 GENERAL,"White, non-Hispanic",race,257272,69697,0.395798787,Eligible
2016,2016/03/15 PRIMARY,"White, non-Hispanic",race,268263,57052,0.312812527,Eligible
2016,2016/11/08 GENERAL,"White, non-Hispanic",race,268263,109184,0.598649004,Eligible
2008,2008/11/04 GENERAL,African American,race,241191,41885,0.676863658,Eligible
2010,2010/11/02 GENERAL,African American,race,245097,20319,0.309679484,Eligible
2010,2010/05/04 PRIMARY,African American,race,245097,5051,0.076981696,Eligible
2012,2012/05/08 PRIMARY,African American,race,252194,13998,0.204870767,Eligible
2012,2012/11/06 GENERAL,African American,race,252194,44891,0.657011972,Eligible
2014,2014/11/04 GENERAL,African American,race,257272,26202,0.375925395,Eligible
2014,2014/05/06 PRIMARY,African American,race,257272,6792,0.097446198,Eligible
2016,2016/03/15 PRIMARY,African American,race,268263,17353,0.242214871,Eligible
2016,2016/11/08 GENERAL,African American,race,268263,42169,0.588599026,Eligible
2008,2008/11/04 GENERAL,Female,gender,241191,85631,0.665048657,Eligible
2010,2010/11/02 GENERAL,Female,gender,245097,47930,0.358106139,Eligible
2010,2010/05/04 PRIMARY,Female,gender,245097,13020,0.097278154,Eligible
2012,2012/05/08 PRIMARY,Female,gender,252194,41085,0.301820399,Eligible
2012,2012/11/06 GENERAL,Female,gender,252194,89532,0.65772384,Eligible
2014,2014/11/04 GENERAL,Female,gender,257272,54714,0.394537024,Eligible
2014,2014/05/06 PRIMARY,Female,gender,257272,17173,0.123832736,Eligible
2016,2016/03/15 PRIMARY,Female,gender,257272,43657,0.301957394,Eligible
2016,2016/11/08 GENERAL,Female,gender,257272,90916,0.62882833,Eligible
2008,2008/11/04 GENERAL,Hispanic/Latino,race,241191,1690,0.253221456,Eligible
2010,2010/11/02 GENERAL,Hispanic/Latino,race,245097,550,0.065150438,Eligible
2010,2010/05/04 PRIMARY,Hispanic/Latino,race,245097,61,0.007225776,Eligible
