year,bracket,bucket,status,value,single_max,married_max,hoh_max,single_min,married_min,hoh_min,single_fulltax,married_fulltax,hoh_fulltax,single_fulltax_cum,married_fulltax_cum,hoh_fulltax_cum
2008,0.1,1,single_min,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,0.15,2,single_min,8025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,0.25,3,single_min,32550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,0.28,4,single_min,78850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,0.33,5,single_min,164550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,0.35,6,single_min,357700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,0.1,1,single_min,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,0.15,2,single_min,7825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,0.25,3,single_min,31850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,0.28,4,single_min,77100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,0.33,5,single_min,160850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,0.35,6,single_min,349700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,0.1,1,single_min,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,0.15,2,single_min,7550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,0.25,3,single_min,30650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,0.28,4,single_min,74200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,0.33,5,single_min,154800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,0.35,6,single_min,336550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,0.1,1,married_min,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,0.15,2,married_min,18650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,0.25,3,married_min,75900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,0.28,4,married_min,153100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,0.33,5,married_min,233350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,0.35,6,married_min,416700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,0.4,7,married_min,470700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,0.1,1,married_min,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,0.15,2,married_min,18550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,0.25,3,married_min,75300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,0.28,4,married_min,151900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,0.33,5,married_min,231450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,0.35,6,married_min,413350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,0.4,7,married_min,466950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,0.1,1,married_min,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,0.15,2,married_min,18450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,0.25,3,married_min,74900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,0.28,4,married_min,151200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,0.33,5,married_min,230450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,0.35,6,married_min,411500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,0.4,7,married_min,464850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,0.1,1,married_min,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,0.15,2,married_min,18150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,0.25,3,married_min,73800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,0.28,4,married_min,148850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,0.33,5,married_min,226850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,0.35,6,married_min,405100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,0.4,7,married_min,457600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,0.1,1,married_min,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,0.15,2,married_min,17850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,0.25,3,married_min,72500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,0.28,4,married_min,146400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,0.33,5,married_min,223050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,0.35,6,married_min,398350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,0.4,7,married_min,450000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,0.1,1,married_min,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,0.15,2,married_min,17400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,0.25,3,married_min,70700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,0.28,4,married_min,142700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,0.33,5,married_min,217450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,0.35,6,married_min,388350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,0.1,1,married_min,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,0.15,2,married_min,17000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,0.25,3,married_min,69000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,0.28,4,married_min,139350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,0.33,5,married_min,212300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,0.35,6,married_min,379150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,0.1,1,married_min,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,0.15,2,married_min,16750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,0.25,3,married_min,68000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,0.28,4,married_min,137300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,0.33,5,married_min,209250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,0.35,6,married_min,373650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,0.1,1,married_min,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,0.15,2,married_min,16700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,0.25,3,married_min,67900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,0.28,4,married_min,137050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,0.33,5,married_min,208850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,0.35,6,married_min,372950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,0.1,1,married_min,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
