GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Less than 9th grade,Margin of Error; Male: - Less than 9th grade,"Estimate; Male: - 9th to 12th grade, no diploma","Margin of Error; Male: - 9th to 12th grade, no diploma",Estimate; Male: - High school graduate (includes equivalency),Margin of Error; Male: - High school graduate (includes equivalency),"Estimate; Male: - Some college, no degree","Margin of Error; Male: - Some college, no degree",Estimate; Male: - Associate's degree,Margin of Error; Male: - Associate's degree,Estimate; Male: - Bachelor's degree,Margin of Error; Male: - Bachelor's degree,Estimate; Male: - Graduate degree,Margin of Error; Male: - Graduate degree,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Less than 9th grade,Margin of Error; Female: - Less than 9th grade,"Estimate; Female: - 9th to 12th grade, no diploma","Margin of Error; Female: - 9th to 12th grade, no diploma",Estimate; Female: - High school graduate (includes equivalency),Margin of Error; Female: - High school graduate (includes equivalency),"Estimate; Female: - Some college, no degree","Margin of Error; Female: - Some college, no degree",Estimate; Female: - Associate's degree,Margin of Error; Female: - Associate's degree,Estimate; Female: - Bachelor's degree,Margin of Error; Female: - Bachelor's degree,Estimate; Female: - Graduate degree,Margin of Error; Female: - Graduate degree
0400000US37,37,North Carolina,1145348,5527,510949,4122,35744,3028,85789,3996,198381,6830,92630,5342,30007,2444,48579,3840,19819,2347,634399,3639,39406,2409,89882,4330,204837,6831,140612,5842,53422,3895,77861,4805,28379,2427
0500000US05119,05119,"Pulaski County, Arkansas",71461,538,31494,298,1665,756,3773,1028,12772,1656,6924,1295,2184,726,2568,882,1608,793,39967,394,1582,773,3946,902,14165,1621,9658,1492,3073,946,5147,1143,2396,761
0500000US22055,22055,"Lafayette Parish, Louisiana",29741,562,13560,345,1516,693,3487,1125,5504,1250,1997,897,425,278,181,177,450,403,16181,293,2118,579,2702,791,6157,1110,2486,812,250,210,1656,634,812,493
0500000US29095,29095,"Jackson County, Missouri",90387,786,38803,484,1204,433,6154,1115,16178,1756,7579,1439,2289,784,3720,942,1679,670,51584,585,1816,769,7256,1192,18317,1909,12432,1728,4176,1159,4597,1072,2990,910
0500000US37067,37067,"Forsyth County, North Carolina",50325,490,21604,275,1097,613,2914,955,8348,1312,3244,923,1228,650,4264,1105,509,322,28721,410,1277,497,2500,884,8077,1528,7670,1229,1744,679,6013,1162,1440,549
0500000US37081,37081,"Guilford County, North Carolina",80334,1089,35865,664,1272,550,4570,887,11440,1483,10382,1769,1230,552,4744,1240,2227,740,44469,600,1690,624,4940,897,13965,1343,10105,1392,3544,962,6830,1432,3395,911
0500000US51770,51770,"Roanoke city, Virginia",15175,626,6607,397,663,513,929,469,2319,588,1690,560,495,380,440,344,71,118,8568,583,56,97,1491,618,3372,761,1778,674,912,657,528,313,431,336
