GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Less than 9th grade,Margin of Error; Male: - Less than 9th grade,"Estimate; Male: - 9th to 12th grade, no diploma","Margin of Error; Male: - 9th to 12th grade, no diploma",Estimate; Male: - High school graduate (includes equivalency),Margin of Error; Male: - High school graduate (includes equivalency),"Estimate; Male: - Some college, no degree","Margin of Error; Male: - Some college, no degree",Estimate; Male: - Associate's degree,Margin of Error; Male: - Associate's degree,Estimate; Male: - Bachelor's degree,Margin of Error; Male: - Bachelor's degree,Estimate; Male: - Graduate degree,Margin of Error; Male: - Graduate degree,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Less than 9th grade,Margin of Error; Female: - Less than 9th grade,"Estimate; Female: - 9th to 12th grade, no diploma","Margin of Error; Female: - 9th to 12th grade, no diploma",Estimate; Female: - High school graduate (includes equivalency),Margin of Error; Female: - High school graduate (includes equivalency),"Estimate; Female: - Some college, no degree","Margin of Error; Female: - Some college, no degree",Estimate; Female: - Associate's degree,Margin of Error; Female: - Associate's degree,Estimate; Female: - Bachelor's degree,Margin of Error; Female: - Bachelor's degree,Estimate; Female: - Graduate degree,Margin of Error; Female: - Graduate degree
0400000US37,37,North Carolina,4194807,4191,2000356,2879,95074,4811,208890,7620,573616,11120,382928,7578,156000,6731,378179,8355,205669,5841,2194451,2432,94591,4967,203279,6867,639370,9415,454228,9576,210667,6873,405543,8383,186773,5394
0500000US05119,05119,"Pulaski County, Arkansas",156472,82,73832,257,1923,639,4454,1144,17054,1589,16777,1809,4372,1041,17245,1655,12007,1438,82640,82,1650,559,5766,941,23284,2103,17737,1701,4233,911,17482,1533,12488,1440
0500000US22055,22055,"Lafayette Parish, Louisiana",92468,113,44558,79,2255,761,2953,846,11789,1229,9699,1192,2172,775,10753,1108,4937,1007,47910,82,1667,496,4328,1089,13541,1234,9351,1307,3091,817,12051,1417,3881,731
0500000US29095,29095,"Jackson County, Missouri",309759,89,147826,89,2680,897,10855,1646,43143,2381,32013,2594,10035,1336,32111,2382,16989,1776,161933,253,2786,674,10587,1367,48184,2649,41442,2638,12750,1620,30719,1971,15465,1608
0500000US37067,37067,"Forsyth County, North Carolina",147123,255,68860,107,1870,673,6098,1386,16479,1730,13092,1567,4864,990,16777,1749,9680,1068,78263,176,2123,581,5408,875,22143,1884,16575,1872,6936,1405,16815,1617,8263,975
0500000US37081,37081,"Guilford County, North Carolina",190167,146,89686,281,2430,601,6891,1216,19812,1740,18932,1983,6270,981,23618,1917,11733,1312,100481,146,3792,860,7037,1338,26340,2123,19757,1890,8047,1372,25976,1843,9532,1167
1600000US5168000,5168000,"Roanoke city, Virginia",46292,392,21237,279,1754,552,3313,909,5372,1094,4309,821,1124,542,3327,846,2038,626,25055,392,1845,578,2228,747,6740,1054,5384,1054,2924,723,3780,816,2154,595
