GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - No schooling completed,Margin of Error; Male: - No schooling completed,Estimate; Male: - Nursery to 4th grade,Margin of Error; Male: - Nursery to 4th grade,Estimate; Male: - 5th and 6th grade,Margin of Error; Male: - 5th and 6th grade,Estimate; Male: - 7th and 8th grade,Margin of Error; Male: - 7th and 8th grade,Estimate; Male: - 9th grade,Margin of Error; Male: - 9th grade,Estimate; Male: - 10th grade,Margin of Error; Male: - 10th grade,Estimate; Male: - 11th grade,Margin of Error; Male: - 11th grade,"Estimate; Male: - 12th grade, no diploma","Margin of Error; Male: - 12th grade, no diploma","Estimate; Male: - High school graduate, GED, or alternative","Margin of Error; Male: - High school graduate, GED, or alternative","Estimate; Male: - Some college, less than 1 year","Margin of Error; Male: - Some college, less than 1 year","Estimate; Male: - Some college, 1 or more years, no degree","Margin of Error; Male: - Some college, 1 or more years, no degree",Estimate; Male: - Associate's degree,Margin of Error; Male: - Associate's degree,Estimate; Male: - Bachelor's degree,Margin of Error; Male: - Bachelor's degree,Estimate; Male: - Master's degree,Margin of Error; Male: - Master's degree,Estimate; Male: - Professional school degree,Margin of Error; Male: - Professional school degree,Estimate; Male: - Doctorate degree,Margin of Error; Male: - Doctorate degree,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - No schooling completed,Margin of Error; Female: - No schooling completed,Estimate; Female: - Nursery to 4th grade,Margin of Error; Female: - Nursery to 4th grade,Estimate; Female: - 5th and 6th grade,Margin of Error; Female: - 5th and 6th grade,Estimate; Female: - 7th and 8th grade,Margin of Error; Female: - 7th and 8th grade,Estimate; Female: - 9th grade,Margin of Error; Female: - 9th grade,Estimate; Female: - 10th grade,Margin of Error; Female: - 10th grade,Estimate; Female: - 11th grade,Margin of Error; Female: - 11th grade,"Estimate; Female: - 12th grade, no diploma","Margin of Error; Female: - 12th grade, no diploma","Estimate; Female: - High school graduate, GED, or alternative","Margin of Error; Female: - High school graduate, GED, or alternative","Estimate; Female: - Some college, less than 1 year","Margin of Error; Female: - Some college, less than 1 year","Estimate; Female: - Some college, 1 or more years, no degree","Margin of Error; Female: - Some college, 1 or more years, no degree",Estimate; Female: - Associate's degree,Margin of Error; Female: - Associate's degree,Estimate; Female: - Bachelor's degree,Margin of Error; Female: - Bachelor's degree,Estimate; Female: - Master's degree,Margin of Error; Female: - Master's degree,Estimate; Female: - Professional school degree,Margin of Error; Female: - Professional school degree,Estimate; Female: - Doctorate degree,Margin of Error; Female: - Doctorate degree
0400000US37,37,North Carolina,6150247,8866,2916650,6648,40594,4005,24569,2981,55071,3894,81027,4699,79242,4871,101798,5481,81342,5059,46015,3197,817768,13128,180569,7264,431244,10349,209637,6854,505457,10610,161122,5993,57814,3424,43381,2916,3233597,5337,33629,3624,19920,2533,40375,2979,69410,4095,71799,3821,90399,4397,88025,4811,40509,2830,860593,12236,225479,7778,513558,10265,315102,9398,586049,11142,219500,7093,35536,3101,23714,2323
0500000US05119,05119,"Pulaski County, Arkansas",252712,1068,117189,865,1004,534,1792,837,1050,564,1889,775,1130,591,2916,1165,3556,1200,1740,615,30444,2884,8326,1743,21977,2204,6273,1391,21491,1638,8112,1624,3867,925,1622,598,135523,832,714,468,784,520,1293,672,2392,862,1126,537,3235,858,3856,1392,2532,749,36227,2596,9758,1303,25201,3007,10654,1828,23447,2323,10536,1646,2738,646,1030,508
0500000US22055,22055,"Lafayette Parish, Louisiana",136026,540,64977,593,846,487,166,153,930,399,919,429,1602,737,1685,649,1876,749,944,482,19922,2275,2488,749,11035,1570,3584,935,13802,1878,2767,996,1625,740,786,357,71049,432,1042,617,264,180,832,393,1842,551,686,371,2046,604,1737,593,991,363,21650,2211,4096,1040,10574,1623,4502,984,16100,1969,3235,1053,1259,531,193,198
0500000US29095,29095,"Jackson County, Missouri",469781,554,222508,496,2474,917,2082,884,3006,1000,2909,830,3746,1148,5429,1335,7716,1698,2709,795,66759,4063,15840,1886,37045,2691,10711,1645,41129,3556,14723,1562,4174,832,2056,656,247273,422,3362,1296,1147,462,1717,722,3943,940,3760,1132,5181,1164,7264,1394,3186,707,72849,3729,19925,2002,39905,3526,15310,2057,41838,3158,22279,2279,3498,893,2109,903
0500000US37067,37067,"Forsyth County, North Carolina",236228,571,110320,526,740,311,968,638,2388,863,2530,1108,1450,668,3864,1054,3267,1123,1388,536,28708,2358,5757,1154,17685,2053,7059,1173,23568,2090,5776,950,3437,753,1735,674,125908,371,1446,605,395,318,2527,866,1584,734,2179,949,2686,856,2264,781,1699,656,35506,2596,7743,1137,24180,2267,8819,1524,23431,2024,9233,1373,1608,436,608,327
0500000US37081,37081,"Guilford County, North Carolina",314315,861,146476,843,2128,737,995,582,2036,797,2813,951,2782,845,4218,1023,3148,993,2453,983,37704,3331,7638,1395,25153,2488,8016,1599,32116,2410,9434,1473,3985,902,1857,665,167839,704,890,398,1130,593,2259,803,2135,712,2783,975,3717,854,3706,848,2440,704,44164,3378,9963,1504,29729,2436,11304,1842,38289,2650,11391,1325,2387,715,1552,521
0500000US51770,51770,"Roanoke city, Virginia",65890,830,29496,718,198,193,209,257,363,406,1222,847,1286,743,943,516,817,452,243,211,10194,1324,1956,876,4609,1110,627,477,4288,1047,1141,509,1017,583,383,334,36394,599,0,287,273,351,439,492,1635,755,564,378,1306,511,1796,686,553,319,10390,1227,2877,867,6410,1235,2651,942,4013,998,2668,734,667,340,152,186
