GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Less than 9th grade,Margin of Error; Male: - Less than 9th grade,"Estimate; Male: - 9th to 12th grade, no diploma","Margin of Error; Male: - 9th to 12th grade, no diploma",Estimate; Male: - Regular high school diploma,Margin of Error; Male: - Regular high school diploma,Estimate; Male: - GED or alternative credential,Margin of Error; Male: - GED or alternative credential,"Estimate; Male: - Some college, no degree","Margin of Error; Male: - Some college, no degree",Estimate; Male: - Associate's degree,Margin of Error; Male: - Associate's degree,Estimate; Male: - Bachelor's degree,Margin of Error; Male: - Bachelor's degree,Estimate; Male: - Graduate degree,Margin of Error; Male: - Graduate degree,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Less than 9th grade,Margin of Error; Female: - Less than 9th grade,"Estimate; Female: - 9th to 12th grade, no diploma","Margin of Error; Female: - 9th to 12th grade, no diploma",Estimate; Female: - Regular high school diploma,Margin of Error; Female: - Regular high school diploma,Estimate; Female: - GED or alternative credential,Margin of Error; Female: - GED or alternative credential,"Estimate; Female: - Some college, no degree","Margin of Error; Female: - Some college, no degree",Estimate; Female: - Associate's degree,Margin of Error; Female: - Associate's degree,Estimate; Female: - Bachelor's degree,Margin of Error; Female: - Bachelor's degree,Estimate; Female: - Graduate degree,Margin of Error; Female: - Graduate degree
0400000US37,37,North Carolina,4328178,4830,2061360,3394,93130,5336,188959,7730,458921,10026,107444,5953,432566,9905,161649,6108,404457,7921,214234,6568,2266818,2931,84727,4931,179080,6603,521733,9023,93635,5088,518125,10032,219403,7796,444654,8045,205461,6454
0500000US05119,05119,"Pulaski County, Arkansas",157517,163,74562,57,1294,443,3393,1028,16843,1814,2944,914,16227,1577,3376,802,18900,1824,11585,1473,82955,152,2370,694,3670,762,19928,1883,3266,963,20403,2197,5013,1115,17303,1650,11002,1446
0500000US22055,22055,"Lafayette Parish, Louisiana",94601,60,45533,277,2557,732,3296,875,10617,1236,1941,667,10419,1262,1667,603,9841,1368,5195,994,49068,60,2371,706,4019,1015,12664,1730,1692,503,12081,1660,1974,584,10560,1479,3707,854
0500000US29095,29095,"Jackson County, Missouri",312176,215,149253,110,2067,704,12673,1666,31846,2586,6362,966,34529,2629,10669,1478,30567,2212,20540,2128,162923,106,3489,870,11744,1623,38126,2811,5985,1154,41461,2365,12913,1742,30293,2088,18912,1928
0500000US37067,37067,"Forsyth County, North Carolina",149457,362,70094,289,2037,750,4601,1051,16032,1750,2683,716,13732,1610,4588,1139,16095,1761,10326,1241,79363,362,1712,457,4719,1091,18781,1746,2416,726,16721,1733,5965,1055,20512,1918,8537,1070
0500000US37081,37081,"Guilford County, North Carolina",193864,211,91499,143,3129,1009,4300,884,18039,2058,3657,833,18908,1799,5837,986,26744,1925,10885,1468,102365,148,3128,748,7023,1331,21412,1958,2364,704,21081,2150,8710,1351,26172,2189,12475,1651
1600000US5168000,5168000,"Roanoke city, Virginia",47092,285,21414,285,1758,676,2051,776,4840,1249,1594,644,4093,940,1308,640,3582,927,2188,678,25678,285,2234,690,1742,689,5978,1182,1564,655,4308,936,2182,704,5109,883,2561,741
