GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 5 years,Margin of Error; Male: - Under 5 years,Estimate; Male: - 5 to 9 years,Margin of Error; Male: - 5 to 9 years,Estimate; Male: - 10 to 14 years,Margin of Error; Male: - 10 to 14 years,Estimate; Male: - 15 to 17 years,Margin of Error; Male: - 15 to 17 years,Estimate; Male: - 18 and 19 years,Margin of Error; Male: - 18 and 19 years,Estimate; Male: - 20 years,Margin of Error; Male: - 20 years,Estimate; Male: - 21 years,Margin of Error; Male: - 21 years,Estimate; Male: - 22 to 24 years,Margin of Error; Male: - 22 to 24 years,Estimate; Male: - 25 to 29 years,Margin of Error; Male: - 25 to 29 years,Estimate; Male: - 30 to 34 years,Margin of Error; Male: - 30 to 34 years,Estimate; Male: - 35 to 39 years,Margin of Error; Male: - 35 to 39 years,Estimate; Male: - 40 to 44 years,Margin of Error; Male: - 40 to 44 years,Estimate; Male: - 45 to 49 years,Margin of Error; Male: - 45 to 49 years,Estimate; Male: - 50 to 54 years,Margin of Error; Male: - 50 to 54 years,Estimate; Male: - 55 to 59 years,Margin of Error; Male: - 55 to 59 years,Estimate; Male: - 60 and 61 years,Margin of Error; Male: - 60 and 61 years,Estimate; Male: - 62 to 64 years,Margin of Error; Male: - 62 to 64 years,Estimate; Male: - 65 and 66 years,Margin of Error; Male: - 65 and 66 years,Estimate; Male: - 67 to 69 years,Margin of Error; Male: - 67 to 69 years,Estimate; Male: - 70 to 74 years,Margin of Error; Male: - 70 to 74 years,Estimate; Male: - 75 to 79 years,Margin of Error; Male: - 75 to 79 years,Estimate; Male: - 80 to 84 years,Margin of Error; Male: - 80 to 84 years,Estimate; Male: - 85 years and over,Margin of Error; Male: - 85 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 5 years,Margin of Error; Female: - Under 5 years,Estimate; Female: - 5 to 9 years,Margin of Error; Female: - 5 to 9 years,Estimate; Female: - 10 to 14 years,Margin of Error; Female: - 10 to 14 years,Estimate; Female: - 15 to 17 years,Margin of Error; Female: - 15 to 17 years,Estimate; Female: - 18 and 19 years,Margin of Error; Female: - 18 and 19 years,Estimate; Female: - 20 years,Margin of Error; Female: - 20 years,Estimate; Female: - 21 years,Margin of Error; Female: - 21 years,Estimate; Female: - 22 to 24 years,Margin of Error; Female: - 22 to 24 years,Estimate; Female: - 25 to 29 years,Margin of Error; Female: - 25 to 29 years,Estimate; Female: - 30 to 34 years,Margin of Error; Female: - 30 to 34 years,Estimate; Female: - 35 to 39 years,Margin of Error; Female: - 35 to 39 years,Estimate; Female: - 40 to 44 years,Margin of Error; Female: - 40 to 44 years,Estimate; Female: - 45 to 49 years,Margin of Error; Female: - 45 to 49 years,Estimate; Female: - 50 to 54 years,Margin of Error; Female: - 50 to 54 years,Estimate; Female: - 55 to 59 years,Margin of Error; Female: - 55 to 59 years,Estimate; Female: - 60 and 61 years,Margin of Error; Female: - 60 and 61 years,Estimate; Female: - 62 to 64 years,Margin of Error; Female: - 62 to 64 years,Estimate; Female: - 65 and 66 years,Margin of Error; Female: - 65 and 66 years,Estimate; Female: - 67 to 69 years,Margin of Error; Female: - 67 to 69 years,Estimate; Female: - 70 to 74 years,Margin of Error; Female: - 70 to 74 years,Estimate; Female: - 75 to 79 years,Margin of Error; Female: - 75 to 79 years,Estimate; Female: - 80 to 84 years,Margin of Error; Female: - 80 to 84 years,Estimate; Female: - 85 years and over,Margin of Error; Female: - 85 years and over
0400000US37,37,North Carolina,9561558,*****,4657156,7691,323713,4405,324639,7963,329854,7808,194487,3675,147288,5623,74314,4740,75730,5581,188911,7606,306290,4380,306079,4712,328011,7709,332420,8263,336711,3692,322464,3606,284942,4934,102024,4615,154133,4816,80184,3777,109473,4404,133386,4782,92278,2923,65823,3221,44002,2879,4904402,7691,308307,4062,306957,7874,313390,7110,182896,3319,142513,4939,74019,5183,68419,4847,180500,6469,314398,3522,316636,4728,338215,9395,340739,9138,357088,3290,343421,3020,315760,5700,120102,5210,166469,4597,91741,4069,128379,4981,161126,4402,125763,4214,102957,4131,104607,4203
0500000US05119,05119,"Pulaski County, Arkansas",383632,*****,184675,836,13480,753,13121,1306,12794,1235,7210,308,4538,395,2109,884,2328,913,8697,1330,15166,1023,13280,668,11974,1443,13386,1673,12573,635,13107,382,12470,1092,4656,790,5292,1008,2872,722,3368,660,4764,759,3660,659,2461,555,1369,431,198957,836,12827,743,13902,1660,10945,1656,7401,232,4031,237,2185,800,2224,918,8934,1130,15491,772,14562,633,14398,1728,12009,1640,14040,663,14360,397,14258,1375,4070,873,6431,1197,3326,788,4695,769,5414,860,4955,751,4681,733,3818,776
0500000US22055,22055,"Lafayette Parish, Louisiana",222051,*****,108905,634,8237,486,8388,1425,6655,1383,4438,143,3404,599,1522,795,2082,789,6415,1076,9254,493,7023,978,7140,1304,7678,1338,7586,400,7571,402,6329,1064,2777,828,2595,825,1642,468,1482,529,2850,617,2125,535,926,417,786,317,113146,634,7812,590,8213,1062,6281,1197,4217,281,3803,265,2757,1307,1945,824,5733,1126,8598,174,8190,675,6014,1101,7710,1092,8289,476,8029,2,7232,900,2322,623,2611,660,2183,686,2011,619,2780,587,2548,539,1775,434,2093,555
0500000US29095,29095,"Jackson County, Missouri",675259,*****,326415,742,24594,300,25624,1524,19933,1466,14239,524,8756,597,4312,905,4688,1076,13031,1206,25690,229,22668,318,22667,1871,19957,1863,24288,401,24344,451,19960,1720,6709,1298,10154,1354,5210,812,6598,1019,8122,976,6377,782,4672,687,3822,720,348844,742,23207,360,23195,2065,21560,1976,13040,521,8646,553,4780,1284,4118,1192,14715,1698,26978,592,22790,193,21697,2120,22403,2016,25375,445,25446,406,22778,1743,7311,1213,11325,1539,5870,1024,7672,1201,10954,1203,7961,1049,8478,1099,8545,1086
0500000US37067,37067,"Forsyth County, North Carolina",351335,*****,166475,564,12287,191,9833,1061,14423,1077,7384,236,5265,498,1855,697,2738,919,6517,1010,10395,92,11080,331,11286,1562,11707,1619,12141,313,11813,153,9673,1125,3501,736,5917,1001,3035,726,3575,780,4223,767,3128,596,2417,496,2282,614,184860,564,11446,192,11969,1493,11078,1473,7049,259,5928,469,2249,762,4029,1046,6294,1174,11909,347,11768,449,11343,1258,13467,1265,13387,525,13321,399,10988,1026,5112,1073,6524,966,3347,682,4637,749,5533,824,5096,728,3456,809,4930,962
0500000US37081,37081,"Guilford County, North Carolina",489681,*****,233223,437,15593,4,14918,1630,17770,1666,9976,247,8087,405,3899,1127,4463,1106,9908,1343,15986,4,15037,153,15357,1969,16958,1825,17340,649,16008,562,13130,1182,5299,1001,8255,1125,3654,648,5728,682,5413,832,4710,725,3254,542,2480,584,256458,437,14837,5,15621,1593,15935,1547,9638,264,9426,642,6716,1675,3925,1178,11281,1611,16659,343,16246,2,16879,1611,17686,1623,18472,351,17499,379,15743,1372,5702,1040,8959,1376,3685,862,5499,821,8498,1047,7025,1032,5684,928,4843,882
0500000US51770,51770,"Roanoke city, Virginia",96967,*****,45860,1011,3319,762,2510,584,2768,555,1870,473,1171,570,748,496,372,253,1532,477,3345,544,3534,784,2715,852,4108,962,3231,503,3457,167,3022,620,1093,511,1535,496,627,331,730,332,1671,595,916,397,899,303,687,263,51107,1011,4095,862,2690,549,2469,524,1240,487,1504,713,498,265,407,269,2095,686,3986,626,3664,614,2572,816,3794,790,3531,239,3742,268,3513,605,1276,488,1686,492,599,296,1514,509,1544,515,1653,472,1472,451,1563,400
