measure,year,county,group,total,rate,passed,not_passed
3rd Grade Reading Score,2014-15,Durham,hispanic,809,34.6,280,529
3rd Grade Reading Score,2014-15,Durham,male,1307,41.3,540,767
3rd Grade Reading Score,2014-15,Durham,not_eds,976,67.1,655,321
3rd Grade Reading Score,2014-15,Durham,white,474,81.4,386,88
3rd Grade Reading Score,2014-15,Forsyth,ALL,4152,56,2325,1827
3rd Grade Reading Score,2014-15,Forsyth,black,1166,43.6,508,658
3rd Grade Reading Score,2014-15,Forsyth,eds,2701,41.5,1121,1580
3rd Grade Reading Score,2014-15,Forsyth,female,2032,59.5,1209,823
3rd Grade Reading Score,2014-15,Forsyth,hispanic,1133,35.3,400,733
3rd Grade Reading Score,2014-15,Forsyth,male,2120,52.6,1115,1005
3rd Grade Reading Score,2014-15,Forsyth,not_eds,1451,82.9,1203,248
3rd Grade Reading Score,2014-15,Forsyth,white,1571,77.5,1218,353
3rd Grade Reading Score,2014-15,Guilford,ALL,5455,53.8,2935,2520
3rd Grade Reading Score,2014-15,Guilford,black,2320,42.6,988,1332
3rd Grade Reading Score,2014-15,Guilford,eds,2994,41.1,1231,1763
3rd Grade Reading Score,2014-15,Guilford,female,2696,57.7,1556,1140
3rd Grade Reading Score,2014-15,Guilford,hispanic,907,41.1,373,534
3rd Grade Reading Score,2014-15,Guilford,male,2759,49.9,1377,1382
3rd Grade Reading Score,2014-15,Guilford,not_eds,2461,69.1,1701,760
3rd Grade Reading Score,2014-15,Guilford,white,1701,74.3,1264,437
3rd Grade Reading Score,2015-16,Durham,ALL,2672,45.7,1221,1451
3rd Grade Reading Score,2015-16,Durham,black,1150,37.5,431,719
3rd Grade Reading Score,2015-16,Durham,eds,1889,33.2,627,1262
3rd Grade Reading Score,2015-16,Durham,female,1313,49.2,646,667
3rd Grade Reading Score,2015-16,Durham,hispanic,879,33.7,296,583
3rd Grade Reading Score,2015-16,Durham,male,1359,42.2,573,786
3rd Grade Reading Score,2015-16,Durham,not_eds,783,75.7,593,190
3rd Grade Reading Score,2015-16,Durham,white,479,80.2,384,95
3rd Grade Reading Score,2015-16,Forsyth,ALL,4289,51.9,2226,2063
3rd Grade Reading Score,2015-16,Forsyth,black,1219,37.7,460,759
3rd Grade Reading Score,2015-16,Forsyth,eds,2279,37,843,1436
3rd Grade Reading Score,2015-16,Forsyth,female,2019,54.6,1102,917
3rd Grade Reading Score,2015-16,Forsyth,hispanic,1245,32.1,400,845
3rd Grade Reading Score,2015-16,Forsyth,male,2270,49.5,1124,1146
3rd Grade Reading Score,2015-16,Forsyth,not_eds,2010,68.9,1385,625
3rd Grade Reading Score,2015-16,Forsyth,white,1524,76.7,1169,355
3rd Grade Reading Score,2015-16,Guilford,ALL,5451,53.9,2938,2513
3rd Grade Reading Score,2015-16,Guilford,black,2245,41.7,936,1309
3rd Grade Reading Score,2015-16,Guilford,eds,2802,41.1,1152,1650
3rd Grade Reading Score,2015-16,Guilford,female,2604,56.7,1476,1128
3rd Grade Reading Score,2015-16,Guilford,hispanic,972,40.1,390,582
3rd Grade Reading Score,2015-16,Guilford,male,2847,51.4,1463,1384
3rd Grade Reading Score,2015-16,Guilford,not_eds,2649,67.5,1788,861
3rd Grade Reading Score,2015-16,Guilford,white,1666,77.1,1284,382
3rd Grade Reading Score,2016-17,Durham,ALL,2698,44.6,1203,1495
3rd Grade Reading Score,2016-17,Durham,black,1186,36.5,433,753
3rd Grade Reading Score,2016-17,Durham,eds,1732,33.1,573,1159
3rd Grade Reading Score,2016-17,Durham,female,1292,48.5,627,665
3rd Grade Reading Score,2016-17,Durham,hispanic,886,33.7,299,587
3rd Grade Reading Score,2016-17,Durham,male,1406,40.9,575,831
3rd Grade Reading Score,2016-17,Durham,not_eds,966,65,628,338
3rd Grade Reading Score,2016-17,Durham,white,480,80.4,386,94
3rd Grade Reading Score,2016-17,Forsyth,ALL,4368,52.8,2306,2062
3rd Grade Reading Score,2016-17,Forsyth,black,1292,38.2,494,798
3rd Grade Reading Score,2016-17,Forsyth,eds,2321,36.8,854,1467
3rd Grade Reading Score,2016-17,Forsyth,female,2134,56.8,1212,922
3rd Grade Reading Score,2016-17,Forsyth,hispanic,1160,32.8,380,780
3rd Grade Reading Score,2016-17,Forsyth,male,2234,49,1095,1139
3rd Grade Reading Score,2016-17,Forsyth,not_eds,2047,71,1453,594
3rd Grade Reading Score,2016-17,Forsyth,white,1636,76.5,1252,384
3rd Grade Reading Score,2016-17,Guilford,ALL,5605,53.4,2993,2612
3rd Grade Reading Score,2016-17,Guilford,black,2333,40.6,947,1386
3rd Grade Reading Score,2016-17,Guilford,eds,3010,40.1,1207,1803
3rd Grade Reading Score,2016-17,Guilford,female,2739,56.6,1550,1189
3rd Grade Reading Score,2016-17,Guilford,hispanic,976,42.6,416,560
