measure,year,county,group,total,rate,passed,not_passed
8th Grade Math Score,2012-13,Forsyth,black,1190,13.8,164,1026
8th Grade Math Score,2012-13,Forsyth,eds,2218,15.8,350,1868
8th Grade Math Score,2012-13,Forsyth,female,2015,29.9,602,1413
8th Grade Math Score,2012-13,Forsyth,hispanic,851,19.2,163,688
8th Grade Math Score,2012-13,Forsyth,male,2045,31.8,650,1395
8th Grade Math Score,2012-13,Forsyth,not_eds,1842,49.1,904,938
8th Grade Math Score,2012-13,Forsyth,white,1772,46.8,829,943
8th Grade Math Score,2012-13,Guilford,black,2342,18.4,431,1911
8th Grade Math Score,2012-13,Guilford,eds,3178,19.6,623,2555
8th Grade Math Score,2012-13,Guilford,female,2728,34.5,941,1787
8th Grade Math Score,2012-13,Guilford,hispanic,554,25.3,140,414
8th Grade Math Score,2012-13,Guilford,male,2880,33.6,968,1912
8th Grade Math Score,2012-13,Guilford,not_eds,2430,52.9,1285,1145
8th Grade Math Score,2012-13,Guilford,white,2112,51.8,1094,1018
