geo_description,label,year,description,estimate,se,moe,cv,type,subtype
"Forsyth County, NC",HD01_VD05,2014,Q4,94762,2027,3973,2.14,Comparison Community,Total
"Guilford County, NC",HD01_VD05,2014,Q4,95543,1783,3495,1.87,Comparison Community,Total
United States,HD01_VD06,2014,Q5,210927,208,408,0.1,Comparison Community,Total
North Carolina,HD01_VD06,2014,Q5,180167,1197,2346,0.66,Comparison Community,Total
"Durham County, NC",HD01_VD06,2014,Q5,196762,13970,27381,7.1,Comparison Community,Total
"Forsyth County, NC",HD01_VD06,2014,Q5,172933,7439,14580,4.3,Comparison Community,Total
"Guilford County, NC",HD01_VD06,2014,Q5,178381,5254,10298,2.95,Comparison Community,Total
United States,HD01_VD02,2015,Q1,23609,36,71,0.15,Comparison Community,Total
North Carolina,HD01_VD02,2015,Q1,21100,147,288,0.7,Comparison Community,Total
"Durham County, NC",HD01_VD02,2015,Q1,22215,1353,2652,6.09,Comparison Community,Total
"Forsyth County, NC",HD01_VD02,2015,Q1,20760,766,1501,3.69,Comparison Community,Total
"Guilford County, NC",HD01_VD02,2015,Q1,22163,677,1327,3.05,Comparison Community,Total
United States,HD01_VD03,2015,Q2,45074,59,116,0.13,Comparison Community,Total
North Carolina,HD01_VD03,2015,Q2,38785,253,496,0.65,Comparison Community,Total
"Durham County, NC",HD01_VD03,2015,Q2,43500,1323,2593,3.04,Comparison Community,Total
"Forsyth County, NC",HD01_VD03,2015,Q2,37224,1201,2354,3.23,Comparison Community,Total
"Guilford County, NC",HD01_VD03,2015,Q2,38620,1252,2454,3.24,Comparison Community,Total
United States,HD01_VD04,2015,Q3,72740,54,106,0.07,Comparison Community,Total
North Carolina,HD01_VD04,2015,Q3,62321,255,500,0.41,Comparison Community,Total
"Durham County, NC",HD01_VD04,2015,Q3,70894,1928,3779,2.72,Comparison Community,Total
"Forsyth County, NC",HD01_VD04,2015,Q3,62057,1835,3597,2.96,Comparison Community,Total
"Guilford County, NC",HD01_VD04,2015,Q3,60549,1884,3693,3.11,Comparison Community,Total
United States,HD01_VD05,2015,Q4,116000,65,127,0.06,Comparison Community,Total
North Carolina,HD01_VD05,2015,Q4,100658,423,829,0.42,Comparison Community,Total
"Durham County, NC",HD01_VD05,2015,Q4,114754,3451,6764,3.01,Comparison Community,Total
"Forsyth County, NC",HD01_VD05,2015,Q4,100046,2097,4110,2.1,Comparison Community,Total
"Guilford County, NC",HD01_VD05,2015,Q4,99028,1983,3887,2,Comparison Community,Total
United States,HD01_VD06,2015,Q5,217981,217,425,0.1,Comparison Community,Total
North Carolina,HD01_VD06,2015,Q5,187409,928,1819,0.5,Comparison Community,Total
"Durham County, NC",HD01_VD06,2015,Q5,208144,3839,7524,1.84,Comparison Community,Total
"Forsyth County, NC",HD01_VD06,2015,Q5,197228,8752,17154,4.44,Comparison Community,Total
"Guilford County, NC",HD01_VD06,2015,Q5,198286,8015,15709,4.04,Comparison Community,Total
United States,HD01_VD02,2016,Q1,24144,43,84,0.18,Comparison Community,Total
North Carolina,HD01_VD02,2016,Q1,21662,161,316,0.74,Comparison Community,Total
"Durham County, NC",HD01_VD02,2016,Q1,24747,1856,3638,7.5,Comparison Community,Total
"Forsyth County, NC",HD01_VD02,2016,Q1,20690,843,1652,4.07,Comparison Community,Total
"Guilford County, NC",HD01_VD02,2016,Q1,19803,849,1664,4.29,Comparison Community,Total
United States,HD01_VD03,2016,Q2,46294,47,92,0.1,Comparison Community,Total
North Carolina,HD01_VD03,2016,Q2,41003,179,351,0.44,Comparison Community,Total
"Durham County, NC",HD01_VD03,2016,Q2,43352,1034,2027,2.39,Comparison Community,Total
"Forsyth County, NC",HD01_VD03,2016,Q2,38654,1327,2601,3.43,Comparison Community,Total
"Guilford County, NC",HD01_VD03,2016,Q2,37660,1027,2013,2.73,Comparison Community,Total
United States,HD01_VD04,2016,Q3,73932,51,100,0.07,Comparison Community,Total
North Carolina,HD01_VD04,2016,Q3,64170,357,700,0.56,Comparison Community,Total
"Durham County, NC",HD01_VD04,2016,Q3,70449,2236,4383,3.17,Comparison Community,Total
"Forsyth County, NC",HD01_VD04,2016,Q3,61482,1159,2272,1.89,Comparison Community,Total
"Guilford County, NC",HD01_VD04,2016,Q3,60451,1417,2777,2.34,Comparison Community,Total
United States,HD01_VD05,2016,Q4,119108,83,163,0.07,Comparison Community,Total
North Carolina,HD01_VD05,2016,Q4,102602,359,704,0.35,Comparison Community,Total
"Durham County, NC",HD01_VD05,2016,Q4,113209,3766,7381,3.33,Comparison Community,Total
"Forsyth County, NC",HD01_VD05,2016,Q4,99537,1714,3359,1.72,Comparison Community,Total
"Guilford County, NC",HD01_VD05,2016,Q4,101582,2822,5531,2.78,Comparison Community,Total
United States,HD01_VD06,2016,Q5,224553,352,690,0.16,Comparison Community,Total
North Carolina,HD01_VD06,2016,Q5,192247,1741,3412,0.91,Comparison Community,Total
"Durham County, NC",HD01_VD06,2016,Q5,208958,6118,11991,2.93,Comparison Community,Total
"Forsyth County, NC",HD01_VD06,2016,Q5,204646,10233,20057,5,Comparison Community,Total
"Guilford County, NC",HD01_VD06,2016,Q5,198202,7903,15490,3.99,Comparison Community,Total
United States,HD01_VD02,2017,Q1,24625,43,84,0.17,Comparison Community,Total
North Carolina,HD01_VD02,2017,Q1,22302,165,323,0.74,Comparison Community,Total
