GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Total (dollars):,Margin of Error; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Total (dollars):,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Male -- - Total (dollars),Margin of Error; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Male -- - Total (dollars),"Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Male -- - Worked full-time, year-round in the past 12 months (dollars)","Margin of Error; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Male -- - Worked full-time, year-round in the past 12 months (dollars)",Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Male -- - Other (dollars),Margin of Error; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Male -- - Other (dollars),Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Total (dollars),Margin of Error; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Total (dollars),"Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Worked full-time, year-round in the past 12 months (dollars)","Margin of Error; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Worked full-time, year-round in the past 12 months (dollars)",Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Other (dollars),Margin of Error; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Other (dollars)
0100000US,,United States,30155,33,35258,60,47473,90,10792,38,24960,64,37412,57,10081,28
0400000US37,37,North Carolina,27066,184,31281,219,41859,231,10302,183,23004,386,34421,484,9388,219
0500000US37001,37001,"Alamance County, North Carolina",25525,1222,28638,2994,40026,4741,11045,944,23026,2118,31873,1728,8815,1215
0500000US37019,37019,"Brunswick County, North Carolina",23700,3423,29325,3845,40458,6420,9770,2325,20553,2319,28476,3118,8438,3199
0500000US37021,37021,"Buncombe County, North Carolina",25344,885,27363,1640,37075,1918,11687,1514,21921,1225,31916,1216,9220,1108
0500000US37023,37023,"Burke County, North Carolina",24856,2317,26219,1781,32425,3896,8740,3482,21980,1667,30990,1450,9724,2403
0500000US37025,37025,"Cabarrus County, North Carolina",31129,1537,36557,2127,49035,4111,9907,1972,24939,2355,40393,2720,9908,1120
0500000US37027,37027,"Caldwell County, North Carolina",25478,1146,28071,3352,34454,4244,13701,4024,22169,2250,28545,3261,7254,2769
0500000US37031,37031,"Carteret County, North Carolina",25963,1495,29272,3730,41123,2349,11248,1120,20246,3897,34310,3700,10182,1322
0500000US37035,37035,"Catawba County, North Carolina",25212,1742,30575,2283,40565,2172,9866,1991,21789,1395,30569,1438,10539,1389
0500000US37037,37037,"Chatham County, North Carolina",23920,2877,30113,6069,41786,1575,10359,2237,21282,2082,35428,5638,10889,1667
0500000US37045,37045,"Cleveland County, North Carolina",24663,2365,30532,2340,38416,2586,8125,3014,21146,1337,27841,3218,7013,1590
0500000US37049,37049,"Craven County, North Carolina",26535,1534,30581,1668,36516,1385,10865,4411,21200,1665,32399,1875,8023,1865
0500000US37051,37051,"Cumberland County, North Carolina",27497,964,32110,927,38895,2480,9841,1324,21973,1073,32369,1723,7725,768
0500000US37057,37057,"Davidson County, North Carolina",29785,1673,32674,2287,42279,2608,10702,1492,24169,2540,32520,3044,10214,1469
0500000US37063,37063,"Durham County, North Carolina",31214,1288,32111,1830,46147,1679,10728,1240,30362,2285,46042,1744,10024,1923
0500000US37067,37067,"Forsyth County, North Carolina",26759,1086,31406,1123,43794,2749,10566,1191,22448,1338,34165,2100,9555,1202
0500000US37071,37071,"Gaston County, North Carolina",26129,1383,30534,1413,40830,1804,8573,1303,21885,1008,32327,2008,9498,1472
0500000US37081,37081,"Guilford County, North Carolina",26990,679,31248,1125,42279,2206,10654,557,23815,1370,35152,1608,10586,777
0500000US37085,37085,"Harnett County, North Carolina",27758,1972,32970,1824,43428,4074,5810,1167,20407,2047,31155,1378,9685,1284
0500000US37089,37089,"Henderson County, North Carolina",26114,2096,26232,2598,39482,3296,13777,2444,25950,3148,37192,4201,11739,1883
0500000US37097,37097,"Iredell County, North Carolina",27408,1721,31601,1225,42346,3598,10813,862,22548,1773,32211,1229,9047,1381
0500000US37101,37101,"Johnston County, North Carolina",30606,1723,35344,3865,45724,3525,9754,1298,26624,4113,36701,2249,9105,1253
0500000US37109,37109,"Lincoln County, North Carolina",28084,4302,35995,6261,44152,5485,11315,3533,23556,3339,32434,4479,11168,1568
0500000US37119,37119,"Mecklenburg County, North Carolina",31147,484,36334,1133,50410,1725,11460,614,26613,766,38572,1557,10445,530
0500000US37125,37125,"Moore County, North Carolina",31654,1851,39031,5836,45039,3431,12352,4531,26509,6294,36432,4510,11038,2208
0500000US37127,37127,"Nash County, North Carolina",23378,2266,25424,3813,37695,4690,7195,2464,21939,2890,32002,2345,9271,3353
0500000US37129,37129,"New Hanover County, North Carolina",26265,1489,30607,2242,45059,3302,10357,2080,22280,1598,35511,1780,8780,1688
0500000US37133,37133,"Onslow County, North Carolina",24856,1215,26803,1071,31417,1207,10909,1435,18989,1729,30990,1483,7548,1710
0500000US37135,37135,"Orange County, North Carolina",25777,1806,30616,2341,60216,9105,9258,2551,21253,2590,47533,4135,5876,1517
0500000US37147,37147,"Pitt County, North Carolina",22333,1790,25698,2630,40818,1953,7465,2034,20551,1527,33232,3359,7651,1182
0500000US37151,37151,"Randolph County, North Carolina",27590,2051,30784,1976,36783,1989,12186,2874,23643,2558,33135,2450,11024,1533
0500000US37155,37155,"Robeson County, North Carolina",21972,1384,25154,1783,33239,2668,9127,1194,19425,1986,27787,2364,9939,1516
0500000US37157,37157,"Rockingham County, North Carolina",23198,2890,28625,5361,40071,3988,10965,1998,20671,1810,31200,1876,7568,1761
0500000US37159,37159,"Rowan County, North Carolina",25697,1392,31485,2896,41077,2078,12099,2167,20742,2242,32307,2084,10521,1032
0500000US37161,37161,"Rutherford County, North Carolina",23542,3058,30117,4451,34578,4995,9654,3361,16790,2533,30186,6636,5747,1814
0500000US37171,37171,"Surry County, North Carolina",25988,2081,29135,3518,36698,4037,9301,1974,21390,1785,31691,1172,8520,1302
0500000US37179,37179,"Union County, North Carolina",30560,1213,37284,3985,51293,3124,8419,1342,23837,2742,38457,2887,8950,885
