GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Median earnings in the past 12 months (in 2013 inflation-adjusted dollars) -- - Total (dollars):,Margin of Error; Median earnings in the past 12 months (in 2013 inflation-adjusted dollars) -- - Total (dollars):,Estimate; Median earnings in the past 12 months (in 2013 inflation-adjusted dollars) -- - Male -- - Total (dollars),Margin of Error; Median earnings in the past 12 months (in 2013 inflation-adjusted dollars) -- - Male -- - Total (dollars),"Estimate; Median earnings in the past 12 months (in 2013 inflation-adjusted dollars) -- - Male -- - Worked full-time, year-round in the past 12 months (dollars)","Margin of Error; Median earnings in the past 12 months (in 2013 inflation-adjusted dollars) -- - Male -- - Worked full-time, year-round in the past 12 months (dollars)",Estimate; Median earnings in the past 12 months (in 2013 inflation-adjusted dollars) -- - Male -- - Other (dollars),Margin of Error; Median earnings in the past 12 months (in 2013 inflation-adjusted dollars) -- - Male -- - Other (dollars),Estimate; Median earnings in the past 12 months (in 2013 inflation-adjusted dollars) -- - Female -- - Total (dollars),Margin of Error; Median earnings in the past 12 months (in 2013 inflation-adjusted dollars) -- - Female -- - Total (dollars),"Estimate; Median earnings in the past 12 months (in 2013 inflation-adjusted dollars) -- - Female -- - Worked full-time, year-round in the past 12 months (dollars)","Margin of Error; Median earnings in the past 12 months (in 2013 inflation-adjusted dollars) -- - Female -- - Worked full-time, year-round in the past 12 months (dollars)",Estimate; Median earnings in the past 12 months (in 2013 inflation-adjusted dollars) -- - Female -- - Other (dollars),Margin of Error; Median earnings in the past 12 months (in 2013 inflation-adjusted dollars) -- - Female -- - Other (dollars)
0100000US,,United States,30454,29,35648,63,48099,156,11021,38,25310,43,38097,137,10284,28
0400000US37,37,North Carolina,27389,179,31566,221,42146,257,10298,255,23667,368,34917,429,9673,246
0500000US37001,37001,"Alamance County, North Carolina",25773,1197,30238,2415,40242,2832,11994,2019,21562,1876,31701,1814,9289,1722
0500000US37019,37019,"Brunswick County, North Carolina",25083,3678,26724,1842,41787,4031,10203,2496,22079,2473,31370,2016,8427,1668
0500000US37021,37021,"Buncombe County, North Carolina",27117,2057,31000,1085,45812,3444,11501,1630,24063,1774,34105,3293,11215,1075
0500000US37023,37023,"Burke County, North Carolina",23171,2123,24968,2372,28961,2285,10221,2435,21786,1363,30719,1719,8366,2125
0500000US37025,37025,"Cabarrus County, North Carolina",32261,1751,37242,3088,46927,3284,12006,1406,27162,3558,41010,3177,10277,1388
0500000US37027,37027,"Caldwell County, North Carolina",25313,2838,29359,2684,38031,3216,7903,2460,19526,2373,31675,2181,10352,2784
0500000US37031,37031,"Carteret County, North Carolina",24598,2317,31036,1100,41647,4897,11160,1682,20111,2870,32616,4721,9562,2299
0500000US37035,37035,"Catawba County, North Carolina",25826,1474,30079,2594,40203,3975,10824,1684,22426,1705,30212,1804,9732,2097
0500000US37037,37037,"Chatham County, North Carolina",30463,3558,37312,5724,51115,3785,7820,3321,26547,4085,41058,6340,10049,1253
0500000US37045,37045,"Cleveland County, North Carolina",25805,1687,29996,1905,35778,2607,10478,3415,21444,1583,30259,2386,7867,2055
0500000US37049,37049,"Craven County, North Carolina",26383,1620,30518,2376,37620,1924,8887,3295,20482,2722,30905,947,7462,2541
0500000US37051,37051,"Cumberland County, North Carolina",27978,1106,31857,836,39346,3353,10032,1426,22466,1374,31489,1012,8389,1106
0500000US37057,37057,"Davidson County, North Carolina",26781,1420,30318,4046,41011,2146,11145,986,24866,2318,33667,3599,9271,1928
0500000US37063,37063,"Durham County, North Carolina",30247,1578,31896,3837,46603,2054,9996,2350,28260,2334,41313,1237,9851,1286
0500000US37067,37067,"Forsyth County, North Carolina",28924,2454,32116,1680,46771,2978,10106,1328,24993,2042,36585,1281,8578,1259
0500000US37071,37071,"Gaston County, North Carolina",27464,2037,34587,4238,43675,3309,8938,3476,22329,1291,33874,3543,8406,1000
0500000US37081,37081,"Guilford County, North Carolina",27450,1186,31761,1026,47595,3390,10595,835,24150,1756,34977,2147,9216,878
0500000US37085,37085,"Harnett County, North Carolina",31213,1594,38186,3549,45486,2603,9751,3571,22071,2226,36373,2517,7026,1152
