GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Median earnings in the past 12 months (in 2015 Inflation-adjusted dollars) -- - Total (dollars):,Margin of Error; Median earnings in the past 12 months (in 2015 Inflation-adjusted dollars) -- - Total (dollars):,Estimate; Median earnings in the past 12 months (in 2015 Inflation-adjusted dollars) -- - Male -- - Total (dollars),Margin of Error; Median earnings in the past 12 months (in 2015 Inflation-adjusted dollars) -- - Male -- - Total (dollars),"Estimate; Median earnings in the past 12 months (in 2015 Inflation-adjusted dollars) -- - Male -- - Worked full-time, year-round in the past 12 months (dollars)","Margin of Error; Median earnings in the past 12 months (in 2015 Inflation-adjusted dollars) -- - Male -- - Worked full-time, year-round in the past 12 months (dollars)",Estimate; Median earnings in the past 12 months (in 2015 Inflation-adjusted dollars) -- - Male -- - Other (dollars),Margin of Error; Median earnings in the past 12 months (in 2015 Inflation-adjusted dollars) -- - Male -- - Other (dollars),Estimate; Median earnings in the past 12 months (in 2015 Inflation-adjusted dollars) -- - Female -- - Total (dollars),Margin of Error; Median earnings in the past 12 months (in 2015 Inflation-adjusted dollars) -- - Female -- - Total (dollars),"Estimate; Median earnings in the past 12 months (in 2015 Inflation-adjusted dollars) -- - Female -- - Worked full-time, year-round in the past 12 months (dollars)","Margin of Error; Median earnings in the past 12 months (in 2015 Inflation-adjusted dollars) -- - Female -- - Worked full-time, year-round in the past 12 months (dollars)",Estimate; Median earnings in the past 12 months (in 2015 Inflation-adjusted dollars) -- - Female -- - Other (dollars),Margin of Error; Median earnings in the past 12 months (in 2015 Inflation-adjusted dollars) -- - Female -- - Other (dollars)
0100000US,,United States,31394,33,36979,59,49938,144,11427,37,26316,54,39940,122,10664,33
0400000US37,37,North Carolina,29355,348,32379,245,42039,258,10721,206,25123,280,36113,285,9913,197
0500000US37001,37001,"Alamance County, North Carolina",24764,1608,30313,2602,40798,1568,10199,1488,21004,1186,32759,2641,8895,1486
0500000US37019,37019,"Brunswick County, North Carolina",23810,2363,26701,2751,36894,6078,10542,1365,20882,2066,31196,2506,9161,1216
0500000US37021,37021,"Buncombe County, North Carolina",26892,1442,30051,1618,39656,4062,11230,982,23146,2903,35553,3029,12415,1264
0500000US37023,37023,"Burke County, North Carolina",25873,1505,26752,1805,37315,2932,9051,2615,24311,4752,31245,1486,11243,2009
0500000US37025,37025,"Cabarrus County, North Carolina",31568,1285,36449,2249,44016,4502,11115,848,27251,3220,40296,3646,7745,1661
0500000US37027,37027,"Caldwell County, North Carolina",24505,2013,27738,4523,38996,3949,10988,1346,21140,2281,29668,2781,9567,1348
0500000US37031,37031,"Carteret County, North Carolina",29952,3463,33353,3835,50223,4921,11713,1830,24136,6153,35561,3430,10860,1350
