GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Total (dollars):,Margin of Error; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Total (dollars):,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Total (dollars),Margin of Error; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Total (dollars),"Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Worked full-time, year-round in the past 12 months (dollars)","Margin of Error; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Worked full-time, year-round in the past 12 months (dollars)",Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Other (dollars),Margin of Error; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Other (dollars),Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Female -- - Total (dollars),Margin of Error; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Female -- - Total (dollars),"Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Female -- - Worked full-time, year-round in the past 12 months (dollars)","Margin of Error; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Female -- - Worked full-time, year-round in the past 12 months (dollars)",Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Female -- - Other (dollars),Margin of Error; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Female -- - Other (dollars)
0100000US,,United States,28899,76,33276,145,46500,78,10985,40,24157,77,36551,65,10047,33
0400000US37,37,North Carolina,26398,194,30397,226,41138,228,10201,245,22777,357,33188,603,9692,262
0500000US37001,37001,"Alamance County, North Carolina",24192,1814,26926,2404,38624,3808,10632,1720,21298,2502,31830,1817,8209,2600
0500000US37019,37019,"Brunswick County, North Carolina",22227,2307,27133,3290,41455,5243,10664,3148,20494,1624,32830,3103,9921,2805
0500000US37021,37021,"Buncombe County, North Carolina",24115,2064,26658,1324,37054,2574,11844,1297,21473,1258,32126,896,10265,1014
0500000US37023,37023,"Burke County, North Carolina",23908,3208,25907,1369,31827,1752,8545,2722,21372,1693,31183,2349,9886,1851
0500000US37025,37025,"Cabarrus County, North Carolina",30209,1924,32462,3735,45359,4061,15278,4193,25888,2075,37437,4048,11615,1979
0500000US37027,37027,"Caldwell County, North Carolina",25686,1809,27321,2906,33571,4289,11133,2175,20813,2836,31476,1590,9402,2496
0500000US37031,37031,"Carteret County, North Carolina",24279,2536,26797,4327,40966,2600,9288,2269,21064,3613,32763,3244,10109,2188
0500000US37035,37035,"Catawba County, North Carolina",24281,1499,26507,1692,37448,4316,8882,1551,21515,1473,30203,1667,10507,981
0500000US37045,37045,"Cleveland County, North Carolina",23625,2879,28380,2685,38343,3322,8042,2764,18648,2238,29974,2989,6645,1179
0500000US37049,37049,"Craven County, North Carolina",22413,2076,29157,4174,42304,4200,7444,1885,17128,3036,28220,4325,6612,1455
0500000US37051,37051,"Cumberland County, North Carolina",26177,928,30859,1147,39790,3193,8159,1570,21330,1221,30773,1262,8976,787
0500000US37057,37057,"Davidson County, North Carolina",27295,1797,30013,2481,37999,2494,10448,1784,25400,1816,31861,1370,8609,2953
0500000US37063,37063,"Durham County, North Carolina",27496,2075,29226,2876,42500,2855,10490,1363,26618,1905,41397,1463,9169,1673
0500000US37067,37067,"Forsyth County, North Carolina",27265,983,30204,1802,41465,1309,10113,1516,25929,886,35617,1475,10095,1556
0500000US37071,37071,"Gaston County, North Carolina",26302,1099,30004,1614,40003,3074,7456,2956,22159,1779,33617,2884,9780,1664
0500000US37081,37081,"Guilford County, North Carolina",26249,917,29729,1457,41124,1239,10435,1041,23182,1269,32728,2002,10109,951
0500000US37085,37085,"Harnett County, North Carolina",23446,2914,30785,4081,41341,1756,9534,2846,18090,2633,29485,2971,5484,1838
0500000US37089,37089,"Henderson County, North Carolina",25051,4050,27774,3778,41964,4354,8375,1953,21657,1772,37589,6098,9246,2869
0500000US37097,37097,"Iredell County, North Carolina",26971,1767,32354,5493,47262,6227,12435,3325,22367,2045,32431,4143,10191,1935
0500000US37101,37101,"Johnston County, North Carolina",28730,2714,32637,2705,41670,1878,11503,1386,24554,2320,31525,1773,11225,1148
0500000US37109,37109,"Lincoln County, North Carolina",26375,1488,29606,3647,41441,3094,10950,2823,22411,4235,30480,3497,11874,2459
0500000US37119,37119,"Mecklenburg County, North Carolina",31092,547,34935,2081,47747,2290,12313,974,28204,1762,38601,1928,10988,590
0500000US37125,37125,"Moore County, North Carolina",26839,2315,36217,6837,50395,7200,8637,3038,20875,3593,31765,5567,6379,2502
0500000US37127,37127,"Nash County, North Carolina",27963,2691,30810,3189,40339,4523,10270,1733,26271,1749,35043,3659,10159,2861
0500000US37129,37129,"New Hanover County, North Carolina",26032,1113,30221,3747,41124,3217,10656,1009,23343,2644,33066,2514,9204,1032
0500000US37133,37133,"Onslow County, North Carolina",24098,974,27376,3013,32432,4278,8381,1649,16941,2165,29112,3322,9178,1755
0500000US37135,37135,"Orange County, North Carolina",23998,4001,26438,2424,49937,5573,10422,2384,21357,2503,45529,3050,6900,2013
0500000US37147,37147,"Pitt County, North Carolina",22880,2049,25114,2306,41206,2519,6755,2572,21110,1640,35633,5516,6858,1457
0500000US37151,37151,"Randolph County, North Carolina",24225,1860,30622,1933,41757,1481,11592,2592,19750,1406,26681,2453,10861,1463
0500000US37155,37155,"Robeson County, North Carolina",20900,1362,23228,3479,32376,2797,8045,1661,19913,2572,25208,3224,6505,1154
0500000US37157,37157,"Rockingham County, North Carolina",26092,1166,29575,2676,37108,2913,9661,1949,24122,2178,29948,2096,11361,1310
0500000US37159,37159,"Rowan County, North Carolina",25090,2304,28634,4190,37252,4590,10279,2592,20892,2056,31003,1779,9400,1322
0500000US37161,37161,"Rutherford County, North Carolina",21470,2066,28512,4383,38622,5296,10455,1864,17065,2922,25499,2777,9154,4166
0500000US37171,37171,"Surry County, North Carolina",25267,2946,27482,3357,35327,7003,8461,1990,22362,3662,30646,2677,11735,2904
0500000US37179,37179,"Union County, North Carolina",32329,1229,40652,1998,50608,1648,12636,1869,25745,1148,35343,2536,10439,1174
0500000US37183,37183,"Wake County, North Carolina",33830,1352,40646,921,55801,1708,10607,670,29972,1669,41871,782,10791,822
0500000US37191,37191,"Wayne County, North Carolina",25515,1165,27588,3498,35388,2634,7450,3832,22319,1836,30040,1827,8840,1432
0500000US37193,37193,"Wilkes County, North Carolina",22034,1746,24072,2636,32237,6252,8917,3140,20563,1559,25368,1924,10140,2576
0500000US37195,37195,"Wilson County, North Carolina",25324,2121,27174,3783,37649,3545,7953,3834,22814,3260,31513,1866,9706,2129
