GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57,HD02_VD57,HD01_VD58,HD02_VD58,HD01_VD59,HD02_VD59
0500000US37109,37109,"Lincoln County, North Carolina",81511,512,11671,2869,5385,1525,266,255,0,207,210,189,371,315,201,200,272,234,238,228,928,620,359,282,884,539,1189,639,345,296,122,144,6286,1694,118,189,245,244,418,444,186,173,61,95,133,157,468,353,1053,618,567,410,927,490,934,580,657,439,519,438,69840,2841,34742,1508,2104,434,488,391,2585,610,1472,608,220,157,885,292,3088,390,3488,706,4377,522,5507,574,4408,652,4142,335,1978,178,35098,1925,1723,408,150,148,2739,654,948,421,581,403,1012,470,2441,649,3419,512,4908,602,5487,602,5122,541,4224,527,2344,439
0500000US37119,37119,"Mecklenburg County, North Carolina",1062738,1973,118337,11168,51667,6197,7470,1903,1426,756,6311,1685,2910,1138,1648,853,1359,593,7700,1930,4197,1123,5654,1299,5186,1459,4955,1149,1686,608,1165,434,66670,6430,6776,1591,1552,592,7081,1627,1582,743,1065,695,2918,997,8558,1825,11224,1997,8353,1752,5733,1200,6135,1372,3640,940,2053,673,944401,11550,458772,6420,29188,1956,5486,1142,36918,2632,18400,2178,6310,1433,11639,1248,35667,2137,84152,1182,70211,1564,65205,1468,49882,1149,30516,852,15198,760,485629,6510,28452,1562,5692,1204,34949,2519,19266,2198,4992,1223,11951,1416,36524,1984,81705,2015,74431,1863,70244,1225,55920,1393,36889,893,24614,657
0500000US37125,37125,"Moore County, North Carolina",96012,425,8908,2568,3536,1161,86,132,0,207,0,207,281,227,0,207,0,207,310,296,635,526,309,374,538,347,787,472,317,290,273,241,5372,1869,123,169,31,61,555,427,16,29,74,123,45,79,1080,1065,570,329,683,501,464,348,1118,720,216,150,397,270,87104,2596,43000,1450,2153,217,1200,670,3212,773,1645,602,334,321,2241,1235,2373,518,5225,535,5388,755,4694,362,5476,708,5066,492,3993,282,44104,2180,2334,551,107,119,2762,707,1809,712,1120,638,916,315,2779,783,5620,877,4321,615,5327,683,5620,725,6449,495,4940,661
0500000US37127,37127,"Nash County, North Carolina",92120,621,13670,3066,5955,1604,760,627,0,207,685,488,507,401,0,207,216,268,459,431,801,599,739,648,608,363,865,406,80,133,235,208,7715,2095,968,576,0,207,481,582,495,571,159,185,157,245,1057,729,641,432,824,673,935,574,984,603,566,401,448,324,78450,3029,38406,1884,2218,830,263,242,2967,889,1618,924,527,545,1479,633,4146,619,3726,823,4358,904,5131,451,5263,420,4513,170,2197,210,40044,2274,1570,500,558,434,3184,978,688,391,301,261,943,381,3143,832,4710,424,5361,328,5403,576,5858,648,4961,401,3364,355
0500000US37129,37129,"New Hanover County, North Carolina",220909,1548,35587,5045,14135,2602,1379,566,563,422,1562,843,693,640,85,131,468,376,3720,1490,1811,974,827,623,1313,643,935,577,728,358,51,89,21452,3471,1564,496,469,272,1922,816,471,331,78,128,798,712,5389,1556,3414,1076,1769,756,1208,585,2326,862,1027,537,1017,494,185322,5541,90619,2910,4431,680,693,362,5498,968,2999,838,814,460,1913,669,7048,1547,13275,1037,12996,1071,13116,909,11967,689,9814,545,6055,437,94703,3615,4028,651,1712,728,4357,1079,2807,933,705,485,2223,822,7133,1769,12174,1040,12260,1034,14141,1145,13552,916,11919,758,7692,674
0500000US37133,37133,"Onslow County, North Carolina",173335,2445,22347,4138,8774,2309,1564,977,476,390,1069,587,510,377,136,150,278,311,1471,873,716,575,145,116,230,184,1176,918,352,295,651,525,13573,2720,1622,954,89,106,827,539,0,207,485,365,275,307,2453,820,2570,1164,916,457,1633,957,1221,637,348,268,1134,491,150988,4528,79067,3548,7578,1150,628,336,6209,1469,3203,1115,1094,831,1606,542,13553,1900,16393,1536,8606,940,7842,1066,5735,1005,4254,324,2366,498,71921,2622,6343,1250,1155,800,4979,1254,3557,1212,1659,1192,1509,582,8361,1020,13310,1520,8441,1121,7181,927,6741,750,5307,444,3378,538
0500000US37135,37135,"Orange County, North Carolina",134785,1750,18964,3189,7222,1780,366,333,67,118,495,574,87,153,15,27,271,335,3749,1308,617,349,217,176,525,287,559,601,254,283,0,207,11742,2167,225,259,0,207,416,374,392,372,305,357,57,98,5328,1307,1792,642,929,693,883,661,704,407,681,597,30,30,115821,3331,56570,1822,2404,369,510,454,5781,851,1920,882,590,353,1603,310,3795,1286,7920,1050,8290,672,8184,750,7358,537,5488,431,2727,279,59251,2451,3185,568,827,533,3720,848,3049,770,578,269,1441,398,3378,1174,8274,1175,7441,846,9397,958,7492,578,6581,912,3888,462
0500000US37147,37147,"Pitt County, North Carolina",173030,1239,38138,5018,14497,2446,1427,619,0,207,1886,775,806,557,756,517,612,424,3537,1135,1716,698,1404,722,450,424,1559,732,169,204,175,209,23641,3408,2240,674,433,510,2496,1151,766,532,360,387,808,427,7546,1501,2797,1161,2377,960,1197,702,1406,677,705,435,510,330,134892,5121,68642,2653,4103,1147,653,487,4322,1138,3320,990,1017,510,1365,645,10261,1512,9756,871,8001,542,9039,475,7435,868,6261,693,3109,495,66250,3518,2640,425,774,478,3865,1219,1684,771,398,289,1281,453,6815,1688,10159,1355,8342,1050,9569,823,9242,630,6474,567,5007,416
0500000US37151,37151,"Randolph County, North Carolina",141306,838,24797,5460,10930,3216,1297,831,153,273,1427,899,463,411,271,319,929,619,566,517,1228,667,1331,775,1323,576,1133,493,446,299,363,291,13867,2736,1601,887,300,406,1458,770,627,444,58,98,201,189,1008,664,2501,885,2088,943,1626,557,1261,512,544,342,594,506,116509,5462,58986,3187,2181,753,451,503,4107,978,2497,837,799,398,1623,708,5025,721,7577,956,6956,1039,9300,803,8640,580,6457,374,3373,403,57523,2810,2217,809,844,547,3087,832,2249,788,621,399,1829,394,3907,694,5829,763,7323,1044,8612,656,8826,733,7449,368,4730,581
0500000US37155,37155,"Robeson County, North Carolina",128979,1142,36968,3580,17248,2048,1794,472,425,262,3082,709,968,493,277,247,1026,367,2096,632,1004,380,1716,444,1449,460,2040,559,879,352,492,281,19720,1940,2454,527,257,175,2675,661,1201,404,133,113,588,258,1573,523,2977,584,2876,685,1489,469,1868,496,822,370,807,329,92011,3688,44949,2102,2575,529,624,317,3186,784,1111,390,447,230,1164,342,4551,722,6456,453,5631,485,6471,476,5715,505,4679,367,2339,284,47062,1953,1972,518,329,206,2803,593,1733,457,666,269,1278,280,3806,598,5669,676,5701,630,7046,472,6884,488,5875,461,3300,345
0500000US37157,37157,"Rockingham County, North Carolina",89278,671,14080,3585,6147,1654,541,396,0,207,855,765,355,407,0,207,42,72,1158,641,368,298,547,437,292,160,620,351,1005,541,364,241,7933,2332,1005,836,28,49,538,521,331,358,260,335,0,207,1711,792,836,530,1035,690,543,403,933,452,389,297,324,242,75198,3680,36142,2001,1599,467,511,392,1767,685,1394,747,589,526,904,295,2975,711,3573,541,4883,562,5397,609,6171,401,4078,559,2301,241,39056,2112,1132,300,42,74,2705,690,2017,645,377,334,1067,371,2050,758,3633,777,4830,760,5997,415,6396,489,4953,485,3857,506
0500000US37159,37159,"Rowan County, North Carolina",136871,807,20464,3158,9853,1709,1070,668,0,207,874,459,741,509,449,467,290,269,417,326,1535,612,599,483,714,471,1774,654,847,404,543,342,10611,1980,646,587,86,146,637,442,843,685,134,117,732,478,968,409,813,452,1565,638,1353,571,1953,598,304,154,577,353,116407,3060,57594,2258,2421,735,893,654,5172,1231,1768,688,453,316,1586,800,5223,894,7023,1177,6306,1022,9818,1159,7643,858,5740,590,3548,779,58813,2014,3604,845,460,307,4506,1037,1622,583,690,619,1240,484,4425,819,6792,933,7088,835,8422,919,7635,640,7564,456,4765,386
0500000US37161,37161,"Rutherford County, North Carolina",65059,639,8382,2426,3441,1052,217,229,0,207,215,240,190,195,80,137,194,286,94,139,951,478,280,242,714,489,368,349,138,216,0,207,4941,1628,180,212,0,207,171,200,0,207,342,348,95,182,685,485,387,269,573,503,994,491,910,551,351,317,253,300,56677,2467,28166,1263,1332,433,305,226,2195,498,844,407,881,495,668,326,2960,589,1881,521,2953,471,3747,526,4376,451,3818,383,2206,190,28511,1677,1382,345,504,372,1873,538,753,341,281,313,755,435,1325,506,2909,411,3602,874,3731,711,4466,636,4310,520,2620,435
0500000US37171,37171,"Surry County, North Carolina",71293,313,11031,2723,4496,1286,324,274,78,127,550,466,468,478,19,33,18,33,528,469,612,321,431,395,158,182,442,255,405,307,463,295,6535,1720,706,379,0,207,0,207,60,109,140,208,534,596,1067,607,409,333,657,508,978,573,574,454,928,382,482,289,60262,2730,29931,1386,1340,278,420,313,2160,598,726,323,363,277,1130,256,2105,491,3517,472,3963,494,4792,421,4268,270,3196,320,1951,307,30331,1762,1023,525,367,259,2308,550,1575,560,511,277,385,257,1871,404,3299,502,3450,439,4552,500,4498,526,3624,427,2868,355
0500000US37179,37179,"Union County, North Carolina",227990,1083,21406,3503,9009,2284,753,473,317,381,2376,911,543,335,95,113,355,325,751,496,630,369,1045,551,888,562,708,609,442,206,106,171,12397,2217,712,524,401,349,1470,760,297,241,214,186,567,397,985,540,2291,834,1516,719,1641,633,1162,446,818,351,323,258,206584,3628,103080,2207,5530,678,1481,584,8190,1016,5927,1071,1522,531,4305,582,9180,927,10083,1110,14367,932,18268,928,12799,601,7825,277,3603,262,103504,2347,5843,784,1098,380,8847,960,5404,893,1391,417,4055,608,7426,599,9666,946,15518,981,17327,635,12676,620,9347,520,4906,445
0500000US37183,37183,"Wake County, North Carolina",1052020,2447,93556,9402,40604,5190,2559,1189,649,478,5956,1785,2172,941,1203,671,1443,674,8180,1915,5159,1371,3603,1131,4659,1191,2523,734,1878,734,620,394,52952,5419,5606,1283,783,439,5418,1716,3135,1111,890,457,989,455,9047,2273,6586,1396,6212,1533,5658,1646,2734,730,2898,1022,2996,1082,958464,9503,471758,5626,31792,1340,6123,1267,37872,2469,20798,2549,6870,1359,12829,1355,35276,2361,72400,1474,73152,1253,71012,1260,54653,791,32093,787,16888,533,486706,5314,27201,1280,6452,1495,36608,2398,19757,1951,7160,1149,12951,1213,32721,2522,74035,1490,76013,1547,72529,1618,60810,742,37837,1083,22632,1005
0500000US37191,37191,"Wayne County, North Carolina",121000,862,25607,3644,10543,1762,1820,659,427,459,1628,543,950,526,151,230,167,247,812,638,940,517,1276,610,747,520,731,476,502,273,392,273,15064,2301,1472,490,297,318,1580,698,811,515,121,212,412,441,2157,892,3226,964,1830,826,1458,746,823,453,512,406,365,262,95393,3787,47588,2023,2128,623,550,395,2336,585,2117,688,424,296,1904,602,4962,942,6581,983,6636,949,6225,675,6360,507,4810,459,2555,340,47805,2608,2444,489,394,336,2521,790,2103,673,257,386,1694,439,3451,914,4945,1001,5566,773,6561,744,7566,477,5898,527,4405,360
0500000US37193,37193,"Wilkes County, North Carolina",67296,633,13317,2762,6049,1507,156,210,0,207,1077,749,474,382,282,280,25,40,1037,588,132,178,627,370,852,498,909,414,184,148,294,248,7268,1823,414,396,0,207,532,450,130,156,227,355,100,141,719,525,992,506,1052,672,1027,550,867,338,561,295,647,340,53979,2602,26653,1550,958,568,0,207,1479,595,1556,533,471,243,689,250,1465,483,3609,410,2919,343,4109,701,3765,449,3645,266,1988,259,27326,1810,1355,598,555,474,1731,606,511,358,317,202,432,243,1757,599,3130,443,2792,524,3812,437,4546,448,3769,344,2619,417
0500000US37195,37195,"Wilson County, North Carolina",80249,635,13245,2837,5158,1257,594,296,67,114,740,408,338,254,67,115,180,218,309,314,684,598,656,447,369,341,725,392,236,195,193,176,8087,2180,1046,615,0,207,1084,588,389,246,415,398,220,240,635,387,941,521,684,441,544,329,1285,448,562,324,282,185,67004,2861,32675,1463,1644,534,66,116,2489,706,1752,533,366,405,765,435,2789,685,4531,941,3683,765,4480,808,4611,348,3516,217,1983,176,34329,2301,1454,662,154,225,2973,886,637,451,330,310,991,505,2618,409,4368,569,4120,479,5027,417,4908,456,4029,324,2720,434
