GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Less than 9th grade,Margin of Error; Male: - Less than 9th grade,"Estimate; Male: - 9th to 12th grade, no diploma","Margin of Error; Male: - 9th to 12th grade, no diploma",Estimate; Male: - Regular high school diploma,Margin of Error; Male: - Regular high school diploma,Estimate; Male: - GED or alternative credential,Margin of Error; Male: - GED or alternative credential,"Estimate; Male: - Some college, no degree","Margin of Error; Male: - Some college, no degree",Estimate; Male: - Associate's degree,Margin of Error; Male: - Associate's degree,Estimate; Male: - Bachelor's degree,Margin of Error; Male: - Bachelor's degree,Estimate; Male: - Graduate or professional degree,Margin of Error; Male: - Graduate or professional degree,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Less than 9th grade,Margin of Error; Female: - Less than 9th grade,"Estimate; Female: - 9th to 12th grade, no diploma","Margin of Error; Female: - 9th to 12th grade, no diploma",Estimate; Female: - Regular high school diploma,Margin of Error; Female: - Regular high school diploma,Estimate; Female: - GED or alternative credential,Margin of Error; Female: - GED or alternative credential,"Estimate; Female: - Some college, no degree","Margin of Error; Female: - Some college, no degree",Estimate; Female: - Associate's degree,Margin of Error; Female: - Associate's degree,Estimate; Female: - Bachelor's degree,Margin of Error; Female: - Bachelor's degree,Estimate; Female: - Graduate or professional degree,Margin of Error; Female: - Graduate or professional degree
0100000US,,United States,141478073,16171,68537849,11397,1863294,21597,4157076,28304,16271134,55624,3225903,26711,14702043,48313,5281926,35003,14250499,52217,8785974,42019,72940224,9456,1818722,21294,3939524,30684,18136788,53784,2534785,25602,15844957,54926,6907803,35134,14806976,56723,8950669,43869
0400000US37,37,North Carolina,4524330,2830,2160306,2004,79474,4671,170058,6888,452813,10919,116382,4801,463787,9227,179771,5740,451056,10211,246965,7533,2364024,1884,66933,4639,151615,5713,517324,9758,97926,5402,523520,10042,256112,6782,495438,9555,255156,7065
0500000US37063,37063,"Durham County, North Carolina",92566,249,43464,201,461,288,1933,827,5143,1100,1199,448,5623,1077,2078,790,13766,1507,13261,1573,49102,249,200,188,1313,583,7171,1210,1064,483,5982,1259,2429,750,17772,1663,13171,1466
0500000US37067,37067,"Forsyth County, North Carolina",153339,115,71419,201,1251,530,4169,918,14782,1441,2700,745,12967,1293,5546,1008,18443,1890,11561,1289,81920,115,1449,735,3785,804,17499,1636,3210,838,17109,1711,7608,1183,19744,1662,11516,1322
0500000US37081,37081,"Guilford County, North Carolina",194990,566,92075,310,2435,673,3558,927,16716,1892,3155,744,18604,1920,6208,1217,26675,1884,14724,1635,102915,269,1368,571,4705,1146,21664,1991,2950,673,21091,1878,8772,1176,28913,2109,13452,1440
