,V1,V2,V3,V4,V5
Assoc_p2599AW16_SE,68440.779,12053.273,2114.243,2100.326,2530.485
Pct_Assoc_p2599AW16,0.439023,0.4438097,0.6782719,0.502861,0.4962166
Pct_Assoc_p2599AW16_SE,0.000479003,0.002585438,0.021064556,0.013415048,0.012852833
Pop2599AB16,25944692,1407993,74917,60510,108725
Pop2599AB16_SE,20205.4711,4469.9088,536.1702,634.6505,987.8419
Assoc_p2599AB16,7590518,408569,33331,18889,33943
Assoc_p2599AB16_SE,31686.773,6982.745,2092.574,1395.695,1972.128
Pct_Assoc_p2599AB16,0.2925654,0.2901783,0.4449057,0.3121633,0.3121913
Pct_Assoc_p2599AB16_SE,0.001242392,0.005044195,0.028112805,0.023296747,0.01835912
Pop2599AH16,32331742,461251,20835,21736,20061
Pop2599AH16_SE,14721.581,2775.076,0,0,0
Assoc_p2599AH16,7003567,95039,3193,3740,3756
Assoc_p2599AH16_SE,28715.5985,3274.9767,572.176,620.1022,612.0168
Pct_Assoc_p2599AH16,0.2166158,0.2060462,0.1532517,0.1720648,0.187229
Pct_Assoc_p2599AH16_SE,0.000893615,0.007207612,0.027462251,0.02852881,0.03050779
Pop2534AA16,44390248,1321286,56190,47580,71413
Pop2534AA16_SE,20831.5196,4930.435,522.8593,355.2618,202.4763
Pop3544AA16,40655592,1304270,42602,45237,65043
Pop3544AA16_SE,17138.2703,5053.2908,394.8701,318.7944,159.9385
Pop4564AA16,84214475,2683038,74361,99308,135821
Pop4564AA16_SE,22660.7369,4178.9748,606.8252,417.9777,459.3782
Pop6599AA16,49215165,1568591,36792,55717,75530
Pop6599AA16_SE,11518.9523,2218.9394,534.104,288.7282,415.3262
Assoc_p2534AA16,19467652,566193,35807,20219,29151
Assoc_p2534AA16_SE,42280.65,7413.138,1638.636,1384.755,1743.448
Assoc_p3544AA16,18009728,596812,23708,21223,31051
Assoc_p3544AA16_SE,39899.872,7452.123,1547.036,1229.439,1577.041
Assoc_p4564AA16,33051291,1089354,38342,45347,59145
Assoc_p4564AA16_SE,53458.05,9383.554,1884.497,1676.937,2150.182
Assoc_p6599AA16,16065447,493612,17042,20043,25614
Assoc_p6599AA16_SE,29792.068,5671.802,1077.54,1053.156,1279.568
Pct_Assoc_p2534AA16,0.438557,0.4285166,0.6372486,0.4249475,0.408203
Pct_Assoc_p2534AA16_SE,0.000974457,0.005833964,0.029759166,0.02927616,0.024441014
Pct_Assoc_p3544AA16,0.4429828,0.4575832,0.5564997,0.4691514,0.4773919
Pct_Assoc_p3544AA16_SE,0.00099902,0.005982365,0.036678195,0.027378102,0.024274532
Pct_Assoc_p4564AA16,0.3924657,0.4060151,0.5156197,0.4566299,0.4354629
Pct_Assoc_p4564AA16_SE,0.000643509,0.003554076,0.025689484,0.016995242,0.015899364
Pct_Assoc_p6599AA16,0.3264329,0.314685,0.4631985,0.3597286,0.3391235
Pct_Assoc_p6599AA16_SE,0.000610146,0.003643157,0.03004935,0.018993579,0.017043507
Pop2599AA15,216447163,6762644,204502,244644,345581
Pop2599AA15_SE,42124.0122,5079.0274,252.8875,460.7903,459.5745
Pop2599MA15,104477394,3201620,95318,113024,160273
Pop2599MA15_SE,25359.8784,3634.0426,350.152,352.5836,463.8298
Pop2599FA15,111969769,3561024,109184,131620,185308
Pop2599FA15_SE,21063.82979,3344.68085,432.82675,296.04863,85.71429
Assoc_p2599MA15,39300671,1159020,46417,46857,66467
Assoc_p2599MA15_SE,58209.551,9730.074,1951.859,1797.305,2417.605
Assoc_p2599FA15,44747632,1455850,61056,55802,79622
Assoc_p2599FA15_SE,68981.644,10667.152,2240.506,2048.641,2557.841
Assoc_p2599AA15,84048303,2614870,107473,102659,146089
Assoc_p2599AA15_SE,90259.731,14438.23,2971.467,2725.296,3519.569
Pct_Assoc_p2599AA15,0.3883086,0.3866639,0.5255352,0.4196261,0.4227345
Pct_Assoc_p2599AA15_SE,0.000423798,0.002154657,0.014544787,0.011167845,0.010200002
Pct_Assoc_p2599MA15,0.3761643,0.3620105,0.4869699,0.4145757,0.4147111
Pct_Assoc_p2599MA15_SE,0.000564582,0.003066762,0.020555326,0.015954481,0.015131965
Pct_Assoc_p2599FA15,0.3996403,0.408829,0.5592028,0.4239629,0.4296738
Pct_Assoc_p2599FA15_SE,0.000620644,0.003020041,0.02063985,0.015594001,0.013804619
Pop2599AW15,142711173,4607089,97635,154424,196502
Pop2599AW15_SE,10936.1702,2392.7052,195.7447,693.617,285.1064
Assoc_p2599AW15,61413842,1985888,67470,76754,99232
Assoc_p2599AW15_SE,69832.702,12169.239,2125.588,2070.998,2678.113
Pct_Assoc_p2599AW15,0.4303366,0.4310505,0.6910432,0.4970341,0.5049923
