GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Less than 9th grade,Margin of Error; Male: - Less than 9th grade,"Estimate; Male: - 9th to 12th grade, no diploma","Margin of Error; Male: - 9th to 12th grade, no diploma",Estimate; Male: - Regular high school diploma,Margin of Error; Male: - Regular high school diploma,Estimate; Male: - GED or alternative credential,Margin of Error; Male: - GED or alternative credential,"Estimate; Male: - Some college, no degree","Margin of Error; Male: - Some college, no degree",Estimate; Male: - Associate's degree,Margin of Error; Male: - Associate's degree,Estimate; Male: - Bachelor's degree,Margin of Error; Male: - Bachelor's degree,Estimate; Male: - Graduate or professional degree,Margin of Error; Male: - Graduate or professional degree,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Less than 9th grade,Margin of Error; Female: - Less than 9th grade,"Estimate; Female: - 9th to 12th grade, no diploma","Margin of Error; Female: - 9th to 12th grade, no diploma",Estimate; Female: - Regular high school diploma,Margin of Error; Female: - Regular high school diploma,Estimate; Female: - GED or alternative credential,Margin of Error; Female: - GED or alternative credential,"Estimate; Female: - Some college, no degree","Margin of Error; Female: - Some college, no degree",Estimate; Female: - Associate's degree,Margin of Error; Female: - Associate's degree,Estimate; Female: - Bachelor's degree,Margin of Error; Female: - Bachelor's degree,Estimate; Female: - Graduate or professional degree,Margin of Error; Female: - Graduate or professional degree
0100000US,,United States,143232044,17965,69503523,10459,1667169,21232,3942047,32612,16108435,59401,3221537,24558,14670618,46591,5552657,35808,15034884,56360,9306176,41620,73728521,10923,1563525,20131,3628867,32332,17392872,63493,2515951,20772,15638863,51620,7245164,42025,15879608,55506,9863671,40466
0400000US37,37,North Carolina,4675664,3425,2236018,2234,66833,3862,163403,6483,462214,9741,114854,5616,474229,8970,196953,6531,488602,9027,268930,7134,2439646,2091,57671,3477,134966,5664,496254,10117,100020,5291,530115,11848,282060,8092,543309,10112,295251,7097
0500000US37063,37063,"Durham County, North Carolina",100529,289,47151,149,365,289,2106,948,4506,1006,1294,501,7478,1517,2726,817,14118,1348,14558,1505,53378,142,495,364,1369,666,7315,1404,668,453,6747,1124,2858,964,16970,1739,16956,1842
0500000US37067,37067,"Forsyth County, North Carolina",156590,123,73125,60,2062,535,3313,953,13709,1461,3461,701,14669,1445,6779,1102,17340,1425,11792,1181,83465,63,1768,638,3485,1005,16610,1718,2272,703,16498,1665,9873,1522,21444,1838,11515,1266
0500000US37081,37081,"Guilford County, North Carolina",197176,459,93098,257,2168,705,5001,1056,16944,2053,3597,972,18255,2211,6255,1163,26545,2179,14333,1647,104078,211,2617,855,4640,1162,22104,1919,3405,831,20603,2004,9423,1467,26808,2059,14478,1457
