GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - No schooling completed,Margin of Error; Male: - No schooling completed,Estimate; Male: - Nursery to 4th grade,Margin of Error; Male: - Nursery to 4th grade,Estimate; Male: - 5th and 6th grade,Margin of Error; Male: - 5th and 6th grade,Estimate; Male: - 7th and 8th grade,Margin of Error; Male: - 7th and 8th grade,Estimate; Male: - 9th grade,Margin of Error; Male: - 9th grade,Estimate; Male: - 10th grade,Margin of Error; Male: - 10th grade,Estimate; Male: - 11th grade,Margin of Error; Male: - 11th grade,"Estimate; Male: - 12th grade, no diploma","Margin of Error; Male: - 12th grade, no diploma",Estimate; Male: - High school graduate (includes equivalency),Margin of Error; Male: - High school graduate (includes equivalency),"Estimate; Male: - Some college, less than 1 year","Margin of Error; Male: - Some college, less than 1 year","Estimate; Male: - Some college, 1 or more years, no degree","Margin of Error; Male: - Some college, 1 or more years, no degree",Estimate; Male: - Associate's degree,Margin of Error; Male: - Associate's degree,Estimate; Male: - Bachelor's degree,Margin of Error; Male: - Bachelor's degree,Estimate; Male: - Master's degree,Margin of Error; Male: - Master's degree,Estimate; Male: - Professional school degree,Margin of Error; Male: - Professional school degree,Estimate; Male: - Doctorate degree,Margin of Error; Male: - Doctorate degree,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - No schooling completed,Margin of Error; Female: - No schooling completed,Estimate; Female: - Nursery to 4th grade,Margin of Error; Female: - Nursery to 4th grade,Estimate; Female: - 5th and 6th grade,Margin of Error; Female: - 5th and 6th grade,Estimate; Female: - 7th and 8th grade,Margin of Error; Female: - 7th and 8th grade,Estimate; Female: - 9th grade,Margin of Error; Female: - 9th grade,Estimate; Female: - 10th grade,Margin of Error; Female: - 10th grade,Estimate; Female: - 11th grade,Margin of Error; Female: - 11th grade,"Estimate; Female: - 12th grade, no diploma","Margin of Error; Female: - 12th grade, no diploma",Estimate; Female: - High school graduate (includes equivalency),Margin of Error; Female: - High school graduate (includes equivalency),"Estimate; Female: - Some college, less than 1 year","Margin of Error; Female: - Some college, less than 1 year","Estimate; Female: - Some college, 1 or more years, no degree","Margin of Error; Female: - Some college, 1 or more years, no degree",Estimate; Female: - Associate's degree,Margin of Error; Female: - Associate's degree,Estimate; Female: - Bachelor's degree,Margin of Error; Female: - Bachelor's degree,Estimate; Female: - Master's degree,Margin of Error; Female: - Master's degree,Estimate; Female: - Professional school degree,Margin of Error; Female: - Professional school degree,Estimate; Female: - Doctorate degree,Margin of Error; Female: - Doctorate degree
0100000US,,United States,210910615,70550,101763080,42649,1461460,24553,848297,18519,1736082,24045,1987529,22131,1826921,28862,2067089,24085,2379262,27337,2026445,22925,28922786,75155,6084951,42607,15053277,57868,7285586,42946,18578786,67847,7433808,43789,2386572,24214,1684229,20199,109147535,36275,1537778,21194,857139,18528,1700950,24197,2005133,26112,1680708,23224,2023458,23381,2308294,25210,1821681,21972,29736687,73614,7028065,44323,16343868,71626,9720786,47581,20303187,77242,9262071,51531,1702592,19461,1115138,16603
0400000US37,37,North Carolina,6568110,7131,3110101,6030,48874,3432,25557,2845,46042,3576,73468,5245,81901,5489,89045,4891,82080,5125,51691,3361,854708,11997,189849,7429,466883,11981,231495,7217,560029,12675,199681,6533,57667,3437,51131,3515,3458009,5097,40819,3407,17328,2260,40689,4025,64861,4955,66151,4727,86052,4381,81680,4867,42365,2921,888887,14588,233159,6581,556307,11546,343230,8036,651455,10774,268589,6804,41005,3480,35432,2682
0500000US37063,37063,"Durham County, North Carolina",193326,435,90904,568,2154,1104,2030,1103,1581,771,1215,759,2579,1138,2085,675,1381,711,814,473,16265,1792,4102,1068,9735,1671,4819,1272,22191,2075,10255,1665,4152,938,5546,1154,102422,727,830,517,841,628,2290,819,808,404,1814,919,2800,1096,1151,538,541,347,17109,1958,5106,1215,14498,1872,6411,1359,27158,1948,13192,1804,3199,861,4674,1021
0500000US37067,37067,"Forsyth County, North Carolina",238654,943,110147,921,1117,600,578,355,1673,696,1769,659,2711,962,2598,837,2349,802,2320,710,30404,2346,4813,866,15907,1538,6847,1135,23604,2326,8556,1255,3089,643,1812,536,128507,459,1079,520,665,569,1814,589,2251,713,2532,745,2470,983,2801,832,1434,531,31233,2094,7092,1056,21835,2180,11275,1538,25667,2089,12114,1516,2554,679,1691,716
0500000US37081,37081,"Guilford County, North Carolina",333468,523,154690,294,2779,776,1187,558,769,407,2610,1014,1628,783,3628,1118,3310,877,1650,496,41579,3189,6243,1069,25921,2580,9475,1617,34346,2358,12741,1907,3221,777,3603,812,178778,458,2814,809,1383,857,1094,653,1563,595,1978,641,3439,1039,3285,938,2489,831,41678,2534,10996,1713,30835,2311,15702,1777,41208,2555,15373,1725,3006,720,1935,623
