"","V1","V2","V3","V4","V5"
"NAME","Durham County, North Carolina","Forsyth County, North Carolina","Guilford County, North Carolina","North Carolina","United States"
"Assoc_p2599AA16","  114899","  106832","  144961"," 2745971","86594118"
"Assoc_p2599AA16_SE"," 3153.774"," 2642.702"," 3469.169","14673.090","91412.068"
"Pct_Assoc_p2599AA16","0.5472814","0.4310488","0.4167857","0.3992871","0.3963562"
"Pct_Assoc_p2599AA16_SE","0.0150451031","0.0106795115","0.0099770141","0.0021501090","0.0004251963"
"Pct_Assoc_p2599MA16","0.5284764","0.4092670","0.4020517","0.3763878","0.3824819"
"Pct_Assoc_p2599MA16_SE","0.0212172487","0.0144113361","0.0135599199","0.0029599681","0.0005887233"
"Pct_Assoc_p2599FA16","0.5636590","0.4497831","0.4294750","0.4198812","0.4093045"
"Pct_Assoc_p2599FA16_SE","0.0214242946","0.0155311499","0.0144407901","0.0031016094","0.0006044836"
"Pop2599AW16","   100529","   156590","   197176","  4675664","143232044"
"Pop2599AW16_SE","  175.68389","   74.77204","  279.02736"," 2082.06687","10920.97264"
"Assoc_p2599AW16","   68186","   78743","   97842"," 2075105","62882160"
"Assoc_p2599AW16_SE"," 2114.243"," 2100.326"," 2530.485","12053.273","68440.779"
"Pct_Assoc_p2599AW16","0.6782719","0.5028610","0.4962166","0.4438097","0.4390230"
"Pct_Assoc_p2599AW16_SE","0.0210645556","0.0134150481","0.0128528329","0.0025854383","0.0004790025"
"Pop2599AB16","   74917","   60510","  108725"," 1407993","25944692"
"Pop2599AB16_SE","  536.1702","  634.6505","  987.8419"," 4469.9088","20205.4711"
"Assoc_p2599AB16","  33331","  18889","  33943"," 408569","7590518"
"Assoc_p2599AB16_SE"," 2092.574"," 1395.695"," 1972.128"," 6982.745","31686.773"
"Pct_Assoc_p2599AB16","0.4449057","0.3121633","0.3121913","0.2901783","0.2925654"
"Pct_Assoc_p2599AB16_SE","0.028112805","0.023296747","0.018359120","0.005044195","0.001242392"
"Pop2599AH16","   20835","   21736","   20061","  461251","32331742"
"Pop2599AH16_SE","    0.000","    0.000","    0.000"," 2775.076","14721.581"
"Assoc_p2599AH16","   3193","   3740","   3756","  95039","7003567"
"Assoc_p2599AH16_SE","  572.1760","  620.1022","  612.0168"," 3274.9767","28715.5985"
"Pct_Assoc_p2599AH16","0.1532517","0.1720648","0.1872290","0.2060462","0.2166158"
"Pct_Assoc_p2599AH16_SE","0.0274622509","0.0285288098","0.0305077901","0.0072076117","0.0008936148"
"Pop2534AA16","   56190","   47580","   71413"," 1321286","44390248"
"Pop2534AA16_SE","  522.8593","  355.2618","  202.4763"," 4930.4350","20831.5196"
"Pop3544AA16","   42602","   45237","   65043"," 1304270","40655592"
"Pop3544AA16_SE","  394.8701","  318.7944","  159.9385"," 5053.2908","17138.2703"
"Pop4564AA16","   74361","   99308","  135821"," 2683038","84214475"
"Pop4564AA16_SE","  606.8252","  417.9777","  459.3782"," 4178.9748","22660.7369"
"Pop6599AA16","   36792","   55717","   75530"," 1568591","49215165"
"Pop6599AA16_SE","  534.1040","  288.7282","  415.3262"," 2218.9394","11518.9523"
"Assoc_p2534AA16","   35807","   20219","   29151","  566193","19467652"
"Assoc_p2534AA16_SE"," 1638.636"," 1384.755"," 1743.448"," 7413.138","42280.650"
"Assoc_p3544AA16","   23708","   21223","   31051","  596812","18009728"
"Assoc_p3544AA16_SE"," 1547.036"," 1229.439"," 1577.041"," 7452.123","39899.872"
"Assoc_p4564AA16","   38342","   45347","   59145"," 1089354","33051291"
"Assoc_p4564AA16_SE"," 1884.497"," 1676.937"," 2150.182"," 9383.554","53458.050"
"Assoc_p6599AA16","   17042","   20043","   25614","  493612","16065447"
"Assoc_p6599AA16_SE"," 1077.540"," 1053.156"," 1279.568"," 5671.802","29792.068"
"Pct_Assoc_p2534AA16","0.6372486","0.4249475","0.4082030","0.4285166","0.4385570"
"Pct_Assoc_p2534AA16_SE","0.0297591661","0.0292761599","0.0244410137","0.0058339636","0.0009744573"
"Pct_Assoc_p3544AA16","0.5564997","0.4691514","0.4773919","0.4575832","0.4429828"
"Pct_Assoc_p3544AA16_SE","0.0366781945","0.0273781021","0.0242745320","0.0059823654","0.0009990196"
"Pct_Assoc_p4564AA16","0.5156197","0.4566299","0.4354629","0.4060151","0.3924657"
"Pct_Assoc_p4564AA16_SE","0.0256894842","0.0169952424","0.0158993642","0.0035540760","0.0006435092"
"Pct_Assoc_p6599AA16","0.4631985","0.3597286","0.3391235","0.3146850","0.3264329"
"Pct_Assoc_p6599AA16_SE","0.0300493504","0.0189935785","0.0170435074","0.0036431568","0.0006101457"
"Pop2599AA15","   204502","   244644","   345581","  6762644","216447163"
"Pop2599AA15_SE","  252.8875","  460.7903","  459.5745"," 5079.0274","42124.0122"
"Pop2599MA15","    95318","   113024","   160273","  3201620","104477394"
"Pop2599MA15_SE","  350.1520","  352.5836","  463.8298"," 3634.0426","25359.8784"
"Pop2599FA15","   109184","   131620","   185308","  3561024","111969769"
"Pop2599FA15_SE","  432.82675","  296.04863","   85.71429"," 3344.68085","21063.82979"
"Assoc_p2599MA15","   46417","   46857","   66467"," 1159020","39300671"
"Assoc_p2599MA15_SE"," 1951.859"," 1797.305"," 2417.605"," 9730.074","58209.551"
"Assoc_p2599FA15","   61056","   55802","   79622"," 1455850","44747632"
"Assoc_p2599FA15_SE"," 2240.506"," 2048.641"," 2557.841","10667.152","68981.644"
"Assoc_p2599AA15","  107473","  102659","  146089"," 2614870","84048303"
"Assoc_p2599AA15_SE"," 2971.467"," 2725.296"," 3519.569","14438.230","90259.731"
"Pct_Assoc_p2599AA15","0.5255352","0.4196261","0.4227345","0.3866639","0.3883086"
"Pct_Assoc_p2599AA15_SE","0.0145447869","0.0111678454","0.0102000021","0.0021546572","0.0004237981"
"Pct_Assoc_p2599MA15","0.4869699","0.4145757","0.4147111","0.3620105","0.3761643"
"Pct_Assoc_p2599MA15_SE","0.0205553255","0.0159544808","0.0151319650","0.0030667620","0.0005645819"
"Pct_Assoc_p2599FA15","0.5592028","0.4239629","0.4296738","0.4088290","0.3996403"
"Pct_Assoc_p2599FA15_SE","0.0206398500","0.0155940013","0.0138046185","0.0030200408","0.0006206441"
"Pop2599AW15","    97635","   154424","   196502","  4607089","142711173"
"Pop2599AW15_SE","  195.7447","  693.6170","  285.1064"," 2392.7052","10936.1702"
"Assoc_p2599AW15","   67470","   76754","   99232"," 1985888","61413842"
"Assoc_p2599AW15_SE"," 2125.588"," 2070.998"," 2678.113","12169.239","69832.702"
"Pct_Assoc_p2599AW15","0.6910432","0.4970341","0.5049923","0.4310505","0.4303366"
"Pct_Assoc_p2599AW15_SE","0.0218148023","0.0135956659","0.0136486135","0.0026508857","0.0004904389"
"Pop2599AB15","   72355","   59577","  106237"," 1386316","25578326"
"Pop2599AB15_SE","  556.2310","  457.7508","  583.5866"," 3715.5015","16687.5380"
"Assoc_p2599AB15","  27081","  17995","  33147"," 391999","7276786"
"Assoc_p2599AB15_SE"," 1751.864"," 1390.247"," 1897.024"," 6797.869","30060.884"
"Pct_Assoc_p2599AB15","0.3742796","0.3020461","0.3120099","0.2827631","0.2844903"
"Pct_Assoc_p2599AB15_SE","0.024382435","0.023450417","0.017938594","0.004961766","0.001189814"
"Pop2599AH15","   20930","   21462","   21355","  450020","31653207"
"Pop2599AH15_SE","    0.0000","    0.0000","  395.7447"," 2696.6565","16204.8632"
"Assoc_p2599AH15","   3370","   3736","   4328","  84631","6576392"
"Assoc_p2599AH15_SE","  710.5840","  641.9934","  647.8107"," 3045.5955","27594.2692"
"Pct_Assoc_p2599AH15","0.1610129","0.1740751","0.2026692","0.1880605","0.2077638"
"Pct_Assoc_p2599AH15_SE","0.0339504995","0.0299130256","0.0305669364","0.0068608714","0.0008782333"
"Pop2534AA15","   54379","   47188","   72001"," 1298130","43897832"
"Pop2534AA15_SE","  402.7978","  397.0033","  469.2903"," 4989.4847","18740.6068"
"Pop3544AA15","   45132","   45636","   66628"," 1312886","40804130"
"Pop3544AA15_SE","  634.8286","  240.1031","  407.2880"," 4983.3242","16811.0341"
"Pop4564AA15","   70801","   96786","  133395"," 2636083","84012721"
"Pop4564AA15_SE","  806.0864","  461.8945","  540.5855"," 4550.6668","21483.2032"
"Pop6599AA15","   34190","   55034","   73557"," 1515545","47732480"
"Pop6599AA15_SE","  430.1005","  419.8324","  457.1372"," 2236.3000","11173.1878"
"Assoc_p2534AA15","   30898","   22518","   29237","  537216","18825014"
"Assoc_p2534AA15_SE"," 1596.415"," 1425.652"," 1835.731"," 7159.093","43161.038"
"Assoc_p3544AA15","   24573","   20280","   29559","  570355","17677211"
"Assoc_p3544AA15_SE"," 1463.109"," 1218.877"," 1537.483"," 6758.840","40213.622"
"Assoc_p4564AA15","   37084","   41124","   60419"," 1040607","32544164"
"Assoc_p4564AA15_SE"," 1631.794"," 1600.010"," 2004.797"," 8892.714","51117.043"
"Assoc_p6599AA15","   14918","   18737","   26874","  466692","15001914"
"Assoc_p6599AA15_SE","  991.7936"," 1013.3793"," 1332.5057"," 5457.3033","32171.4833"
"Pct_Assoc_p2534AA15","0.5681973","0.4771976","0.4060638","0.4138384","0.4288370"
"Pct_Assoc_p2534AA15_SE","0.029657363","0.030477754","0.025632908","0.005739732","0.001000115"
"Pct_Assoc_p3544AA15","0.5444696","0.4443860","0.4436423","0.4344284","0.4332211"
"Pct_Assoc_p3544AA15_SE","0.033310775","0.026810807","0.023234442","0.005405718","0.001001560"
"Pct_Assoc_p4564AA15","0.5237779","0.4248962","0.4529330","0.3947550","0.3873719"
"Pct_Assoc_p4564AA15_SE","0.0238065958","0.0166553140","0.0151406995","0.0034416001","0.0006164547"
"Pct_Assoc_p6599AA15","0.4363264","0.3404623","0.3653493","0.3079367","0.3142915"
"Pct_Assoc_p6599AA15_SE","0.0295230224","0.0185959647","0.0182570207","0.0036294404","0.0006779989"
"Pop2599AA14","   198727","   241997","   338558","  6661937","213725624"
"Pop2599AA14_SE","  521.5805","  275.9878","  431.6109"," 5153.7994","39422.4924"
"Pop2599MA14","    92719","   111418","   156392","  3156700","103101814"
