GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Under 18 years,Margin of Error; Total: - Under 18 years,Estimate; Total: - 18 to 24 years,Margin of Error; Total: - 18 to 24 years,Estimate; Total: - 25 to 34 years,Margin of Error; Total: - 25 to 34 years,Estimate; Total: - 35 to 44 years,Margin of Error; Total: - 35 to 44 years,Estimate; Total: - 45 to 54 years,Margin of Error; Total: - 45 to 54 years,Estimate; Total: - 55 to 64 years,Margin of Error; Total: - 55 to 64 years,Estimate; Total: - 65 years and over,Margin of Error; Total: - 65 years and over
0500000US37067,37067,"Forsyth County, North Carolina",371511,*****,87343,434,36326,385,47580,681,45237,602,50660,419,48648,770,55717,504
