age,region,unweight_count,weight_count,mean,se_mean,median,median_lower_ci,median_upper_ci,se_median,year
18 - 24 AGE,4 WEST,893,"7,169,263",323.15,48.07,22.34,9.99,50.3,10.22,2008
25 - 44 AGE,TOTAL,"8,278","82,351,618",480.15,19.03,119.15,107,129.83,5.79,2008
25 - 44 AGE,1 NORTHEAST,"1,263","15,007,832",369.52,30.12,98.74,77.23,131.02,13.64,2008
25 - 44 AGE,2 MIDWEST,"1,578","17,507,079",502.79,36.2,135.85,119.92,170.49,12.82,2008
25 - 44 AGE,3 SOUTH,"3,085","30,055,125",497.51,36.24,119.16,100.42,141.44,10.4,2008
25 - 44 AGE,4 WEST,"2,352","19,781,582",517.65,38.62,102.73,77.92,135.5,14.6,2008
45 - 64 AGE,TOTAL,"7,374","79,356,054",875.32,23.57,394.93,366.46,421.19,13.88,2008
45 - 64 AGE,1 NORTHEAST,"1,170","14,807,965",706.34,45.78,342.94,308.65,379.95,18.08,2008
45 - 64 AGE,2 MIDWEST,"1,437","17,891,177",911.14,52.07,452.99,391.82,506.33,29.04,2008
45 - 64 AGE,3 SOUTH,"2,871","28,657,492",965.16,41.73,423.8,375.48,465.55,22.84,2008
45 - 64 AGE,4 WEST,"1,896","17,999,420",835.71,48.43,354.27,297.95,405.99,27.4,2008
65 - 90 AGE,TOTAL,"3,403","39,742,176",1353.13,48.76,679.12,633.63,723.66,22.83,2008
65 - 90 AGE,1 NORTHEAST,555,"7,755,761",1551.48,143.54,678.34,557.13,766.62,53.13,2008
65 - 90 AGE,2 MIDWEST,728,"8,815,802",1221.52,77.61,745.13,634.58,838.41,51.69,2008
65 - 90 AGE,3 SOUTH,"1,327","14,895,187",1324.6,75.62,650.68,567.5,729.03,40.97,2008
65 - 90 AGE,4 WEST,793,"8,275,426",1358.8,84.3,643.99,582.31,757.66,44.47,2008
TOTAL,TOTAL,"29,370","301,309,149",606.46,12.54,163.69,153.61,174.88,5.41,2007
TOTAL,1 NORTHEAST,"4,384","54,616,130",592.67,26.68,174.31,150.28,203.94,13.65,2007
TOTAL,2 MIDWEST,"5,956","66,112,541",667.01,36.89,208.75,184.38,235.32,12.96,2007
TOTAL,3 SOUTH,"11,127","110,459,966",601.3,18.52,169.21,149.92,186.55,9.32,2007
TOTAL,4 WEST,"7,903","70,120,513",568.26,22.67,111.14,96.14,127.85,8.07,2007
0 - 4 AGE,TOTAL,"2,201","20,181,181",172.12,16.61,19.83,14.82,31.48,4.24,2007
0 - 4 AGE,1 NORTHEAST,281,"3,126,132",131.45,35.42,19.2,9.27,39.5,7.69,2007
0 - 4 AGE,2 MIDWEST,449,"4,400,149",198.69,35.48,29.51,15.91,50.37,8.77,2007
0 - 4 AGE,3 SOUTH,841,"7,913,040",186.23,28.53,19.11,5.26,32.87,7.02,2007
0 - 4 AGE,4 WEST,630,"4,741,860",150.72,34.98,19.91,10.83,34.81,6.1,2007
5 - 17 AGE,TOTAL,"6,296","53,727,487",281.88,16.22,35.33,29.53,43.86,3.64,2007
5 - 17 AGE,1 NORTHEAST,881,"8,939,276",258.39,31.43,39.47,25.2,59.99,8.85,2007
5 - 17 AGE,2 MIDWEST,"1,212","12,060,062",306.58,28.65,59.67,46.49,80.96,8.77,2007
5 - 17 AGE,3 SOUTH,"2,398","19,518,379",306.34,34.11,29.48,19.77,45.37,6.51,2007
5 - 17 AGE,4 WEST,"1,805","13,209,770",239.09,25.42,19.92,16.09,32.99,4.3,2007
18 - 24 AGE,TOTAL,"2,679","28,168,857",278.59,16.69,46.4,36.98,60.08,5.88,2007
18 - 24 AGE,1 NORTHEAST,392,"5,194,245",258.95,33.38,46.03,28.45,74.59,11.74,2007
18 - 24 AGE,2 MIDWEST,484,"5,728,537",292.16,26.49,62.76,39.86,97.25,14.6,2007
18 - 24 AGE,3 SOUTH,"1,028","10,426,284",272.69,25.16,49.52,28.77,69.4,10.33,2007
18 - 24 AGE,4 WEST,775,"6,819,792",291.15,45.4,34.22,19.99,48.88,7.35,2007
25 - 44 AGE,TOTAL,"7,537","82,873,545",452.6,15.39,124.43,112.8,138.52,6.54,2007
25 - 44 AGE,1 NORTHEAST,"1,086","15,039,505",420.55,39.48,113.46,89.74,152.6,15.99,2007
25 - 44 AGE,2 MIDWEST,"1,507","17,840,079",475.27,25.34,174.65,155.66,202.94,12.03,2007
25 - 44 AGE,3 SOUTH,"2,826","30,137,187",435.19,24.35,126.68,105.63,148.16,10.82,2007
25 - 44 AGE,4 WEST,"2,118","19,856,775",482.93,37.06,79.34,62.74,108.97,11.76,2007
45 - 64 AGE,TOTAL,"7,106","77,664,542",895.36,24.29,417.37,397.06,449.88,13.44,2007
45 - 64 AGE,1 NORTHEAST,"1,136","14,533,697",807.85,42.35,404.49,362.73,460.3,24.82,2007
45 - 64 AGE,2 MIDWEST,"1,523","17,564,126",997.04,64.35,477.36,423.81,543.95,30.56,2007
45 - 64 AGE,3 SOUTH,"2,662","28,086,892",882.51,33.79,435.35,396.19,482.16,21.87,2007
45 - 64 AGE,4 WEST,"1,785","17,479,828",886.58,58.19,369.44,308.2,414.55,27.05,2007
65 - 90 AGE,TOTAL,"3,551","38,693,536",1272.08,58.24,678.94,632.24,714.15,20.84,2007
65 - 90 AGE,1 NORTHEAST,608,"7,783,275",1315.37,96.78,692.72,579.88,830.73,63.81,2007
65 - 90 AGE,2 MIDWEST,781,"8,519,588",1392.26,207.67,714.12,628.55,823.64,49.63,2007
65 - 90 AGE,3 SOUTH,"1,372","14,378,184",1267.26,67.18,679.39,623.01,731.6,27.62,2007
65 - 90 AGE,4 WEST,790,"8,012,489",1110.9,64.67,592.84,466.58,724.74,65.67,2007
TOTAL,TOTAL,"32,577","299,267,035",654.29,17.78,178.24,168.76,190.9,5.62,2006
TOTAL,1 NORTHEAST,"4,673","54,752,236",738.75,66.24,183.94,161.32,213.1,13.14,2006
TOTAL,2 MIDWEST,"6,370","65,959,924",647.13,22.87,227.41,209.36,251.63,10.73,2006
TOTAL,3 SOUTH,"12,341","109,031,525",651.46,23.98,178.7,163.01,197.25,8.69,2006
TOTAL,4 WEST,"9,193","69,523,351",599.01,36.18,127.32,104.16,153.91,12.63,2006
0 - 4 AGE,TOTAL,"2,559","20,202,125",139.34,13.82,24.57,20.41,31.67,2.86,2006
0 - 4 AGE,1 NORTHEAST,299,"3,301,486",170.37,52.92,39.22,24.96,63.23,9.72,2006
0 - 4 AGE,2 MIDWEST,486,"4,325,963",119.42,12.8,28.34,18.27,47.84,7.51,2006
0 - 4 AGE,3 SOUTH,985,"7,619,870",151.61,24.87,21.49,14.64,35.06,5.18,2006
0 - 4 AGE,4 WEST,789,"4,954,807",117.2,16.11,14.46,8.91,26.44,4.45,2006
5 - 17 AGE,TOTAL,"7,074","53,903,758",322.61,17.16,40.84,34.84,50.23,3.91,2006
5 - 17 AGE,1 NORTHEAST,915,"9,340,396",351.61,37.81,55.96,39.61,79.06,10.01,2006
5 - 17 AGE,2 MIDWEST,"1,276","11,959,404",344.54,34.42,53.53,40.61,67.8,6.9,2006
5 - 17 AGE,3 SOUTH,"2,699","19,542,586",292.13,26.47,39.23,28.26,49.77,5.46,2006
5 - 17 AGE,4 WEST,"2,184","13,061,372",327.41,42.09,24.39,17.42,38.7,5.4,2006
18 - 24 AGE,TOTAL,"2,976","29,142,542",344.25,27.11,60.76,50.3,79.56,7.43,2006
18 - 24 AGE,1 NORTHEAST,423,"5,612,891",323.62,57.25,64.74,33.66,105.96,18.35,2006
18 - 24 AGE,2 MIDWEST,537,"6,130,821",436.17,46.24,103.95,59.84,142.61,21.01,2006
18 - 24 AGE,3 SOUTH,"1,104","10,647,459",322.7,32.43,60.59,44.11,89.86,11.61,2006
18 - 24 AGE,4 WEST,912,"6,751,371",311.91,80.11,27.64,13.29,59.14,11.64,2006
25 - 44 AGE,TOTAL,"8,323","81,935,306",477.14,19.75,136.82,125.41,152.04,6.76,2006
25 - 44 AGE,1 NORTHEAST,"1,085","14,229,473",502.23,37.93,141.75,119.78,168.5,12.37,2006
25 - 44 AGE,2 MIDWEST,"1,668","17,968,631",533.53,68.75,180.92,145.41,219.33,18.77,2006
25 - 44 AGE,3 SOUTH,"3,127","29,848,815",455.66,23.7,134,115.14,156.27,10.44,2006
25 - 44 AGE,4 WEST,"2,443","19,888,388",440.49,25.73,109.09,80.09,133.04,13.44,2006
45 - 64 AGE,TOTAL,"7,728","76,103,026",996.55,55.33,430.73,405.58,459.79,13.76,2006
45 - 64 AGE,1 NORTHEAST,"1,286","14,537,330",1148.57,236.32,376.77,328.18,418.48,22.92,2006
45 - 64 AGE,2 MIDWEST,"1,583","17,205,978",891.63,37.81,488.72,439.9,542.18,25.97,2006
45 - 64 AGE,3 SOUTH,"2,869","27,222,326",1018.77,48.38,475.61,426.98,517.66,23.02,2006
45 - 64 AGE,4 WEST,"1,990","17,137,392",937.65,110.94,360.11,299.71,421.03,30.8,2006
65 - 90 AGE,TOTAL,"3,917","37,980,277",1333.19,47.73,811.64,762.55,852.93,22.94,2006
65 - 90 AGE,1 NORTHEAST,665,"7,730,660",1415.36,143.22,792.97,687.9,916.17,57.95,2006
65 - 90 AGE,2 MIDWEST,820,"8,369,128",1248.06,68.69,842.44,739.06,913.23,44.22,2006
65 - 90 AGE,3 SOUTH,"1,557","14,150,469",1370.66,79.5,837.3,769.72,896.26,32.12,2006
65 - 90 AGE,4 WEST,875,"7,730,020",1274.58,86.48,745.05,632.2,831.93,50.7,2006
