year,bracket,single_max,married_max,hoh_max,single_min,married_min,hoh_min,single_fulltax,married_fulltax,hoh_fulltax,single_fulltax_cum,marries_fulltax_cum,hoh_fulltax_cum,bucket
2009,0.1,8350,16700,11950,0,0,0,835,1670,1195,0,0,0,1
2009,0.15,33950,67900,45500,8350,16700,11950,3840,7680,5032.5,835,1670,1195,2
2009,0.25,82250,137050,117450,33950,67900,45500,12075,17287.5,17987.5,4675,9350,6227.5,3
2009,0.28,171550,208850,190200,82250,137050,117450,25004,20104,20370,16750,26637.5,24215,4
2009,0.33,372950,372950,372950,171550,208850,190200,66462,54153,60307.5,41754,46741.5,44585,5
2009,0.35,9999999,9999999,9999999,372950,372950,372950,3.50E+12,3.50E+12,3.50E+12,108216,100894.5,104892.5,6
2008,0.1,8025,16050,11450,0,0,0,802.5,1605,1145,0,0,0,1
2008,0.15,32550,65100,43650,8025,16050,11450,3678.75,7357.5,4830,802.5,1605,1145,2
2008,0.25,78850,131450,112650,32550,65100,43650,11575,16587.5,17250,4481.25,8962.5,5975,3
2008,0.28,164550,200300,182400,78850,131450,112650,23996,19278,19530,16056.25,25550,23225,4
2008,0.33,357700,357700,357700,164550,200300,182400,63739.5,51942,57849,40052.25,44828,42755,5
2008,0.35,9999999,9999999,9999999,357700,357700,357700,3.50E+12,3.50E+12,3.50E+12,103791.75,96770,100604,6
2007,0.1,7825,15650,11200,0,0,0,782.5,1565,1120,0,0,0,1
2007,0.15,31850,63700,42650,7825,15650,11200,3603.75,7207.5,4717.5,782.5,1565,1120,2
2007,0.25,77100,128500,110100,31850,63700,42650,11312.5,16200,16862.5,4386.25,8772.5,5837.5,3
2007,0.28,160850,195850,178350,77100,128500,110100,23450,18858,19110,15698.75,24972.5,22700,4
2007,0.33,349700,349700,349700,160850,195850,178350,62320.5,50770.5,56545.5,39148.75,43830.5,41810,5
2007,0.35,9999999,9999999,9999999,349700,349700,349700,3.50E+12,3.50E+12,3.50E+12,101469.25,94601,98355.5,6
2007,0.1,7550,15100,10750,0,0,0,755,1510,1075,0,0,0,1
2007,0.15,30650,61300,41050,7550,15100,10750,3465,6930,4545,755,1510,1075,2
2007,0.25,74200,123700,106000,30650,61300,41050,10887.5,15600,16237.5,4220,8440,5620,3
2007,0.28,154800,188450,171650,74200,123700,10600,22568,18130,45094,15107.5,24040,21857.5,4
2007,0.33,336550,336550,336550,154800,188450,171650,59977.5,48873,54417,37675.5,42170,66951.5,5
2007,0.35,9999999,9999999,9999999,336550,336550,336550,3382207.15,3382207.15,3382207.15,97653,91043,121368.5,6
