GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 5 years,Margin of Error; Male: - Under 5 years,Estimate; Male: - 5 to 9 years,Margin of Error; Male: - 5 to 9 years,Estimate; Male: - 10 to 14 years,Margin of Error; Male: - 10 to 14 years,Estimate; Male: - 15 to 17 years,Margin of Error; Male: - 15 to 17 years,Estimate; Male: - 18 and 19 years,Margin of Error; Male: - 18 and 19 years,Estimate; Male: - 20 years,Margin of Error; Male: - 20 years,Estimate; Male: - 21 years,Margin of Error; Male: - 21 years,Estimate; Male: - 22 to 24 years,Margin of Error; Male: - 22 to 24 years,Estimate; Male: - 25 to 29 years,Margin of Error; Male: - 25 to 29 years,Estimate; Male: - 30 to 34 years,Margin of Error; Male: - 30 to 34 years,Estimate; Male: - 35 to 39 years,Margin of Error; Male: - 35 to 39 years,Estimate; Male: - 40 to 44 years,Margin of Error; Male: - 40 to 44 years,Estimate; Male: - 45 to 49 years,Margin of Error; Male: - 45 to 49 years,Estimate; Male: - 50 to 54 years,Margin of Error; Male: - 50 to 54 years,Estimate; Male: - 55 to 59 years,Margin of Error; Male: - 55 to 59 years,Estimate; Male: - 60 and 61 years,Margin of Error; Male: - 60 and 61 years,Estimate; Male: - 62 to 64 years,Margin of Error; Male: - 62 to 64 years,Estimate; Male: - 65 and 66 years,Margin of Error; Male: - 65 and 66 years,Estimate; Male: - 67 to 69 years,Margin of Error; Male: - 67 to 69 years,Estimate; Male: - 70 to 74 years,Margin of Error; Male: - 70 to 74 years,Estimate; Male: - 75 to 79 years,Margin of Error; Male: - 75 to 79 years,Estimate; Male: - 80 to 84 years,Margin of Error; Male: - 80 to 84 years,Estimate; Male: - 85 years and over,Margin of Error; Male: - 85 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 5 years,Margin of Error; Female: - Under 5 years,Estimate; Female: - 5 to 9 years,Margin of Error; Female: - 5 to 9 years,Estimate; Female: - 10 to 14 years,Margin of Error; Female: - 10 to 14 years,Estimate; Female: - 15 to 17 years,Margin of Error; Female: - 15 to 17 years,Estimate; Female: - 18 and 19 years,Margin of Error; Female: - 18 and 19 years,Estimate; Female: - 20 years,Margin of Error; Female: - 20 years,Estimate; Female: - 21 years,Margin of Error; Female: - 21 years,Estimate; Female: - 22 to 24 years,Margin of Error; Female: - 22 to 24 years,Estimate; Female: - 25 to 29 years,Margin of Error; Female: - 25 to 29 years,Estimate; Female: - 30 to 34 years,Margin of Error; Female: - 30 to 34 years,Estimate; Female: - 35 to 39 years,Margin of Error; Female: - 35 to 39 years,Estimate; Female: - 40 to 44 years,Margin of Error; Female: - 40 to 44 years,Estimate; Female: - 45 to 49 years,Margin of Error; Female: - 45 to 49 years,Estimate; Female: - 50 to 54 years,Margin of Error; Female: - 50 to 54 years,Estimate; Female: - 55 to 59 years,Margin of Error; Female: - 55 to 59 years,Estimate; Female: - 60 and 61 years,Margin of Error; Female: - 60 and 61 years,Estimate; Female: - 62 to 64 years,Margin of Error; Female: - 62 to 64 years,Estimate; Female: - 65 and 66 years,Margin of Error; Female: - 65 and 66 years,Estimate; Female: - 67 to 69 years,Margin of Error; Female: - 67 to 69 years,Estimate; Female: - 70 to 74 years,Margin of Error; Female: - 70 to 74 years,Estimate; Female: - 75 to 79 years,Margin of Error; Female: - 75 to 79 years,Estimate; Female: - 80 to 84 years,Margin of Error; Female: - 80 to 84 years,Estimate; Female: - 85 years and over,Margin of Error; Female: - 85 years and over
0100000US,,United States,323127515,*****,159061631,26978,10130841,16406,10487494,39583,10579748,40352,6480400,14693,4511323,21516,2355103,25093,2318893,32204,6731345,36177,11496946,18544,10901776,18541,10377670,37412,9837971,36901,10375001,15006,10726369,16428,10557089,34982,3971452,31470,5461772,27670,3301033,20727,4609409,25477,5498831,28260,3717778,21953,2460143,17440,2173244,16718,164065884,26978,9667713,18409,9995616,39495,10126049,37510,6169882,11402,4330296,22515,2240006,26412,2162305,24114,6365021,35524,11191021,16898,10800505,16178,10472556,36939,9967395,39630,10562933,15472,11091287,14543,11157614,36157,4311444,28305,5999514,33605,3647935,25134,5198759,29179,6425841,27427,4649877,30396,3428939,24123,4103376,28830
0400000US37,37,North Carolina,10146788,*****,4933381,6593,304611,3885,333322,6823,333660,7283,205413,3364,149350,5268,74457,5205,73032,4661,203182,5884,335241,3940,310298,4851,311660,7474,321883,6631,342489,4450,337008,2940,324076,6350,120678,5073,168033,6080,105563,4481,152421,5388,179039,5680,117445,3436,73393,3182,57127,3134,5213407,6593,289982,4017,311186,7623,323611,7470,195109,2988,138673,4828,65038,4071,64304,4297,204673,5087,346280,4494,329467,3955,335713,8278,335014,8277,351688,3583,354611,3104,350076,6276,133474,5393,200905,6358,118897,4704,170957,4918,217989,5391,153912,4180,112395,4788,109453,4918
0500000US37063,37063,"Durham County, North Carolina",306212,*****,146455,940,10385,244,9697,1199,8501,1214,5284,513,3009,823,1727,593,1650,770,8472,1073,13652,429,13050,522,10396,1322,10700,1257,10325,493,8161,379,8264,1047,3288,863,4269,938,2476,605,4149,882,3613,718,2167,591,1739,570,1481,551,159757,940,10142,245,8910,1174,8732,1201,4500,522,3301,808,2040,748,2557,874,7360,1257,15382,367,14106,173,11183,1700,10323,1706,10131,542,10306,640,10590,1309,3425,913,5602,1056,3740,736,4000,795,4572,754,2780,668,2892,721,3183,647
0500000US37067,37067,"Forsyth County, North Carolina",371511,*****,176789,603,11669,268,13633,1395,11779,1410,7714,189,5428,460,2088,667,3322,1024,6556,1023,11658,259,11162,320,11663,1379,9577,1346,11962,183,12402,359,12658,1210,4971,1084,5033,1007,3294,725,5850,873,5371,849,3895,694,3017,682,2087,523,194722,603,10994,210,11685,1495,12457,1517,7412,169,5839,384,3423,1062,1815,789,7855,1075,12827,252,11933,331,13074,1287,10923,1351,12815,152,13481,153,12878,1240,5524,1033,7584,1047,4086,848,5843,920,7985,1053,6255,724,4312,799,3722,707
0500000US37081,37081,"Guilford County, North Carolina",521330,*****,246962,750,15715,2,16912,1713,16925,1731,10294,575,7991,431,4098,974,3641,882,10449,1221,18140,2,15267,7,14689,1310,16097,1324,17279,137,16926,215,16922,1263,5439,957,7978,957,3887,812,8424,1197,7585,1178,6476,972,3518,751,2310,636,274368,750,15119,3,16303,1647,16606,1596,10288,533,9437,530,4728,1262,3808,1050,11209,1417,20357,99,17649,364,18896,1509,15361,1497,18672,146,18519,124,17239,1134,7009,1078,9838,1259,5967,1096,8684,1185,9646,921,7458,897,4984,974,6591,896
