year,geography,Palma,se
6,Forsyth,2.450647436,0.135969249
7,Forsyth,2.683720726,0.145202182
8,Forsyth,2.361157688,0.15888151
9,Forsyth,2.291653461,0.134447896
10,Forsyth,2.480278071,0.174100169
11,Forsyth,2.793615649,0.145833928
12,Forsyth,2.928267283,0.174555753
13,Forsyth,2.899384029,0.172924394
14,Forsyth,2.576072383,0.152778277
15,Forsyth,2.777360441,0.203146219
16,Forsyth,3.157660517,0.181679977
