year,geography,Palma,se
6,US,2.449216951,0.005437748
7,US,2.501907665,0.005749438
8,US,2.529196122,0.006766212
9,US,2.531205671,0.006038954
10,US,2.534894604,0.005892514
11,US,2.621564737,0.006466113
12,US,2.636675445,0.006172486
13,US,2.730277091,0.007550479
14,US,2.699069347,0.007320829
15,US,2.728298867,0.006433552
16,US,2.70960225,0.006214827
