year,geography,Palma,se
6,urban,2.342622415,0.041500778
7,urban,2.390062426,0.042194396
8,urban,2.357193479,0.040073034
9,urban,2.481281143,0.044426616
10,urban,2.447956026,0.045914792
11,urban,2.578152492,0.049780716
12,urban,2.502702939,0.045954942
13,urban,2.693205086,0.057879612
14,urban,2.639170347,0.054120341
15,urban,2.612649873,0.054792466
16,urban,2.627427434,0.052138466
