year,geo_description,subtype,total,estimate,type,grads,non_grads,level,se,moe,cv
2016-2017,North Carolina,F,56844,0.9,state,50989,5855,2016-2017 NC F,0,0,0.14
2016-2017,North Carolina,H,15279,0.8,state,12300,2979,2016-2017 NC H,0,0.01,0.4
2016-2017,North Carolina,M,58885,0.84,state,49169,9716,2016-2017 NC M,0,0,0.18
2016-2017,North Carolina,NON_EDS,69265,0.9,state,62098,7167,2016-2017 NC NON_EDS,0,0,0.13
2016-2017,North Carolina,W,60630,0.89,state,54143,6487,2016-2017 NC W,0,0,0.14
2017-2018,North Carolina,ALL,120079,0.86,state,103628,16451,2017-2018 NC ALL,0,0,0.11
2017-2018,North Carolina,B,31747,0.83,state,26414,5333,2017-2018 NC B,0,0,0.25
2017-2018,North Carolina,EDS,43880,0.8,state,35236,8644,2017-2018 NC EDS,0,0,0.24
2017-2018,North Carolina,F,58705,0.9,state,52600,6105,2017-2018 NC F,0,0,0.14
2017-2018,North Carolina,H,17504,0.8,state,13986,3518,2017-2018 NC H,0,0.01,0.38
2017-2018,North Carolina,M,61374,0.83,state,51063,10311,2017-2018 NC M,0,0,0.18
2017-2018,North Carolina,NON_EDS,76199,0.9,state,68392,7807,2017-2018 NC NON_EDS,0,0,0.12
2017-2018,North Carolina,W,61271,0.9,state,54899,6372,2017-2018 NC W,0,0,0.14
