taxsim_id year state fiitax siitax fica frate srate ficar
87. 2011 34 1210.00 915.50 2713.20 15.00 7.00 13.30
234. 2011 34 8750.00 3722.50 7980.00 25.00 7.00 13.30
798. 2011 34 8750.00 3722.50 7980.00 25.00 7.00 13.30
1332. 2011 34 750.00 690.00 2261.00 10.00 6.00 13.30
1401. 2011 34 1750.00 1167.50 3192.00 15.00 7.00 13.30
1559. 2011 34 -356.13 192.19 1197.00 7.65 6.38 13.30
1559. 2011 34 -464.00 78.80 957.60 .00 6.00 13.30
1559. 2011 34 123.37 383.67 1596.00 17.65 6.38 13.30
1978. 2011 34 1750.00 1167.50 3192.00 15.00 7.00 13.30
2024. 2011 34 -432.63 128.37 1064.00 7.65 6.38 13.30
2248. 2011 34 -153.00 -7.65 266.00 -7.65 -.38 13.30
2299. 2011 34 1900.00 1237.50 3325.00 15.00 7.00 13.30
2574. 2011 34 6750.00 3127.50 6916.00 25.00 7.00 13.30
2866. 2011 34 -153.00 -7.65 266.00 -7.65 -.38 13.30
3023. 2011 34 3400.00 1937.50 4655.00 15.00 7.00 13.30
3049. 2011 34 123.37 383.67 1596.00 17.65 6.38 13.30
3100. 2011 34 4150.00 2287.50 5320.00 15.00 7.00 13.30
3144. 2011 34 4450.00 2427.50 5586.00 15.00 7.00 13.30
3432. 2011 34 2350.00 1447.50 3724.00 15.00 7.00 13.30
3691. 2011 34 2650.00 1587.50 3990.00 15.00 7.00 13.30
4122. 2011 34 .00 .00 199.50 .00 .00 13.30
4347. 2011 34 -53.13 319.84 1463.00 17.65 6.38 13.30
4470. 2011 34 3400.00 1937.50 4655.00 15.00 7.00 13.30
4752. 2011 34 5450.00 2763.50 6224.40 25.00 7.00 13.30
5314. 2011 34 .00 .00 212.80 .00 .00 13.30
5871. 2011 34 4090.00 2259.50 5266.80 15.00 7.00 13.30
5961. 2011 34 13750.00 5235.00 10640.00 25.00 7.75 13.30
5961. 2011 34 800.00 720.00 2327.50 10.00 6.00 13.30
6060. 2011 34 2950.00 1727.50 4256.00 15.00 7.00 13.30
6479. 2011 34 -333.18 211.34 1236.90 7.65 6.38 13.30
6494. 2011 34 .00 .00 585.20 .00 .00 13.30
6565. 2011 34 3250.00 1867.50 4522.00 15.00 7.00 13.30
6604. 2011 34 .00 228.00 1236.90 .00 6.00 13.30
6675. 2011 34 -420.75 -21.04 731.50 -7.65 5.62 13.30
6675. 2011 34 .00 186.00 1143.80 .00 6.00 13.30
6915. 2011 34 18939.50 6862.50 13433.00 25.83 7.75 13.30
7173. 2011 34 2650.00 1587.50 3990.00 15.00 7.00 13.30
7456. 2011 34 3220.00 1853.50 4495.40 15.00 7.00 13.30
7876. 2011 34 1900.00 1237.50 3325.00 15.00 7.00 13.30
8393. 2011 34 1750.00 1167.50 3192.00 15.00 7.00 13.30
8778. 2011 34 1150.00 887.50 2660.00 15.00 7.00 13.30
9024. 2011 34 8250.00 3547.50 7714.00 25.00 7.00 13.30
9103. 2011 34 720.00 672.00 2221.10 10.00 6.00 13.30
9256. 2011 34 1900.00 1237.50 3325.00 15.00 7.00 13.30
9487. 2011 34 -459.00 7.05 798.00 -7.65 5.62 13.30
9654. 2011 34 .00 .00 146.30 .00 .00 13.30
10023. 2011 34 1900.00 1237.50 3325.00 15.00 7.00 13.30
10055. 2011 34 8750.00 3722.50 7980.00 25.00 7.00 13.30
10111. 2011 34 1750.00 1167.50 3192.00 15.00 7.00 13.30
10114. 2011 34 -313.65 -15.68 545.30 -7.65 -.38 13.30
10126. 2011 34 130.00 318.00 1436.40 10.00 6.00 13.30
10354. 2011 34 -91.80 -4.59 159.60 -7.65 -.38 13.30
10386. 2011 34 2290.00 1419.50 3670.80 15.00 7.00 13.30
10386. 2011 34 2830.00 1671.50 4149.60 15.00 7.00 13.30
10988. 2011 34 1600.00 1097.50 3059.00 15.00 7.00 13.30
11228. 2011 34 15736.25 5855.00 11704.00 23.06 7.75 13.30
11671. 2011 34 1585.00 1090.50 3045.70 15.00 7.00 13.30
12050. 2011 34 2350.00 1447.50 3724.00 15.00 7.00 13.30
12083. 2011 34 550.00 570.00 1995.00 10.00 6.00 13.30
12167. 2011 34 5000.00 2637.50 5985.00 25.00 7.00 13.30
12256. 2011 34 -300.23 230.49 1276.80 17.65 6.38 13.30
12324. 2011 34 -390.15 -19.51 678.30 -7.65 -.38 13.30
12559. 2011 34 50.00 270.00 1330.00 10.00 6.00 13.30
