taxsim_id year state fiitax siitax fica frate srate ficar
166. 2007 34 1596.25 1027.50 3366.00 15.00 7.00 15.30
686. 2007 34 .00 54.00 979.20 .00 6.00 15.30
881. 2007 34 665.00 627.00 2555.10 10.00 6.00 15.30
1193. 2007 34 .00 .00 244.80 .00 .00 15.30
1365. 2007 34 615.00 564.00 2279.70 10.00 6.00 15.30
1545. 2007 34 12486.25 4692.50 11169.00 25.00 7.75 15.30
1640. 2007 34 .00 48.00 963.90 .00 6.00 15.30
1955. 2007 34 .00 90.00 1071.00 .00 6.00 15.30
2220. 2007 34 966.25 738.00 2723.40 15.00 6.00 15.30
2347. 2007 34 .00 90.00 1071.00 .00 6.00 15.30
2347. 2007 34 325.00 390.00 1836.00 10.00 6.00 15.30
2521. 2007 34 1296.25 887.50 3060.00 15.00 7.00 15.30
3163. 2007 34 2646.25 1517.50 4437.00 15.00 7.00 15.30
3163. 2007 34 22875.15 7870.00 15396.00 25.83 7.75 2.90
3163. 2007 34 2796.25 1587.50 4590.00 15.00 7.00 15.30
3363. 2007 34 .00 150.00 1224.00 .00 6.00 15.30
3484. 2007 34 279.50 390.00 1836.00 17.65 6.00 15.30
3484. 2007 34 1296.25 887.50 3060.00 15.00 7.00 15.30
3532. 2007 34 5186.25 2553.50 6701.40 25.00 7.00 15.30
3557. 2007 34 1146.25 817.50 2907.00 15.00 7.00 15.30
4547. 2007 34 .00 102.00 1101.60 .00 6.00 15.30
4675. 2007 34 275.00 360.00 1759.50 10.00 6.00 15.30
4703. 2007 34 3321.25 1832.50 5125.50 15.00 7.00 15.30
4834. 2007 34 2796.25 1587.50 4590.00 15.00 7.00 15.30
4968. 2007 34 35.00 216.00 1392.30 10.00 6.00 15.30
5014. 2007 34 225.00 330.00 1683.00 10.00 6.00 15.30
5071. 2007 34 .00 .00 183.60 .00 .00 15.30
5151. 2007 34 85540.00 24269.17 21312.00 28.00 8.00 2.90
5223. 2007 34 3741.25 2028.50 5553.90 15.00 7.00 15.30
5327. 2007 34 127.00 271.20 1533.06 10.00 6.00 15.30
5548. 2007 34 425.00 450.00 1989.00 10.00 6.00 15.30
5632. 2007 34 6736.25 2987.50 7650.00 25.00 7.00 15.30
5634. 2007 34 1101.25 796.50 2861.10 15.00 7.00 15.30
5935. 2007 34 425.00 450.00 1989.00 10.00 6.00 15.30
5979. 2007 34 265.00 354.00 1744.20 10.00 6.00 15.30
6121. 2007 34 -160.65 .00 321.30 -7.65 .00 15.30
6166. 2007 34 996.25 750.00 2754.00 15.00 6.00 15.30
6245. 2007 34 -107.10 .00 214.20 -7.65 .00 15.30
6292. 2007 34 6736.25 2987.50 7650.00 25.00 7.00 15.30
6694. 2007 34 846.25 690.00 2601.00 15.00 6.00 15.30
6775. 2007 34 .00 .00 183.60 .00 .00 15.30
6787. 2007 34 67.70 318.00 1652.40 17.65 6.00 15.30
6791. 2007 34 279.50 390.00 1836.00 17.65 6.00 15.30
6803. 2007 34 325.00 390.00 1836.00 10.00 6.00 15.30
7123. 2007 34 2046.25 1237.50 3825.00 15.00 7.00 15.30
7210. 2007 34 625.00 570.00 2295.00 10.00 6.00 15.30
7211. 2007 34 208.90 366.00 1774.80 17.65 6.00 15.30
7211. 2007 34 7986.25 3337.50 8415.00 25.00 7.00 15.30
7740. 2007 34 -420.75 .00 841.50 -7.65 6.00 15.30
7755. 2007 34 .00 .00 612.00 .00 .00 15.30
7755. 2007 34 .00 30.00 918.00 .00 6.00 15.30
8044. 2007 34 .00 .00 229.50 .00 .00 15.30
8115. 2007 34 3546.25 1937.50 5355.00 15.00 7.00 15.30
8175. 2007 34 1296.25 887.50 3060.00 15.00 7.00 15.30
8175. 2007 34 .00 .00 612.00 .00 .00 15.30
8211. 2007 34 -73.50 270.00 1530.00 17.65 6.00 15.30
8361. 2007 34 -2.90 294.00 1591.20 17.65 6.00 15.30
8459. 2007 34 3351.25 1846.50 5156.10 15.00 7.00 15.30
8497. 2007 34 1671.25 1062.50 3442.50 15.00 7.00 15.30
8497. 2007 34 1146.25 817.50 2907.00 15.00 7.00 15.30
8681. 2007 34 4296.25 2287.50 6120.00 15.00 7.00 15.30
8847. 2007 34 1896.25 1167.50 3672.00 15.00 7.00 15.30
8899. 2007 34 .00 .00 382.50 .00 .00 15.30
9158. 2007 34 4886.25 2469.50 6517.80 25.00 7.00 15.30
9158. 2007 34 6965.00 2105.50 5722.20 25.00 7.00 15.30
9631. 2007 34 -198.90 .00 397.80 -7.65 .00 15.30
9654. 2007 34 2046.25 1237.50 3825.00 15.00 7.00 15.30
9820. 2007 34 -153.00 .00 306.00 -7.65 .00 15.30
9939. 2007 34 -91.80 .00 183.60 -7.65 .00 15.30
10040. 2007 34 -145.35 .00 290.70 -7.65 .00 15.30
10040. 2007 34 .00 .00 198.90 .00 .00 15.30
10242. 2007 34 .00 90.00 1071.00 .00 6.00 15.30
10736. 2007 34 1296.25 887.50 3060.00 15.00 7.00 15.30
10872. 2007 34 367.75 420.00 1912.50 17.65 6.00 15.30
10989. 2007 34 2796.25 1587.50 4590.00 15.00 7.00 15.30
11143. 2007 34 279.50 390.00 1836.00 17.65 6.00 15.30
11492. 2007 34 .00 .00 306.00 .00 .00 15.30
11834. 2007 34 -160.65 .00 321.30 -7.65 .00 15.30
12161. 2007 34 7236.25 3127.50 7956.00 25.00 7.00 15.30
12349. 2007 34 725.00 630.00 2448.00 10.00 6.00 15.30
12440. 2007 34 9236.25 3722.50 9180.00 25.00 7.00 15.30
12544. 2007 34 -73.50 270.00 1530.00 17.65 6.00 15.30
12946. 2007 34 2571.25 1482.50 4360.50 15.00 7.00 15.30
13398. 2007 34 1296.25 887.50 3060.00 15.00 7.00 15.30
13454. 2007 34 2796.25 1587.50 4590.00 15.00 7.00 15.30
13504. 2007 34 2451.25 1426.50 4238.10 15.00 7.00 15.30
13532. 2007 34 1896.25 1167.50 3672.00 15.00 7.00 15.30
13947. 2007 34 1806.25 1125.50 3580.20 15.00 7.00 15.30
13987. 2007 34 .00 .00 382.50 .00 .00 15.30
14005. 2007 34 425.00 450.00 1989.00 10.00 6.00 15.30
14258. 2007 34 7986.25 3337.50 8415.00 25.00 7.00 15.30
14530. 2007 34 -367.20 .00 734.40 -7.65 .00 15.30
14930. 2007 34 125.00 270.00 1530.00 10.00 6.00 15.30
15044. 2007 34 279.50 390.00 1836.00 17.65 6.00 15.30
15523. 2007 34 1896.25 1167.50 3672.00 15.00 7.00 15.30
15604. 2007 34 -428.00 30.00 918.00 .00 6.00 15.30
15800. 2007 34 16675.95 6010.00 13770.00 25.83 7.75 15.30
15846. 2007 34 1296.25 887.50 3060.00 15.00 7.00 15.30
16327. 2007 34 1296.25 887.50 3060.00 15.00 7.00 15.30
16700. 2007 34 -389.75 120.00 1147.50 7.65 6.00 15.30
17443. 2007 34 .00 150.00 1224.00 .00 6.00 15.30
17510. 2007 34 846.25 690.00 2601.00 15.00 6.00 15.30
17595. 2007 34 .00 150.00 1224.00 .00 6.00 15.30
17654. 2007 34 3096.25 1727.50 4896.00 15.00 7.00 15.30
17690. 2007 34 2046.25 1237.50 3825.00 15.00 7.00 15.30
18521. 2007 34 103.00 330.00 1683.00 17.65 6.00 15.30
18960. 2007 34 13986.25 5157.50 12087.00 25.00 7.75 15.30
19140. 2007 34 405.00 438.00 1958.40 10.00 6.00 15.30
19248. 2007 34 625.00 570.00 2295.00 10.00 6.00 15.30
19324. 2007 34 6236.25 2847.50 7344.00 25.00 7.00 15.30
19335. 2007 34 2796.25 1587.50 4590.00 15.00 7.00 15.30
19811. 2007 34 1161.25 824.50 2922.30 15.00 7.00 15.30
19900. 2007 34 -108.80 258.00 1499.40 17.65 6.00 15.30
19916. 2007 34 125.00 270.00 1530.00 10.00 6.00 15.30
20574. 2007 34 14956.88 5467.50 12699.00 23.06 7.75 15.30
20604. 2007 34 3321.25 1832.50 5125.50 15.00 7.00 15.30
21034. 2007 34 3606.25 1965.50 5416.20 15.00 7.00 15.30
21034. 2007 34 -232.35 216.00 1392.30 17.65 6.00 15.30
21034. 2007 34 .00 .00 765.00 .00 .00 15.30
21249. 2007 34 2796.25 1587.50 4590.00 15.00 7.00 15.30
21249. 2007 34 1296.25 887.50 3060.00 15.00 7.00 15.30
21365. 2007 34 685.00 606.00 2386.80 10.00 6.00 15.30
21494. 2007 34 7661.25 3285.00 8415.00 25.00 7.00 15.30
21925. 2007 34 .00 .00 673.20 .00 .00 15.30
22724. 2007 34 2796.25 1587.50 4590.00 15.00 7.00 15.30
22934. 2007 34 1896.25 1167.50 3672.00 15.00 7.00 15.30
23015. 2007 34 786.25 666.00 2539.80 15.00 6.00 15.30
23015. 2007 34 2046.25 1237.50 3825.00 15.00 7.00 15.30
23324. 2007 34 765.00 654.00 2509.20 10.00 6.00 15.30
23514. 2007 34 279.50 390.00 1836.00 17.65 6.00 15.30
23514. 2007 34 425.00 450.00 1989.00 10.00 6.00 15.30
24149. 2007 34 846.25 690.00 2601.00 15.00 6.00 15.30
24230. 2007 34 846.25 690.00 2601.00 15.00 6.00 15.30
24679. 2007 34 .00 .00 642.60 .00 .00 15.30
24797. 2007 34 -412.70 102.00 1101.60 7.65 6.00 15.30
24985. 2007 34 831.25 684.00 2585.70 15.00 6.00 15.30
25287. 2007 34 .00 .00 198.90 .00 .00 15.30
25582. 2007 34 .00 .00 612.00 .00 .00 15.30
26160. 2007 34 1296.25 887.50 3060.00 15.00 7.00 15.30
26460. 2007 34 -428.00 36.00 933.30 .00 6.00 15.30
26478. 2007 34 .00 .00 183.60 .00 .00 15.30
26487. 2007 34 525.00 510.00 2142.00 10.00 6.00 15.30
26632. 2007 34 2796.25 1587.50 4590.00 15.00 7.00 15.30
26632. 2007 34 1296.25 887.50 3060.00 15.00 7.00 15.30
26632. 2007 34 1596.25 1027.50 3366.00 15.00 7.00 15.30
26898. 2007 34 996.25 750.00 2754.00 15.00 6.00 15.30
26915. 2007 34 -412.70 102.00 1101.60 7.65 6.00 15.30
27463. 2007 34 625.00 570.00 2295.00 10.00 6.00 15.30
28314. 2007 34 2196.25 1307.50 3978.00 15.00 7.00 15.30
28637. 2007 34 -351.50 150.00 1224.00 7.65 6.00 15.30
28732. 2007 34 -55.85 276.00 1545.30 17.65 6.00 15.30
28831. 2007 34 775.00 660.00 2524.50 10.00 6.00 15.30
28920. 2007 34 1896.25 1167.50 3672.00 15.00 7.00 15.30
29067. 2007 34 11736.25 4460.00 10710.00 25.00 7.75 15.30
29165. 2007 34 2796.25 1587.50 4590.00 15.00 7.00 15.30
29313. 2007 34 605.00 558.00 2264.40 10.00 6.00 15.30
29503. 2007 34 225.00 330.00 1683.00 10.00 6.00 15.30
29503. 2007 34 .00 54.00 979.20 .00 6.00 15.30
29570. 2007 34 625.00 570.00 2295.00 10.00 6.00 15.30
30397. 2007 34 2196.25 1307.50 3978.00 15.00 7.00 15.30
30696. 2007 34 -428.00 90.00 1071.00 7.65 6.00 15.30
30744. 2007 34 .00 .00 734.40 .00 .00 15.30
30884. 2007 34 2796.25 1587.50 4590.00 15.00 7.00 15.30
30898. 2007 34 191.25 360.00 1759.50 17.65 6.00 15.30
31077. 2007 34 .00 .00 306.00 .00 .00 15.30
31154. 2007 34 .00 .00 780.30 .00 .00 15.30
31241. 2007 34 725.00 630.00 2448.00 10.00 6.00 15.30
31288. 2007 34 .00 .00 382.50 .00 .00 15.30
31398. 2007 34 -351.50 150.00 1224.00 7.65 6.00 15.30
31475. 2007 34 585.00 546.00 2233.80 10.00 6.00 15.30
31507. 2007 34 125.00 270.00 1530.00 10.00 6.00 15.30
31685. 2007 34 .00 .00 535.50 .00 .00 15.30
31769. 2007 34 4296.25 2287.50 6120.00 15.00 7.00 15.30
32369. 2007 34 .00 .00 397.80 .00 .00 15.30
32874. 2007 34 1266.25 873.50 3029.40 15.00 7.00 15.30
33300. 2007 34 .00 .00 688.50 .00 .00 15.30
33691. 2007 34 2421.25 1412.50 4207.50 15.00 7.00 15.30
33723. 2007 34 6236.25 2847.50 7344.00 25.00 7.00 15.30
33922. 2007 34 -114.75 .00 229.50 -7.65 .00 15.30
34077. 2007 34 .00 .00 306.00 .00 .00 15.30
34105. 2007 34 4296.25 2287.50 6120.00 15.00 7.00 15.30
34218. 2007 34 2346.25 1377.50 4131.00 15.00 7.00 15.30
34218. 2007 34 1071.25 782.50 2830.50 15.00 7.00 15.30
34496. 2007 34 -428.00 30.00 918.00 .00 6.00 15.30
34694. 2007 34 -73.50 270.00 1530.00 17.65 6.00 15.30
34815. 2007 34 625.00 570.00 2295.00 10.00 6.00 15.30
34846. 2007 34 .00 .00 306.00 .00 .00 15.30
35357. 2007 34 1296.25 887.50 3060.00 15.00 7.00 15.30
35386. 2007 34 725.00 630.00 2448.00 10.00 6.00 15.30
35389. 2007 34 625.00 570.00 2295.00 10.00 6.00 15.30
35433. 2007 34 4296.25 2287.50 6120.00 15.00 7.00 15.30
35802. 2007 34 4296.25 2287.50 6120.00 15.00 7.00 15.30
35992. 2007 34 3696.25 2007.50 5508.00 15.00 7.00 15.30
35992. 2007 34 1806.25 1125.50 3580.20 15.00 7.00 15.30
35992. 2007 34 685.00 606.00 2386.80 10.00 6.00 15.30
36513. 2007 34 625.00 570.00 2295.00 10.00 6.00 15.30
36596. 2007 34 1776.25 1111.50 3549.60 15.00 7.00 15.30
36630. 2007 34 -168.30 .00 336.60 -7.65 .00 15.30
36697. 2007 34 625.00 570.00 2295.00 10.00 6.00 15.30
37771. 2007 34 .00 60.00 994.50 .00 6.00 15.30
37968. 2007 34 7236.25 3127.50 7956.00 25.00 7.00 15.30
37982. 2007 34 -250.00 210.00 1377.00 17.65 6.00 15.30
38069. 2007 34 1596.25 1027.50 3366.00 15.00 7.00 15.30
38481. 2007 34 7236.25 3127.50 7956.00 25.00 7.00 15.30
38805. 2007 34 -260.10 .00 520.20 -7.65 .00 15.30
38847. 2007 34 .00 .00 688.50 .00 .00 15.30
39067. 2007 34 1551.25 1006.50 3320.10 15.00 7.00 15.30
39168. 2007 34 .00 .00 596.70 .00 .00 15.30
39300. 2007 34 1896.25 1167.50 3672.00 15.00 7.00 15.30
39347. 2007 34 425.00 450.00 1989.00 10.00 6.00 15.30
39374. 2007 34 .00 150.00 1224.00 .00 6.00 15.30
39411. 2007 34 2046.25 1237.50 3825.00 15.00 7.00 15.30
39507. 2007 34 525.00 510.00 2142.00 10.00 6.00 15.30
39553. 2007 34 -91.80 .00 183.60 -7.65 .00 15.30
39627. 2007 34 325.00 390.00 1836.00 10.00 6.00 15.30
39727. 2007 34 725.00 630.00 2448.00 10.00 6.00 15.30
39749. 2007 34 325.00 390.00 1836.00 10.00 6.00 15.30
40161. 2007 34 2046.25 1237.50 3825.00 15.00 7.00 15.30
40445. 2007 34 1746.25 1097.50 3519.00 15.00 7.00 15.30
40573. 2007 34 .00 .00 244.80 .00 .00 15.30
41570. 2007 34 2796.25 1587.50 4590.00 15.00 7.00 15.30
41583. 2007 34 4296.25 2287.50 6120.00 15.00 7.00 15.30
42512. 2007 34 10486.25 4072.50 9945.00 25.00 7.75 15.30
42541. 2007 34 1896.25 1167.50 3672.00 15.00 7.00 15.30
42620. 2007 34 1416.25 943.50 3182.40 15.00 7.00 15.30
42873. 2007 34 -344.25 .00 688.50 -7.65 .00 15.30
42907. 2007 34 3546.25 1937.50 5355.00 15.00 7.00 15.30
43290. 2007 34 .00 .00 428.40 .00 .00 15.30
43378. 2007 34 2046.25 1237.50 3825.00 15.00 7.00 15.30
43378. 2007 34 1896.25 1167.50 3672.00 15.00 7.00 15.30
43388. 2007 34 2796.25 1587.50 4590.00 15.00 7.00 15.30
43499. 2007 34 2151.25 1286.50 3932.10 15.00 7.00 15.30
43502. 2007 34 2496.25 1447.50 4284.00 15.00 7.00 15.30
43631. 2007 34 .00 .00 459.00 .00 .00 15.30
43746. 2007 34 2496.25 1447.50 4284.00 15.00 7.00 15.30
43818. 2007 34 -359.55 .00 719.10 -7.65 .00 15.30
44100. 2007 34 .00 .00 459.00 .00 .00 15.30
44146. 2007 34 120.65 336.00 1698.30 17.65 6.00 15.30
44146. 2007 34 -428.00 30.00 918.00 .00 6.00 15.30
44146. 2007 34 -351.50 150.00 1224.00 7.65 6.00 15.30
44558. 2007 34 1596.25 1027.50 3366.00 15.00 7.00 15.30
44656. 2007 34 1296.25 887.50 3060.00 15.00 7.00 15.30
44656. 2007 34 73157.00 20982.75 20123.00 35.00 8.15 2.90
45047. 2007 34 1446.25 957.50 3213.00 15.00 7.00 15.30
45181. 2007 34 3546.25 1937.50 5355.00 15.00 7.00 15.30
